feature,corr,p-value
ImgSentScore,0.1978300996679095,1.3971941778747455e-07
ImgPopScore,0.19590616960349042,1.8542321504916422e-07
N FaceF,0.15917611175279475,2.423886285907579e-05
N Mentions,0.1233447189253238,0.0011023290025087597
Pleasure,0.12115155589879827,0.0013526768476374133
Age max,0.11850272230840907,0.0017244346034381187
N Female,0.11558457296123362,0.002240926618184987
F age avg,0.11065123908793523,0.0034443439985497753
Age avg,0.11065123908793523,0.0034443439985497753
Age std,0.11065123908793523,0.0034443439985497753
Age min,0.1105503904099754,0.0034741501688848072
Content,0.10279483443182505,0.006603822953631412
VividColor,0.10279483443182505,0.006603822953631412
N Exp.Armpits,0.10273010588297775,0.006638202688648322
%Blue,0.09885781687423605,0.00901099805440262
%Green,0.09840789836065204,0.009330734449756538
Light,0.09749190413678444,0.01001306867914588
ColorHarmony,0.07681833643571688,0.042619616619982904
N Exp.Belly,0.07570700231384052,0.04571635638641466
MotionBlur,0.0710188073398109,0.06093708693459594
%Red,0.06861588989212371,0.07023469176719611
Aest_score,0.06830551564158287,0.07151617391625746
N Exp.Buttocks,0.06583740194538791,0.08240088461992698
Home/Hotel,0.06342774177685917,0.09428401697775099
Person,0.06134551866104655,0.10562262510709788
N Cov.BreastF,0.05746917052751241,0.1295802332126318
N Cov.Belly,0.05562493457967359,0.14236503225584526
Symmetry,0.04938566887009981,0.1928228820115004
IndustrialCostr.,0.04751689326806016,0.21022822688026158
Object,0.047177932486824156,0.21350312885966505
%Cold,0.04674381508952313,0.21775083441623674
Accessory,0.04603242052160159,0.2248420869051268
BalancingElement,0.043869733160830884,0.24740628454866784
Cultural,0.0406053393051437,0.28438120867098254
N Cov.Genit.F,0.04033270240388336,0.28762988640969067
Food,0.03912861590599751,0.3022754690467054
Water/Ice/Snow,0.03775118786216136,0.31962643267175894
IsSponsored,0.03494928317781345,0.3568870849003265
%Lum,0.029551776055130274,0.4360038322006784
Animal,0.026285613398967095,0.4884135790881803
N FaceM,0.026117716437630993,0.4911963195876743
Indoor,0.025821076681744676,0.49613355200811504
N Exp.BreastF,0.024550624278187518,0.5175741809167993
Workplace,0.024176448859519455,0.523978897692877
OutdoorNatural,0.021337862141746426,0.5738512606945769
Furniture,0.01820637950032255,0.6313417001896349
SportsLeisureParks,0.012605428528603652,0.7397316464345863
Sports/Leisure,0.010179985306292945,0.788480809930098
RuleOfThirds,0.009542855385486038,0.801433639976182
Outdoor,0.00866720129460831,0.8193242012425126
N Exp.Genit.M,0.00810804131161344,0.8307983747145566
N Exp.Genit.F,0.00810804131161344,0.8307983747145566
Houses/Gardens,0.006251305745767386,0.8691450177158331
N Male,0.005654396476653298,0.8815429006080326
OutdoorManmade,0.003391898532676234,0.9287733861459004
%Warm,0.0027540474450328486,0.9421414783343212
F age std,0.0009399271608362655,0.9802382168824184
N Cov.Feet,0.0008551335647274723,0.9820206694573139
Sports,-0.0007725693387903123,0.9837563444164369
DoF,-0.0016248712764314183,0.9658443318850864
Arousal,-0.00219216446373424,0.9539310433918439
N Cov.Buttocks,-0.0027341069539161596,0.9425596734467284
Transport.,-0.003340497593889303,0.9298499556772818
Forest/field/etc,-0.00609998180228176,0.8722851236195226
Days,-0.009868462863127241,0.7948070022744531
Vehicle,-0.014472756781821187,0.7028872377479444
Transport.,-0.015693973528395137,0.6791563899712332
N Exp.Feet,-0.01574442209144634,0.6781826632461794
Mountains/hills/etc,-0.016440111260525147,0.6648101754889877
Indoor,-0.018257251015755517,0.6303884165201797
Cap. Sent. Score,-0.01935951843037877,0.6098858560541496
Commercial/Building,-0.01940580918792804,0.6090313300785875
CulturalHist.,-0.0327857391230013,0.3874521613249744
Appliance,-0.03346956977917925,0.3776236808242571
Repetition,-0.047370063015744666,0.21164236018914126
Weigh. Emoji Sent,-0.056644825057524634,0.13518037983304204
Shopping/dining,-0.07041155612552089,0.06318488491565973
Location,-0.07505776339083335,0.047611478505854225
Dominance,-0.08414662720441535,0.02631790392600443
N Emojis,-0.08620017103786233,0.022851841118929603
Kitchen,-0.10229760732398528,0.006872068962463905
Electronic,-0.10757482529944518,0.004466108546927875
Cap. Sent. Magn.,-0.11160384081734852,0.003174047275467733
Caption Len.,-0.1608637799246918,1.9801017763268682e-05
N Hashstags,-0.2316676626605236,6.03086908887097e-10
