feature,corr,p-value
ImgPopScore,0.2885814705887418,1.2293239177828336e-16
N Female,0.2378337771020575,1.2364186829273671e-11
ImgSentScore,0.2338465375106981,2.7567896742623382e-11
N Mentions,0.22723250237450915,1.0095960883213619e-10
N Cov.BreastF,0.17188354589211374,1.1575623848345867e-06
N FaceF,0.15396735819406163,1.3650984809142294e-05
Age max,0.1435842778312506,5.058662279962543e-05
F age avg,0.14351629610323374,5.100770508895229e-05
Age std,0.14335566573557307,5.201586897511239e-05
Age avg,0.14335566573557307,5.201586897511239e-05
Cap. Sent. Magn.,0.13604421187747687,0.00012403441306965752
Age min,0.13238458132584593,0.00018858446576082617
Person,0.09622201581852755,0.006764432985295992
F age std,0.09457750859566039,0.007774065431444915
ColorHarmony,0.08853352613972008,0.012740709230888292
N Emojis,0.07759503155525148,0.029096372603741486
N Exp.Armpits,0.07357129444764571,0.038573868114881255
VividColor,0.07156763901592322,0.04419700642752346
Content,0.07156763901592322,0.04419700642752346
Dominance,0.06855726061802996,0.05393319484065164
Arousal,0.06243058893320334,0.07929725265720418
N FaceM,0.06226197919388482,0.080113180117873
%Warm,0.062001967727203844,0.08138474704176017
N Exp.Feet,0.056056317581389244,0.1151840003590205
Sports/Leisure,0.05576065534310776,0.11711652865640117
Workplace,0.05376803954432754,0.1308106759501279
N Cov.Feet,0.05343196103786925,0.133237861309357
M age avg,0.05204290624726355,0.14364021862550408
N Cov.Genit.F,0.051557682546979684,0.1474169247487886
N Exp.BreastF,0.051006780406935556,0.15179614907662256
Sports,0.048047094976793304,0.17703076891199515
CulturalHist.,0.0477331046007115,0.17988091704439355
N Exp.Belly,0.04412371870856959,0.21512020295254794
Indoor,0.038388993810017286,0.2808687291624601
%Cold,0.035301029645749084,0.3214070269624823
Houses/Gardens,0.035049146177127066,0.3248741056430938
Transport.,0.033665859704527325,0.34434568335429483
Appliance,0.032687840189647606,0.35855190101600565
OutdoorManmade,0.031856205835814666,0.3709169159569099
RuleOfThirds,0.028724434071516577,0.41980729506476944
SportsLeisureParks,0.02743989370370139,0.44090608456538993
Forest/field/etc,0.026193171706935706,0.46195170363417104
Home/Hotel,0.019756600085132,0.5790148288671615
Light,0.019398670652055843,0.5859112423951934
Caption Len.,0.01400750115617723,0.6940585106197155
Symmetry,0.012024112419791618,0.7356252784523747
IsSponsored,0.009623710061322129,0.7869737797005865
OutdoorNatural,0.009415152196703103,0.791482775472858
N Cov.Buttocks,0.009178156232621046,0.7966150568123447
Vehicle,0.0027746802033889804,0.9378965823161085
BalancingElement,0.0013434774708295882,0.9699067887510486
Animal,-0.00032188725684130525,0.9927882803490087
Mountains/hills/etc,-0.0009003499227624849,0.9798299901605287
Electronic,-0.0026737102916589302,0.940152195008193
MotionBlur,-0.004490973697519168,0.8996462152145046
Repetition,-0.007695269975495337,0.8289189463540181
Kitchen,-0.010252786125173259,0.7734169230466652
Water/Ice/Snow,-0.011277717491109021,0.7514779713536699
Accessory,-0.016664633023775768,0.6397992678985476
Transport.,-0.017167247259300456,0.6297377258372527
Aest_score,-0.018637250825174853,0.6007070371383069
%Red,-0.022978593901610427,0.5187135146001206
Days,-0.02314946444650253,0.5156084095812403
N Exp.Genit.M,-0.026188439057743578,0.4620326464455319
Furniture,-0.02933058984065315,0.41006037712854104
N Exp.Genit.F,-0.02949906477182986,0.40737535185416274
Indoor,-0.03275628441962073,0.35754590350899285
N Male,-0.03445434480184907,0.33315735922818035
Food,-0.034531710630305974,0.3320723244578333
Weigh. Emoji Sent,-0.035024564850631136,0.3252137544162339
Commercial/Building,-0.03902896589395443,0.27292097096721707
%Lum,-0.04490500132245973,0.20710000661033498
Cultural,-0.05286541863105382,0.13740804219338149
Cap. Sent. Score,-0.05344367406616553,0.13315268779481076
Outdoor,-0.054152753797828294,0.1280744161569554
%Green,-0.061971409584748435,0.08153525702652505
Location,-0.06302021000784531,0.07649687615251927
Shopping/dining,-0.07442719625183306,0.03636369184023495
Object,-0.07731515728625274,0.029683824303980637
Pleasure,-0.07746887371706279,0.029359928106148465
%Blue,-0.10550624182616068,0.0029689287681834023
DoF,-0.13038043799871427,0.00023615945834853174
N Hashstags,-0.27881743320683317,1.36920713034957e-15
