feature,corr,p-value
N Mentions,0.24892400992521407,1.1543888310190784e-104
ImgPopScore,0.18328737221065702,8.742687732801209e-57
Caption Len.,0.14363702701966974,2.5058223706805946e-35
Age min,0.1293645783292688,6.409390887850243e-29
N FaceF,0.12735713904862547,4.500030582576533e-28
N Female,0.11994245640197342,4.602530783663796e-25
Age std,0.1198518530818293,4.996247746293317e-25
Age avg,0.1198518530818293,4.996247746293317e-25
F age avg,0.11968628722261929,5.803825850683958e-25
Location,0.11845745889628344,1.7531740437623337e-24
Age max,0.11322658266558577,1.704649318351757e-22
Person,0.09112553211409079,4.351197496164922e-15
Cap. Sent. Magn.,0.07619352970568699,5.569411331829276e-11
Light,0.07540707449487294,8.755789404319536e-11
ImgSentScore,0.06477042687373934,2.549020458183436e-08
Content,0.06413973179203411,3.477105396339024e-08
VividColor,0.06413973179203411,3.477105396339024e-08
N Emojis,0.06268858486308239,7.026061054112182e-08
N Cov.BreastF,0.06085377602846269,1.6729309259756436e-07
Dominance,0.05696180104094356,9.720014641819069e-07
Aest_score,0.055240496063658086,2.0441821322090666e-06
DoF,0.05457132915711164,2.7135222820290444e-06
Object,0.05186604129612766,8.253439409924984e-06
Arousal,0.049954615961402736,1.754959211735803e-05
BalancingElement,0.04558256726089928,8.937491554508126e-05
N Exp.Armpits,0.03801308119256412,0.0010882547187881632
%Warm,0.03361984426019945,0.0038659660004663732
N Cov.Genit.F,0.0317238242455274,0.006412837414262943
N Exp.Belly,0.0312841568106084,0.00718614611549438
RuleOfThirds,0.03062791736750013,0.008496423099794294
Shopping/dining,0.02905648224622429,0.012539185860656906
N Cov.Feet,0.028702937319791077,0.013655290028122272
ColorHarmony,0.028422537084562022,0.014601962973906635
SportsLeisureParks,0.028403548446102177,0.014668114267584381
%Cold,0.027276714509818546,0.019097855715101312
N Cov.Belly,0.026676948175274683,0.02190190002109972
Weigh. Emoji Sent,0.020038713129520925,0.085145848718963
OutdoorManmade,0.017922285028604882,0.12362863883381883
Transport.,0.016027014613634937,0.16855140795706822
Transport.,0.01587239196213619,0.17269723686296373
Outdoor,0.013271506324281382,0.2542338520701449
Vehicle,0.010833138253109928,0.35204116629118554
N Exp.Feet,0.010271260606399277,0.3775790176364564
Furniture,0.006564360754655574,0.5728146842523524
Forest/field/etc,0.005020073745687665,0.6662886273328644
IsSponsored,0.0036286462935160744,0.7552561266412213
CulturalHist.,0.0035268453580619787,0.7619118682328895
N Cov.Buttocks,0.0007774407257839061,0.9467526334458454
Houses/Gardens,0.0005294030004052941,0.9637264320279775
N Exp.Buttocks,-0.00022354539965341557,0.9846788070874832
Sports,-0.0028958726100877315,0.8035405474823324
Mountains/hills/etc,-0.003235058943071229,0.78108506810797
M age std,-0.003691818207994238,0.7511350284207285
N Exp.BreastM,-0.004527760221703581,0.697309596851911
Workplace,-0.004827890544087347,0.6783340005012335
N FaceM,-0.005335595852338516,0.6466993012516848
Indoor,-0.005579235414046314,0.6317376986255163
IndustrialCostr.,-0.005778090660825734,0.6196366761207319
M age avg,-0.006029937655328814,0.6044578706632211
N Exp.Genit.F,-0.0069185356357134515,0.5522866624094365
Accessory,-0.007073712752437819,0.543407732267554
MotionBlur,-0.007091982346315044,0.5423670751874949
ManMadeElements,-0.010691888319379108,0.35835590322641475
OutdoorNatural,-0.013998611593870502,0.22913274352815788
Commercial/Building,-0.015936528767761804,0.17096840494571297
Sports/Leisure,-0.016154935110393544,0.16517834953504157
Appliance,-0.016450565432256554,0.15757774316344633
Food,-0.016544230260617382,0.15522575904888047
Symmetry,-0.016793912571656137,0.14908632197694327
Cultural,-0.01687590470969023,0.14711116753831346
F age std,-0.019718337881424162,0.09025595208415468
Days,-0.020335787435345105,0.08061887206414442
Water/Ice/Snow,-0.020615826373225055,0.07653235283300912
Cap. Sent. Score,-0.02144314140412591,0.06543657630512689
Electronic,-0.023952142733590226,0.03960160924252021
N Exp.Genit.M,-0.024969787538956133,0.0319257124881606
Indoor,-0.025854650367689965,0.026324583981136736
N Hashstags,-0.02667872945168962,0.021893068323367258
Kitchen,-0.031157107644846367,0.007424681920912305
N Exp.BreastF,-0.031800098336887996,0.006286575226453024
%Lum,-0.03559566827648811,0.002222401811861165
N Male,-0.036199201548902944,0.0018665946819812651
Animal,-0.03964145090497593,0.0006575363745908683
Pleasure,-0.043787332461096444,0.00016767736864960837
Home/Hotel,-0.048370387733257775,3.215463504281539e-05
%Red,-0.052460495073847715,6.492777381565594e-06
%Blue,-0.052925095452604105,5.373090669766743e-06
%Green,-0.05584083786119876,1.5811349465201222e-06
Repetition,-0.06311817447568077,5.714351488735498e-08
