feature,corr,p-value
Location,0.23366898495171085,1.0954892124120679e-83
N Mentions,0.22312204053436224,2.785412667680888e-76
ImgPopScore,0.14009014362367317,1.1013324075444415e-30
Age min,0.13088830027416543,5.776730942041877e-27
Age avg,0.1289636525984296,3.2146192202665807e-26
Age std,0.1289636525984296,3.2146192202665807e-26
F age avg,0.12871183200708583,4.016362911891173e-26
Age max,0.1225984427309667,7.809790362698758e-24
N Female,0.109448050846302,2.7239332951477238e-19
Light,0.10847486228066719,5.634089557835403e-19
Aest_score,0.10679275147903247,1.9486129825203137e-18
N FaceF,0.10663184876197582,2.1919646414531703e-18
ImgSentScore,0.08983733443723407,1.7958063286933422e-13
Person,0.08096446945086568,3.27998347284697e-11
VividColor,0.07480802929524795,8.924515606606899e-10
Content,0.07480802929524795,8.924515606606899e-10
DoF,0.07159018227418053,4.538202158587202e-09
MotionBlur,0.06475782441644219,1.1425058005988288e-07
ColorHarmony,0.06475679243624893,1.1430360381093107e-07
RuleOfThirds,0.06399997081929745,1.6033255822376596e-07
N Cov.Feet,0.06180238480327658,4.192725551000952e-07
Object,0.049785689870670634,4.605963960429817e-05
OutdoorManmade,0.04659967059404343,0.0001368938745850512
%Warm,0.04473245854719882,0.0002514828072844917
BalancingElement,0.04031388336841322,0.0009708720610922474
Forest/field/etc,0.036953124370262935,0.002497608143438198
IsSponsored,0.034023412699129375,0.005373159096958913
N Male,0.03266807734379332,0.007521787556045609
N Exp.Armpits,0.031002039578152892,0.011198713181687463
Caption Len.,0.030097577843934187,0.013800929255173
%Cold,0.028705198024065022,0.018852274150560944
N Emojis,0.028237950059993713,0.020877237443005178
Days,0.028038370442121555,0.021798379802667234
IndustrialCostr.,0.026793249384039586,0.028382388903876513
SportsLeisureParks,0.026007198477220626,0.03336768631815964
Houses/Gardens,0.02589307211039771,0.03415040459059769
F age std,0.02531357725398456,0.03837114013486864
N Cov.Belly,0.020350155974004438,0.09596801505751931
CulturalHist.,0.01822870559316303,0.13592223558810435
OutdoorNatural,0.015873997323272722,0.1941145507093792
Accessory,0.015621348499239572,0.20130810054219106
N Exp.Feet,0.0131278722054979,0.28289133446166653
N FaceM,0.012701381765494608,0.2988245108490259
Sports/Leisure,0.010791351530018551,0.3773932787428046
Transport.,0.009795852567751749,0.4229720818817059
Dominance,0.007961170529358496,0.5149186440487751
Commercial/Building,0.007948893056993003,0.5155670659168636
Furniture,0.007306095907507353,0.5500978053767622
Weigh. Emoji Sent,0.005913796634138167,0.6285803069129695
Transport.,0.005252478867074298,0.6674633727433666
N Exp.Belly,0.003993172058586016,0.7439517485324308
N Cov.Genit.F,0.0025476164845354998,0.8349292707808009
Arousal,0.0005902605483168291,0.9614925778870123
Animal,-0.00015884873322694184,0.9896332914573569
N Cov.BreastF,-0.0018621520393630906,0.8789379063831151
N Exp.Genit.M,-0.002410761837705352,0.8436790902830948
%Green,-0.003331553687035688,0.7852323800513772
Outdoor,-0.0049818240485738526,0.6836457863099172
Cap. Sent. Magn.,-0.005178727604277118,0.6718580413930353
N Exp.BreastF,-0.006256670773416961,0.6088103246344265
Water/Ice/Snow,-0.006730472110876958,0.5819569963754907
N Cov.Buttocks,-0.007389949995293988,0.5455293901807168
Symmetry,-0.00743588771027474,0.5430346826359473
ManMadeElements,-0.008041868381430424,0.5106672367253409
Mountains/hills/etc,-0.008069245197601311,0.5092291214698211
Food,-0.008189890217271225,0.5029169440978455
Appliance,-0.008947031958451132,0.4642653822519759
N Exp.BreastM,-0.009385677464843709,0.4426518454733974
%Red,-0.010605504505499882,0.3856644467317307
N Exp.Genit.F,-0.011131909634848926,0.36252300254051184
Shopping/dining,-0.01133166268950241,0.3539740389304813
Sports,-0.011333282953260044,0.35390522028301385
%Blue,-0.011469341052669956,0.3481565009521034
Cultural,-0.01291313353532781,0.29084033333891707
Vehicle,-0.01344971152974079,0.27125573978039136
N Exp.Buttocks,-0.015437046648809865,0.20667694440709675
Home/Hotel,-0.01773255698804958,0.14690325781482286
M age std,-0.018140784431542954,0.1378205374397026
N Exp.Anus,-0.018140784431542954,0.1378205374397026
M age avg,-0.020492205292288637,0.09367049580410403
Repetition,-0.021091918590909746,0.08445262711158869
Workplace,-0.02309029345380253,0.058900755937940835
Pleasure,-0.02998950238089388,0.014145093836099335
Kitchen,-0.03019320617643955,0.013502589075929529
Electronic,-0.031823254149736475,0.009223483960673
%Lum,-0.03628514657127432,0.0029883041154988212
N Hashstags,-0.040200688592230374,0.0010034266425228778
Indoor,-0.04677944224294143,0.00012895669437291884
Indoor,-0.050215353856402724,3.95690536856836e-05
Cap. Sent. Score,-0.0834666892900436,7.967354885865463e-12
