feature,corr,p-value
N Mentions,0.2979148393312725,2.1101432113950796e-159
Caption Len.,0.22177558377445028,2.1241124559258195e-87
Location,0.17766047949799613,2.9745409539379007e-56
Cap. Sent. Magn.,0.1702576204643688,9.612841418450944e-52
ImgPopScore,0.1586940510457018,4.209447845824474e-45
N Emojis,0.11361287971312052,8.477830228061696e-24
N FaceF,0.10327632146807682,6.381636819522867e-20
Person,0.09859193723129149,2.75464824647664e-18
%Cold,0.09772654425253098,5.41838512530217e-18
Age min,0.08705487691618789,1.3991309781739159e-14
Age std,0.0759529600755521,1.92142287142285e-11
Age avg,0.0759529600755521,1.92142287142285e-11
F age avg,0.07555344746763415,2.4477159562359845e-11
Shopping/dining,0.06738982222030539,2.627514531048585e-09
Age max,0.0640929906142443,1.500902833186787e-08
N Female,0.06392265358943226,1.6385844536676864e-08
DoF,0.06138033419736613,5.913966752184464e-08
Object,0.06057129918821646,8.805480990576732e-08
Weigh. Emoji Sent,0.05860656641894846,2.2674245658756716e-07
ImgSentScore,0.05638052486674101,6.389954603274995e-07
Days,0.050026279609992494,1.0001454896382947e-05
Indoor,0.049131632745903084,1.4375152544666357e-05
Light,0.040864634163475924,0.00030922232302582446
N Cov.BreastF,0.03630955259336873,0.00135037445522738
RuleOfThirds,0.03380112937869971,0.002849693415122468
Aest_score,0.027895144035394233,0.013817292678254071
BalancingElement,0.027408804254582454,0.015561582385713263
ColorHarmony,0.025072892929902276,0.02691083945855133
N Cov.Genit.F,0.024385865994855985,0.03138500680915533
Houses/Gardens,0.01904290878383624,0.09285609246114793
N Exp.Armpits,0.017036465069954203,0.13272914434753036
N Exp.Belly,0.015952601160755885,0.15920055044031006
N Exp.Genit.F,0.01368062673185731,0.22733561638570926
N Exp.Feet,0.01189685047640306,0.2937967946720461
Kitchen,0.011756112391636151,0.29954543147581175
VividColor,0.0116364068927634,0.3044936196055889
Content,0.0116364068927634,0.3044936196055889
%Lum,0.009429548291526433,0.4053566480440658
N Hashstags,0.008534135505576385,0.45140447527880845
Food,0.007413253173772476,0.5130068283048974
Transport.,0.006650785732777433,0.5572846714750492
M age std,0.005576857543429444,0.6226400759113033
N Cov.Feet,0.005274521565105143,0.6416213567703077
MotionBlur,0.004969224628750053,0.6610290972431877
Furniture,0.0033890166799486763,0.7649006919459523
%Blue,0.0022958642877805376,0.8394555341498162
Appliance,0.0021368531364954076,0.8504387933493277
Forest/field/etc,0.0010048669965708366,0.9293436675188211
%Warm,0.0009679945733394045,0.931929901238856
Dominance,-0.002820558413241109,0.8034460220515531
Arousal,-0.002884477162005442,0.79908605117044
N Exp.BreastF,-0.0036165834347634666,0.7496260291818372
M age avg,-0.0040792609784183675,0.7188769232669017
Sports/Leisure,-0.00501555804439518,0.6580685567997976
Sports,-0.0056082821646611675,0.620681199192814
%Green,-0.006322116826726319,0.5769287779598773
%Red,-0.006631991310927851,0.558399156507249
Accessory,-0.007239674103442233,0.5229234338787385
N Cov.Belly,-0.009030752803479132,0.4255089752746394
Pleasure,-0.009914093323056258,0.38165418678289054
ManMadeElements,-0.009987450156329588,0.37814137812556337
Vehicle,-0.012204545992697689,0.28148775192595255
Commercial/Building,-0.014592805399332701,0.19783145369046073
N Cov.Buttocks,-0.014627716264982132,0.19676071961982924
Transport.,-0.014795238296276459,0.19168172983735884
Home/Hotel,-0.01572386754878231,0.16526562087529006
N Exp.Buttocks,-0.018310614527266157,0.10611916092752995
Workplace,-0.018809190257693297,0.09693631196274381
CulturalHist.,-0.021650034854384586,0.05604985311011643
N Exp.Genit.M,-0.023402748836690076,0.03888817107311247
Symmetry,-0.023799580931634395,0.03569368678315697
N FaceM,-0.0241968395165662,0.03272267889062649
Mountains/hills/etc,-0.024299573673344264,0.031989733576211946
Indoor,-0.024890952395299714,0.028038555375851235
Water/Ice/Snow,-0.02730076237268985,0.01597441112192862
Animal,-0.029016810933544523,0.010436658137147248
IndustrialCostr.,-0.02904499801064034,0.010362128973747574
Outdoor,-0.029902521548484117,0.008309631712604841
OutdoorNatural,-0.0306192304440509,0.0068818193133555125
SportsLeisureParks,-0.03236567946751297,0.004280256577306907
Cultural,-0.03418437219815251,0.002549951905781549
OutdoorManmade,-0.03599754635493564,0.0014855348386891801
Electronic,-0.03948528595875304,0.0004910600955476198
N Male,-0.046966019742100046,3.374140545521578e-05
F age std,-0.05297359292370423,2.9006107959172567e-06
Cap. Sent. Score,-0.05315961333898999,2.676724999701414e-06
Repetition,-0.10125426922498744,3.31154556087739e-19
