feature,corr,p-value
ImgPopScore,0.1809424218206477,1.7571626261650692e-16
N Male,0.10984477007404506,6.540838607364205e-07
DoF,0.09579498786898727,1.45698846000571e-05
Person,0.09117926746268502,3.702250715682282e-05
Light,0.06748354932389163,0.002285800868089579
Aest_score,0.06637941899120837,0.0026969283433573767
Object,0.05900430039813276,0.007667920312099391
ImgSentScore,0.05652034997775309,0.010651729829829896
N Emojis,0.054427606460910674,0.01392408806181296
Home/Hotel,0.05373137913484148,0.015194395122407308
Location,0.05036832182022276,0.022872261902546438
ColorHarmony,0.03606215922992785,0.10337076456879563
Houses/Gardens,0.0343690650939832,0.12061119319793251
OutdoorManmade,0.03337015812999054,0.131791675461582
BalancingElement,0.030275048285030498,0.17155501223342548
RuleOfThirds,0.029865637871969178,0.17742467925571168
SportsLeisureParks,0.02867562149365258,0.19533283185529973
N Hashstags,0.024792109499471898,0.26291424880262587
Outdoor,0.02430662765884044,0.272379038961268
F age std,0.021847745685043513,0.32386916066028193
Food,0.021806115511601953,0.3247922023949448
Sports,0.020238256972923044,0.3607978434871695
Dominance,0.01882509262360109,0.3953119801313706
M age avg,0.018706572036239197,0.3982945638923141
%Warm,0.01713572643334864,0.43909012288022276
Mountains/hills/etc,0.014264950791749826,0.5195159377409493
Indoor,0.013191129480488048,0.5514410533214631
Arousal,0.012080768082839345,0.5854347220733709
Transport.,0.010331629082754885,0.6408698596860571
Age max,0.008623562587201646,0.6970106361373132
CulturalHist.,0.008522784694772002,0.700379227377169
M age std,0.007927671156647375,0.7203897070270715
Animal,0.007779243345910454,0.7254111406622994
OutdoorNatural,0.007708601348302116,0.7278051823690443
IndustrialCostr.,0.007135903368533458,0.7473099978178988
Workplace,0.005139067547143745,0.8165153694048096
Forest/field/etc,0.0044065778541318565,0.8422964898538492
Content,0.003574404251779799,0.8717909839765567
VividColor,0.003574404251779799,0.8717909839765567
F age avg,0.0028669800455615544,0.8970065688315744
Water/Ice/Snow,0.001079977859027384,0.9611099649447304
Age min,-0.001170717138065326,0.9578453626716471
Appliance,-0.001182575140105104,0.9574187885174499
ManMadeElements,-0.0016942663064967352,0.9390246890113678
Cap. Sent. Magn.,-0.001757467853240209,0.9367547956430091
MotionBlur,-0.0027846157819853743,0.899949647899112
Accessory,-0.0032306505577482172,0.8840291852010759
Age avg,-0.0034765151711145838,0.8752730070947259
Age std,-0.0034765151711145838,0.8752730070947259
Kitchen,-0.004347072634058798,0.8443987030938647
Transport.,-0.005532552033530883,0.802745684676851
IsSponsored,-0.005693095680165717,0.7971448545305654
Furniture,-0.006191418138128142,0.7798276297102164
Vehicle,-0.008817917417279053,0.6905310298974384
Caption Len.,-0.009117736407409904,0.6805797848803271
%Green,-0.010247585989991643,0.6435879428477855
Shopping/dining,-0.015448275677814845,0.4854727801137907
%Cold,-0.015987990441827107,0.47035600236768726
%Red,-0.01948690784014389,0.3789066617887875
%Blue,-0.01987041005621516,0.3695947839058462
%Lum,-0.019946326656614013,0.36776843666668024
Pleasure,-0.020687665976653943,0.35023016287362674
Commercial/Building,-0.0216183381481908,0.32897692224135944
Symmetry,-0.025246053249292088,0.2542718340020359
Cultural,-0.028690727349196133,0.19509750248620092
Days,-0.02977774471728123,0.1787040542252439
N Mentions,-0.029783726794996804,0.1786167620483011
Weigh. Emoji Sent,-0.03304938703370721,0.13554733716065265
Indoor,-0.03409710477066467,0.1235789868274872
Cap. Sent. Score,-0.03725955040833459,0.09240534024917976
Electronic,-0.041312429602186444,0.062035411018323716
N Female,-0.044103261037549024,0.046346855422810015
Sports/Leisure,-0.06296124843002648,0.004434063350435227
Repetition,-0.06452075684260965,0.0035439726589401484
