feature,corr,p-value
Caption Len.,0.1672788986321503,1.006908582657849e-76
Cap. Sent. Magn.,0.1572407735346343,6.727376493918889e-68
N Mentions,0.09587607865078096,3.896957970345041e-26
ImgPopScore,0.09572598425277336,4.652855017073057e-26
N Emojis,0.07755156913966857,1.2644494479294549e-17
%Blue,0.07540445784632173,9.604359603256146e-17
%Green,0.07379862125889322,4.218310339215665e-16
Location,0.0682742019553801,5.399106676151096e-14
%Red,0.06254101051885749,5.6203578985026235e-12
Object,0.06028014659129758,3.148418744748156e-11
Pleasure,0.05484398156557192,1.5435177388895364e-09
Aest_score,0.05408711734113904,2.5804734090685694e-09
ColorHarmony,0.053432504897558214,4.00260299846574e-09
RuleOfThirds,0.042523386027345435,2.847475482385789e-06
Light,0.040009616268409584,1.0600435403957612e-05
%Cold,0.0395663761294217,1.326331994820594e-05
DoF,0.03939211279594938,1.4475879089776201e-05
BalancingElement,0.03822116385458685,2.5819373054405135e-05
MotionBlur,0.03758394168367912,3.513891671599815e-05
Home/Hotel,0.03139611270194496,0.0005487035190746064
Animal,0.02961761877808345,0.001114389860659059
OutdoorManmade,0.0252204216214617,0.005507001496451016
ImgSentScore,0.022167009764912173,0.014702399664638516
%Lum,0.018138609107693274,0.04591277596278447
CulturalHist.,0.01659920124592626,0.06773667105117118
M age avg,0.015927213608715747,0.07963766565575256
SportsLeisureParks,0.014584850578588418,0.10848310904505004
IndustrialCostr.,0.011614866772065172,0.20118599864829123
Transport.,0.010632351422491547,0.24198054219883788
Symmetry,0.010548237944921547,0.24572573751377055
Appliance,0.009843078981291296,0.27872414870302614
Forest/field/etc,0.009659073962023597,0.28780918711388787
Days,0.008660841461703147,0.34054733383005464
Age min,0.008475540820516757,0.35097893473355013
Person,0.008327886047615278,0.35943464400570735
OutdoorNatural,0.007825590441555803,0.3891466282186714
N Female,0.006505253059298878,0.4740739312374548
Weigh. Emoji Sent,0.005885001664386756,0.5172373145665321
ManMadeElements,0.0037422846528867605,0.6804755239759573
Houses/Gardens,0.0036094048103247683,0.6912261369465086
Furniture,0.0030501107185804716,0.7371388545110416
Mountains/hills/etc,0.002980477287701387,0.7429253424886053
Commercial/Building,0.0029386651452380326,0.746406916691615
N Hashstags,0.0015695009808401753,0.862877044538413
M age std,0.0010654356789278237,0.906666734902152
Outdoor,0.00019307444460741222,0.9830490012360179
Water/Ice/Snow,-0.0011896901585924872,0.8958407079045567
Transport.,-0.0029187707479858974,0.748065288654737
Accessory,-0.003340346764705242,0.7131839066515353
Electronic,-0.005988897297705755,0.5098680452638451
Age std,-0.0063898467621961216,0.481952184925294
Age avg,-0.0063898467621961216,0.481952184925294
%Warm,-0.006539191635922087,0.47177063954383014
F age avg,-0.006928098837393016,0.44582182513198754
Sports/Leisure,-0.0072009704370059715,0.4281112101428691
Content,-0.007564655578283226,0.40515464264677925
VividColor,-0.007564655578283226,0.40515464264677925
Vehicle,-0.009877773231299892,0.2770332616571275
Age max,-0.011625705291935476,0.20076583060104408
Food,-0.014649535338579314,0.10692541715858
Sports,-0.015453651802619216,0.08900489086936676
Shopping/dining,-0.016265563994046953,0.07344865702689013
Indoor,-0.01976181159312673,0.029640247715343574
Workplace,-0.019959434534785984,0.02804771715446115
IsSponsored,-0.021628267171949454,0.01729753619797653
Repetition,-0.021695107194876537,0.016955123458707474
Kitchen,-0.023988031956190356,0.00828818067121735
F age std,-0.025569240363838227,0.004890177544742268
Indoor,-0.02690871592223752,0.0030598871843088137
N Male,-0.02964652757945601,0.0011019473033110365
Cultural,-0.030536992170957098,0.000776126679331751
Cap. Sent. Score,-0.06816634343254156,5.913787780603072e-14
Arousal,-0.07064030121922664,7.070890611332689e-15
Dominance,-0.07709934494489219,1.947115060359849e-17
