feature,corr,p-value
Caption Len.,0.23580635482824772,0.0
Cap. Sent. Magn.,0.21717415804988704,3.296268711188809e-296
N Mentions,0.19990071054708694,2.311331758214404e-250
ImgPopScore,0.1341643802281629,1.2093218391999456e-112
%Blue,0.11534352553615307,1.4493093208706809e-83
%Green,0.11322648443873558,1.415698522253783e-80
Location,0.1114650323480936,3.940266851412896e-78
%Red,0.10480297450972756,3.078014734661461e-69
N Emojis,0.08963651733755737,4.59573022733577e-51
ColorHarmony,0.08952267205068626,6.136897907072118e-51
Pleasure,0.08209750292814895,4.29223919029217e-43
Aest_score,0.07824904046436251,2.6946901359404477e-39
Object,0.07776481555842339,7.860123725508403e-39
Light,0.07228274072939554,9.072567309381596e-34
RuleOfThirds,0.06616124257160333,1.494755710135229e-28
%Cold,0.05798158151306195,2.694214837402818e-22
DoF,0.054334261054076675,9.063346661246708e-20
Weigh. Emoji Sent,0.05320174590527469,5.117181955463617e-19
MotionBlur,0.0513334739820166,8.225743673488797e-18
Age min,0.048386755066681705,5.39128169906905e-16
F age avg,0.04762154766593398,1.5354759210077986e-15
Person,0.04709406340769657,3.1294299345176e-15
Age avg,0.04684264707779069,4.381968327137126e-15
Age std,0.04684264707779069,4.381968327137126e-15
Home/Hotel,0.045563844716586595,2.3633135278900416e-14
Furniture,0.044175934704171846,1.3980358420857155e-13
Age max,0.042322074052866226,1.3820929918202728e-12
BalancingElement,0.04220946664946558,1.5836023671185094e-12
ImgSentScore,0.03718663205752612,4.803626763067791e-10
N Female,0.031051977315919764,2.0161100409810696e-07
N Hashstags,0.02711735644277837,5.653157969856235e-06
IsSponsored,0.021838226964546546,0.0002570874766017918
Days,0.018671335630887048,0.0017783707558862545
%Lum,0.01815227754907854,0.0023810667225402284
Houses/Gardens,0.011644145435277737,0.0513276282980417
OutdoorNatural,0.009892833357876267,0.09779873948992181
Appliance,0.008899692261358555,0.13638057128537648
Forest/field/etc,0.008584979439823651,0.1507932973168564
CulturalHist.,0.008526847354384205,0.15357816269096833
Workplace,0.006264609998556552,0.2944535673835245
Mountains/hills/etc,0.005271859418816389,0.377636587025285
Transport.,0.0036511686330756438,0.5411795104541666
Water/Ice/Snow,0.002979606420554393,0.6180312645479553
IndustrialCostr.,0.0021655660319891664,0.7170449281740326
M age avg,0.0015245752072649455,0.7986149828610564
Electronic,-2.702950597581049e-05,0.9963908402313679
ManMadeElements,-0.0003849966291142583,0.9486280520879647
Symmetry,-0.0016879660792535874,0.7775726182900851
Indoor,-0.0035496689056344743,0.5524826664468372
OutdoorManmade,-0.004501868412972698,0.4512108330427439
Commercial/Building,-0.005381907988196832,0.36776034586237805
Kitchen,-0.005572459199120959,0.3510439727340069
%Warm,-0.005990056905517207,0.3161245845411507
Outdoor,-0.0060958082071603265,0.30765653131009335
N Male,-0.007342040862573845,0.21917771558978374
F age std,-0.009304035072229605,0.11945214777591452
SportsLeisureParks,-0.009928571556111529,0.09659268944182771
Accessory,-0.010291461973794533,0.08500858840255884
Sports,-0.010633577205857184,0.07514232671887489
Content,-0.011589625726000197,0.05242764780184276
VividColor,-0.011589625726000197,0.05242764780184276
M age std,-0.012238970486367396,0.040531995741991525
Vehicle,-0.01289312484931246,0.030945522781637015
Transport.,-0.013492771945770015,0.023937093532786894
Shopping/dining,-0.013656835128516086,0.02227782126873925
Animal,-0.01761135641926309,0.003203400460460041
Indoor,-0.018897888817319197,0.001562214995989689
Food,-0.01920531615957447,0.0013074772300543866
Sports/Leisure,-0.02627762627137758,1.0907311420299898e-05
Cap. Sent. Score,-0.02818094604635967,2.3927916859569283e-06
Cultural,-0.02936664967701538,8.850607787698457e-07
Repetition,-0.03904459898383921,6.290711463666194e-11
Arousal,-0.11094572907659785,2.0359119947632713e-77
Dominance,-0.11682632013815304,1.0798784058785348e-85
