feature,corr,p-value
ImgPopScore,0.26625882500337056,6.857965232590961e-136
N Female,0.16024515540994003,2.7639661901873457e-49
N FaceF,0.15698421018966413,2.396273020075149e-47
ImgSentScore,0.14559232874350986,6.68757011338296e-41
N Emojis,0.13096279594151125,2.3427041286209185e-33
N Cov.BreastF,0.12564079703708897,8.160835012759241e-31
Location,0.11747677546551923,4.0082182602552736e-27
Person,0.10748690819053273,6.010458971587354e-23
N Exp.Belly,0.09601717082646617,1.3023818128760571e-18
N Exp.Armpits,0.08498160601196701,6.724169408456961e-15
Light,0.08032962518104764,1.8154179807014586e-13
N Cov.Genit.F,0.07900221788733022,4.4969066506623127e-13
Weigh. Emoji Sent,0.07646617795003739,2.4417634880641916e-12
Content,0.05804226990299478,1.0659245013201155e-07
VividColor,0.05804226990299478,1.0659245013201155e-07
Age min,0.057201649336423896,1.623213622425347e-07
Arousal,0.05628275905963718,2.5535957775255593e-07
Aest_score,0.05614278407407502,2.7344090404851015e-07
SportsLeisureParks,0.04882145919257387,7.835550464535687e-06
N Exp.Buttocks,0.046931245826561135,1.736067962133894e-05
Age max,0.04632969585055793,2.2227378263934812e-05
F age avg,0.04605359717022594,2.487263985630636e-05
Age std,0.04461464390249204,4.424976851841648e-05
Age avg,0.04461464390249204,4.424976851841648e-05
Cap. Sent. Magn.,0.0403168431920681,0.00022396661992259595
Pleasure,0.037921510832566986,0.0005186955207600384
%Lum,0.035819126980363464,0.001044138946751626
%Cold,0.03431139228454551,0.0016878853689545924
N Exp.Feet,0.029641463468496783,0.006674385219456495
Object,0.027343934802664716,0.012338032071117578
Cap. Sent. Score,0.027282584121226004,0.012535165672752702
F age std,0.024287593067803353,0.02624662817480496
RuleOfThirds,0.02310717089549802,0.034473119225072894
ColorHarmony,0.020121964262217983,0.06558292957333633
OutdoorNatural,0.019835452853934128,0.06951757898295648
M age avg,0.01974161874074432,0.07084757245757796
N Cov.Buttocks,0.018752970615102192,0.08616738015134902
Mountains/hills/etc,0.018415630387068584,0.09196974437134334
Shopping/dining,0.01760986383150271,0.10710230303790236
DoF,0.01680219520027602,0.12418547030348971
Dominance,0.01630485573650651,0.13571837754014324
BalancingElement,0.016221967169852206,0.13771843265350509
Sports/Leisure,0.01615450994293911,0.13936284361128187
Electronic,0.015165486738411716,0.16524070023366155
Days,0.012215409630838562,0.26369445279459913
ManMadeElements,0.010758243751105125,0.3249367215911003
N Cov.Belly,0.01005039214040192,0.3577855312447409
Water/Ice/Snow,0.009016752821736819,0.4093643813635084
Animal,0.008818871045969592,0.4197204994452195
Workplace,0.00787490695556646,0.4711969609355866
Outdoor,0.007657558940013284,0.48352425640462837
Indoor,0.007343548118199885,0.5016386921820186
Home/Hotel,0.006965174707561033,0.5239342249939415
Forest/field/etc,0.0069553582969772414,0.5245193408134333
N Exp.BreastM,0.006150704269807008,0.5735918138250702
Appliance,0.002727307255557463,0.8029447276274926
Transport.,0.0005187804591622724,0.9621415974768076
%Blue,-0.00017331069230581595,0.9873483006587671
N Exp.BreastF,-0.0012739119649868415,0.9072105033114272
M age std,-0.0014562973436176656,0.8939993787763278
N Exp.Genit.F,-0.0030592862172887734,0.7795444022361828
Houses/Gardens,-0.004041842858577063,0.711521405809268
IsSponsored,-0.004338633856713733,0.6913902583495579
Indoor,-0.007276687240349307,0.5055415827235992
%Warm,-0.00781423323744484,0.47462064132368764
IndustrialCostr.,-0.008010174279024064,0.46361340002962437
Food,-0.008197275821202478,0.4532367919979565
Sports,-0.008252969742267125,0.450173524404187
Symmetry,-0.00967301216266816,0.37612336924793077
Kitchen,-0.011653189690114965,0.2863082510007955
%Green,-0.012407992337985754,0.2562395284544509
Vehicle,-0.015670357401282187,0.1516117872810851
MotionBlur,-0.01666315489721281,0.12732989197457048
Accessory,-0.01985003425851834,0.06931275585569846
Transport.,-0.021305499112634498,0.05122534933945674
OutdoorManmade,-0.022505721996983183,0.03945190166697416
%Red,-0.028157447600552443,0.009971907406298972
N Cov.Feet,-0.032398344514746456,0.0030259038868856634
Furniture,-0.040823275789319415,0.0001864362978142287
CulturalHist.,-0.04218217623910004,0.0001128246780457631
N Male,-0.04802419986734601,1.0998292280552956e-05
N Mentions,-0.05005369797437215,4.592725441027005e-06
Repetition,-0.05606890353061659,2.834767156456388e-07
Cultural,-0.056262129345907574,2.5794993863373506e-07
Commercial/Building,-0.06343699385744878,6.244404556954764e-09
N FaceM,-0.08913499464737815,3.0393304895720816e-16
Caption Len.,-0.09222348538914062,2.764778516222601e-17
N Hashstags,-0.0929732250787022,1.5262672460660465e-17
