feature,corr,p-value
N Mentions,0.23788768767107082,0.0
Location,0.2160734386367994,0.0
ImgPopScore,0.1844416379946491,0.0
N Emojis,0.1426507161261146,0.0
Age min,0.13823043563809026,0.0
Caption Len.,0.13574946210897026,0.0
Cap. Sent. Magn.,0.133093321387429,1.6760637765367402e-304
Age avg,0.12291710859079853,1.0729150348419512e-259
Age std,0.12291710859079853,1.0729150348419512e-259
F age avg,0.12211322015293075,2.5925644116564142e-256
Age max,0.10597101249457654,3.420637958389073e-193
N FaceF,0.10490999935243828,2.3071803874967063e-189
Weigh. Emoji Sent,0.10488462495081273,2.845582954904417e-189
N Female,0.09643694694130081,3.411491555946751e-160
ColorHarmony,0.09067227528828462,8.97781170106989e-142
Aest_score,0.08916376450299693,3.832169510927644e-137
Light,0.08465544594692397,8.970763130459968e-124
%Cold,0.08230846904339945,4.31779669055812e-117
Person,0.08117735353249039,6.138679011867415e-114
OutdoorManmade,0.07185917613276756,1.224324573952002e-89
N Cov.Feet,0.06914166131316607,4.109823479479801e-83
ImgSentScore,0.05581030708661255,9.443951017393796e-55
BalancingElement,0.05269241444491797,5.43520108080519e-49
MotionBlur,0.05223261282454288,3.603603892831039e-48
N Cov.BreastF,0.052114577061630085,5.840806340131892e-48
DoF,0.04926803537012101,4.80123434980779e-43
Content,0.04804382254701133,5.136327747167692e-41
VividColor,0.04804382254701133,5.136327747167692e-41
Object,0.04491361561361692,4.663541479279536e-36
%Blue,0.04247886711742872,1.977758824937061e-32
%Green,0.03975661246588996,1.3032381957766305e-28
Commercial/Building,0.03943449595127023,3.551100419984457e-28
%Red,0.03772416388522815,6.357933173765951e-26
RuleOfThirds,0.03586346953004112,1.3883717635355872e-23
N Cov.Genit.F,0.033822991804678404,3.748978979936984e-21
N Exp.Belly,0.031968629477030414,4.595426717003583e-19
Houses/Gardens,0.02955645507633797,1.6088927794764222e-16
Pleasure,0.026896281124432663,6.11981169074483e-14
N Exp.Feet,0.026566775358144,1.2299965826916495e-13
SportsLeisureParks,0.02596337359543838,4.322087806356128e-13
CulturalHist.,0.02419307696276005,1.4690905848913e-11
N Exp.Armpits,0.023388035790011707,6.745137117088496e-11
Transport.,0.021537810482608062,1.8574767236411514e-09
%Lum,0.021133407204579645,3.7031356361767978e-09
N Hashstags,0.018141849859383143,4.147908493809196e-07
Cap. Sent. Score,0.01707916219965264,1.8840485221861263e-06
%Warm,0.016992865592158016,2.122490460814428e-06
Forest/field/etc,0.013762046277140172,0.00012311967212333476
N Exp.Genit.F,0.012045179391622233,0.0007772852164830963
OutdoorNatural,0.00953077226116094,0.007833308472580012
Sports,0.0072798421831365406,0.04224257468871604
IndustrialCostr.,0.00592754918710625,0.09816476487608097
Days,0.0052283106967997975,0.14464144354176234
N Exp.BreastM,0.004828620691712337,0.1779138942006596
Animal,0.004516233925758518,0.2076521081684303
ManMadeElements,0.0025289197398014494,0.48045152173229844
N Cov.Belly,0.001633652542365983,0.6485382953353305
Water/Ice/Snow,0.0013906424156632825,0.6980210955498374
N Cov.Buttocks,-0.0002947713898072192,0.9344542658854021
Outdoor,-0.00033470006991288094,0.925599913706293
Appliance,-0.0004549756440933474,0.8989883350103511
N Exp.Buttocks,-0.002057141207380632,0.5660026287550151
Mountains/hills/etc,-0.0025920096552995244,0.469569994881991
N Exp.Anus,-0.0030797704339326493,0.39019363021845554
M age std,-0.0039568470189499105,0.26960386277037407
N Exp.Genit.M,-0.0047683931176404695,0.18338583601187042
Transport.,-0.005768317721836424,0.10753119142848251
N Exp.BreastF,-0.005960434540892665,0.0963140309030874
Vehicle,-0.005977185274606138,0.09538211704506346
Home/Hotel,-0.00656764114673111,0.06689046429337771
IsSponsored,-0.007153122890955608,0.04595939434940132
Repetition,-0.008835644399661243,0.01369304275956777
Accessory,-0.009717678751909804,0.0067015409387952505
Indoor,-0.017183905856110578,1.6291039988402996e-06
Workplace,-0.019994457175513226,2.4181492421216033e-08
M age avg,-0.020192983305960498,1.7559643757113136e-08
Electronic,-0.02163382554132275,1.573933811432128e-09
N FaceM,-0.021660235354745535,1.5036478388308346e-09
Furniture,-0.022629732616288895,2.709228158635718e-10
Cultural,-0.024982089917205724,3.143424092140791e-12
N Male,-0.02560809416083584,8.940887514951221e-13
Food,-0.02621515446052055,2.567005771412446e-13
Symmetry,-0.02774527615638359,9.748306501986432e-15
Sports/Leisure,-0.028096356901458695,4.487316468789469e-15
Kitchen,-0.02865818057075804,1.2712358662200713e-15
Shopping/dining,-0.03242785833969092,1.4317862637639183e-19
Arousal,-0.04063819390632992,8.047939989685559e-30
Dominance,-0.0450927331983785,2.477101311544972e-36
F age std,-0.05648593729125906,4.8243705419906175e-56
Indoor,-0.07245927530613193,4.0993499632378415e-91
