feature,corr,p-value
N Mentions,0.20735858366115129,0.0
ImgPopScore,0.17311810526100863,0.0
Location,0.1725843016786122,0.0
Age min,0.12156438233800188,6.608868331351929e-212
N Emojis,0.11860755567766454,9.42537517359119e-202
Caption Len.,0.1035118723476901,6.738558756202986e-154
Age avg,0.10265746827942637,2.1807074543689963e-151
Age std,0.10265746827942637,2.1807074543689963e-151
F age avg,0.10215842868011585,6.235230740394579e-150
Cap. Sent. Magn.,0.09031323504991715,1.7559947497699765e-117
Age max,0.08499355576192723,3.169640553518288e-104
Person,0.08343143908479715,1.7350506596817636e-100
Light,0.07789593324513806,8.378576837794885e-88
N FaceF,0.07688769418774698,1.3771501542489725e-85
Aest_score,0.07237307341305595,5.0653293788901567e-76
ColorHarmony,0.0691717829960585,1.3652710800894135e-69
Weigh. Emoji Sent,0.0688784845628819,5.126070147817688e-69
N Female,0.06114110972900243,9.632773162011069e-55
%Cold,0.05879216246394942,9.568735880142258e-51
ImgSentScore,0.057877007425935156,3.1319640790131236e-49
OutdoorManmade,0.056751652179632225,2.119535021087834e-47
N Cov.Feet,0.05060716793801929,4.885857323518395e-38
Object,0.04960551717790446,1.300663085048022e-36
BalancingElement,0.04411530983633399,2.654718267308924e-29
N Exp.Belly,0.042641515082579934,1.745543116097205e-27
N Cov.Genit.F,0.04257795004437541,2.084322686079923e-27
%Green,0.04246318074178232,2.869236427455838e-27
DoF,0.041676258411743064,2.5090284628960745e-26
%Red,0.04055672179584253,5.1209297806661075e-25
N Cov.BreastF,0.040464218929893624,6.546414274268967e-25
%Blue,0.03803636354179506,3.3848449957226216e-22
%Warm,0.033551893396843196,1.2823912760552795e-17
N Exp.Armpits,0.030665407183888767,5.7300883256129594e-15
MotionBlur,0.030465694399438043,8.569238839090951e-15
SportsLeisureParks,0.028712894446519765,2.6264577494049286e-13
VividColor,0.026781513701838424,9.089155959318652e-12
Content,0.026781513701838424,9.089155959318652e-12
Houses/Gardens,0.024714431916973357,3.1006586511708507e-10
N Exp.BreastM,0.023408679157954086,2.5062249184629727e-09
Pleasure,0.023161444810550928,3.6776832184895115e-09
Commercial/Building,0.022315975345791345,1.3256888645547518e-08
N Exp.Feet,0.022086303619019663,1.8634737957949424e-08
Transport.,0.018011811893524025,4.507937883413099e-06
CulturalHist.,0.015478297767882673,8.105329197817807e-05
RuleOfThirds,0.014795893672709724,0.0001649017238327557
Forest/field/etc,0.013209841990324055,0.0007693606200780858
N Hashstags,0.010989786574072513,0.005137807655680238
N Exp.BreastF,0.010144329958627426,0.009795128311948311
OutdoorNatural,0.00741620991498254,0.05898374551554031
N Cov.Buttocks,0.005484428740986847,0.1625832758217174
N Cov.Belly,0.005450430756072426,0.16520427667694443
Days,0.004886570957616358,0.2134228633837388
IndustrialCostr.,0.0029959183735208056,0.4455757638450365
Sports,0.002801372317793947,0.47567456942264674
N Exp.Buttocks,0.002761478840714299,0.4819815418323038
%Lum,0.0012853492574379473,0.7434628429748718
Home/Hotel,0.0011016474914104825,0.7790957823783997
ManMadeElements,0.0007391081441647928,0.8507284446809288
M age std,0.0005783053147406922,0.8829378401070492
Animal,-0.00017178066511004206,0.9651131121774478
Appliance,-0.0006582417145981935,0.8668986482463831
Water/Ice/Snow,-0.0009393367765807189,0.8109733139842958
Mountains/hills/etc,-0.0014784028103632324,0.706600387301036
N FaceM,-0.001487210749691072,0.7049341042038804
M age avg,-0.0019903992401480637,0.6123030525550249
Outdoor,-0.0029667337712844266,0.45002060819808853
N Exp.Genit.F,-0.0040665075170436766,0.300480420344894
N Exp.Anus,-0.004348855017350162,0.26816642747543107
Transport.,-0.0052355737916201595,0.18250818633089297
N Male,-0.006308278875807986,0.10822841405921317
N Exp.Genit.M,-0.006864552954972413,0.08049031620713377
Vehicle,-0.00741207402589192,0.05912518029888541
Furniture,-0.008284324944900692,0.034913432746981055
Electronic,-0.012488354920140367,0.00147344346083013
Accessory,-0.013009292951142533,0.0009245977468374386
Cap. Sent. Score,-0.015786111756143195,5.82839105618538e-05
Symmetry,-0.015867588471117317,5.335960236569692e-05
Shopping/dining,-0.016607998814097975,2.3477392940188843e-05
Cultural,-0.01725041182998951,1.120215397932347e-05
IsSponsored,-0.017559178378636384,7.77822495837743e-06
Repetition,-0.018592326910246613,2.197906037186807e-06
Kitchen,-0.0192034677209391,1.0085223325334962e-06
Indoor,-0.021524261287151732,4.227746076906034e-08
Food,-0.02429773128585071,6.112052094312046e-10
Workplace,-0.024621071150900734,3.6133034247990283e-10
Sports/Leisure,-0.03518489626193547,3.2050810292745023e-19
Arousal,-0.044479737412835514,9.22758521065382e-30
Dominance,-0.045656911284199526,2.8650904436025074e-31
F age std,-0.05315343067773574,8.67909090829382e-42
Indoor,-0.05717427979437984,4.3956932486436437e-48
