feature,corr,p-value
N Mentions,0.3297949045950893,0.0
Location,0.23647612406275456,0.0
Cap. Sent. Magn.,0.20387208543768198,0.0
N Emojis,0.15690032518345234,2.8791706001518877e-252
Caption Len.,0.13679490954066018,1.081793207448095e-191
ImgPopScore,0.1347121364832876,6.561736735414027e-186
Weigh. Emoji Sent,0.10887557012514178,9.351213818668465e-122
ColorHarmony,0.09783569501116406,1.398527497987043e-98
%Cold,0.09459862554171984,2.9122841838938325e-92
Age min,0.08421437232342326,1.9155617201557378e-73
OutdoorManmade,0.0817908417552866,2.2733823673578035e-69
N Female,0.07525013139246808,5.692089268924256e-59
N Cov.Feet,0.06843020089741149,4.698768156658153e-49
Age avg,0.06727173256741945,1.8315815123510532e-47
Age std,0.06727173256741945,1.8315815123510532e-47
F age avg,0.06686100249175389,6.611976878808283e-47
N FaceF,0.06448064888855456,9.641233261260363e-44
%Blue,0.06442219627942448,1.149166930982194e-43
%Green,0.06440280235324553,1.2180551376269982e-43
Aest_score,0.05843002543293173,3.245146418924188e-36
%Red,0.05753181816737741,3.6789361806233573e-35
Light,0.054627505001718646,7.315900195584244e-32
Age max,0.05049544694188715,1.8415213532626682e-27
ImgSentScore,0.04808381680237887,4.737009810612432e-25
Person,0.047870367257267225,7.64238148740622e-25
Houses/Gardens,0.04727969935549654,2.8398917280279247e-24
BalancingElement,0.04686371043531038,7.089210377588682e-24
%Lum,0.0415616912847181,4.088458617444672e-19
CulturalHist.,0.03976318719712456,1.2566426109911732e-17
Pleasure,0.03870031025486451,8.87410739408182e-17
Transport.,0.03821454623304181,2.131199331671218e-16
Cap. Sent. Score,0.03816396799657027,2.333310556580031e-16
MotionBlur,0.03023287710299915,8.146974763026509e-11
Days,0.02782638265509728,2.225468403197064e-09
Forest/field/etc,0.027147975364430935,5.392802307057379e-09
Repetition,0.02664197757876362,1.0295490516739634e-08
Commercial/Building,0.026435059044562198,1.3367321359291887e-08
OutdoorNatural,0.024713882813193058,1.0885930062172276e-07
RuleOfThirds,0.023261633133642032,5.760253004922772e-07
N Exp.Feet,0.017720873923408858,0.00014002580585000687
SportsLeisureParks,0.015333839969832062,0.0009838784781527564
%Warm,0.00980005603783786,0.03521601519256677
DoF,0.009243906363688248,0.046994100919905295
Object,0.0074914251881925175,0.10744936728421357
Animal,0.007397426835403283,0.11193287238030937
Appliance,0.006526495809027088,0.1607915156792486
Water/Ice/Snow,0.0064813076614463495,0.16370925011642964
ManMadeElements,0.005302378918777698,0.2545480674419446
N Cov.Genit.F,0.004735544775118381,0.3088825926359794
Mountains/hills/etc,0.002095085214894639,0.6525749261907722
N Exp.Genit.M,0.0014214821365034062,0.7600270922755161
Home/Hotel,0.0008975531122760846,0.847065211747043
N Exp.Anus,0.0006820244506170143,0.8834856588410299
Content,-0.0007268404356590223,0.8758896063593333
VividColor,-0.0007268404356590223,0.8758896063593333
IndustrialCostr.,-0.0014886465972092878,0.7490612777661556
Outdoor,-0.0015281224318725677,0.7426395674893105
Furniture,-0.0016757440790671533,0.7187868787353985
Sports,-0.002434315416059661,0.6009176836929729
N Cov.Belly,-0.002764763964953051,0.5524534347767288
M age std,-0.004035787234248228,0.38582974915810697
M age avg,-0.006370469007799977,0.17103468926512236
IsSponsored,-0.006485246924998297,0.16345332068491494
N Exp.Genit.F,-0.007864321993460266,0.09104806224407776
N Exp.BreastM,-0.008159030224003414,0.07956352496149037
Kitchen,-0.009087265869464045,0.0508560229401809
Indoor,-0.011187108064144724,0.016219559581030392
Accessory,-0.012037796508706348,0.00968859104037007
N Cov.Buttocks,-0.012055827664843284,0.009580189624232452
N Exp.BreastF,-0.012117518282467845,0.00921744492345489
Vehicle,-0.012839905973727571,0.0057956290362258175
Symmetry,-0.013100424857221498,0.004876020543237754
Transport.,-0.014069775770277078,0.0024992426525373397
N Exp.Armpits,-0.01515623827349353,0.0011262528093288642
N Exp.Belly,-0.015578580799195284,0.0008148651271437502
Food,-0.016315890184403332,0.00045462675204963445
N Cov.BreastF,-0.018233694648515545,8.915969069977228e-05
Electronic,-0.020113421123987018,1.5436459872650285e-05
Shopping/dining,-0.022312395506177547,1.6264484567783623e-06
Cultural,-0.02240117345101828,1.478495608990928e-06
N Exp.Buttocks,-0.03498419672785987,5.493089039951542e-14
Workplace,-0.047098220830897854,4.2369273543076256e-24
N Hashstags,-0.052131395316596996,3.6623439011172853e-29
Sports/Leisure,-0.05277543229901103,7.572165591480465e-30
N FaceM,-0.054139719128149896,2.5213587755416847e-31
N Male,-0.06602070909881205,8.918111375952839e-46
Arousal,-0.06612748843966272,6.419169257890598e-46
Dominance,-0.06854903753209907,3.215568734239448e-49
F age std,-0.07010619101366361,2.100734001943096e-51
Indoor,-0.0910317728268417,1.503672913842102e-85
