feature,corr,p-value
ImgPopScore,0.35554994956511987,9.241704421244585e-23
ImgSentScore,0.15900461552113057,1.9159929551000897e-05
%Red,0.1338342704454167,0.0003293217358716748
Object,0.12799897134860314,0.0005965761347244167
ColorHarmony,0.11960002275541455,0.0013449954236338126
BalancingElement,0.11952615344659522,0.0013543487763573168
%Blue,0.10881214324042078,0.003554751168925998
%Cold,0.10503930647043949,0.004899988316337632
Light,0.10435118869823362,0.005189925497557068
N Female,0.09945342109217999,0.0077413435296469196
%Green,0.09897520454622478,0.00804254071425042
RuleOfThirds,0.0969207869960294,0.009458985432825567
Pleasure,0.08248602053550907,0.0273083866747752
Aest_score,0.08181746647874638,0.028587231591102248
Transport.,0.07275442076922618,0.051660318751929044
%Lum,0.06794850354511989,0.06920153360260464
Age min,0.06784527175599228,0.06962621003282622
Houses/Gardens,0.05941728202945943,0.11216792929392637
Transport.,0.05383583920118903,0.15012908949466724
Mountains/hills/etc,0.0436575644811399,0.24332668465729484
Workplace,0.043018169060436096,0.25030504800945025
MotionBlur,0.04075537466435263,0.2761156937103045
Vehicle,0.031239126832120007,0.4039174625710308
Furniture,0.02849980320162381,0.44640326088831694
F age avg,0.02643501563427897,0.480038691337506
Age std,0.026352829735434513,0.48140544506365157
Age avg,0.026352829735434513,0.48140544506365157
Person,0.024269560034156056,0.516745661448927
OutdoorManmade,0.023220334893363878,0.535039327871727
Commercial/Building,0.019517369765406713,0.6020976206387569
Food,0.017281301589683013,0.6443376050450967
IndustrialCostr.,0.016751742410885565,0.6545182057167984
DoF,0.014895635687570434,0.6906996855000491
Shopping/dining,0.01394321814828942,0.7095494067768783
M age std,0.0029817494060767075,0.9365180531997536
Water/Ice/Snow,0.0010424267665451637,0.977786005571351
Weigh. Emoji Sent,0.0007201251453050342,0.984653181591429
Indoor,0.0004387218502060806,0.9906498958444603
ManMadeElements,-0.0009074052381634539,0.9806626947438735
%Warm,-0.0009190707838947025,0.980414145058387
N Mentions,-0.0016688262564733924,0.9644446695815165
Electronic,-0.00236122101759601,0.9497094383581968
Home/Hotel,-0.003816109910725363,0.9188089820627714
Appliance,-0.005014791824258709,0.8934396820291953
OutdoorNatural,-0.005903845564451353,0.8746920209747249
Symmetry,-0.009269821115700922,0.8044319610700736
Indoor,-0.015120737196489376,0.6862719051430544
Sports,-0.015186214977069677,0.6849859540907843
Age max,-0.01681438843822034,0.6533104597525613
M age avg,-0.025241076866433197,0.5000999164741737
N Emojis,-0.030391749395733088,0.4167947990288179
Location,-0.03077373735319648,0.41096018429414694
SportsLeisureParks,-0.03285509029460762,0.3800287897747928
Cultural,-0.032873640132130726,0.37975969879220617
Content,-0.03304760720524612,0.3772417591999152
VividColor,-0.03304760720524612,0.3772417591999152
Days,-0.03667668409064143,0.3270781201046695
Forest/field/etc,-0.03671466327547825,0.3265771054353066
Repetition,-0.04211358829468352,0.26041396842684167
Kitchen,-0.04267292203089105,0.2541305193305454
N Hashstags,-0.0499974307251102,0.18143868841028418
IsSponsored,-0.05212669568993557,0.16352134706126192
CulturalHist.,-0.052493393027755804,0.16057486248226807
Accessory,-0.05324492245395306,0.1546615521704303
Animal,-0.057021921862790134,0.12741451590470976
Sports/Leisure,-0.061686420763413914,0.09908556309459408
Caption Len.,-0.0630460130876121,0.09184857918107182
F age std,-0.10301111568598767,0.005799341371241431
Cap. Sent. Score,-0.10322932835864773,0.005695912694078274
N Male,-0.10901577755103586,0.0034927330176921668
Cap. Sent. Magn.,-0.11564923648344692,0.0019380720895676136
Arousal,-0.12727030747110907,0.0006414328407066797
Dominance,-0.1281479697529038,0.0005877702556928055
