feature,corr,p-value
Caption Len.,0.34750143669494404,4.391080401117043e-10
N Hashstags,0.2844753880540752,4.360147988307761e-07
F age std,0.18154554336187764,0.00145236202427325
ImgPopScore,0.16912041576024697,0.0030485049900400843
Dominance,0.1570609105952588,0.00598196992265901
DoF,0.12811440287331738,0.025256116624295107
Cap. Sent. Magn.,0.12121711923073324,0.03433779890036396
N Female,0.11991645718617817,0.03633035746822069
Arousal,0.11897760322538624,0.03782884114305322
Light,0.11505439882075066,0.04466877659500802
Age max,0.11037104791426718,0.05416441046634178
F age avg,0.10853873884848188,0.058309833910837335
Age std,0.10853873884848188,0.058309833910837335
Age avg,0.10853873884848188,0.058309833910837335
Age min,0.10548690226992999,0.06579447219651324
Location,0.10243515572192587,0.07404922813908466
%Warm,0.09772812660861611,0.08841453786612591
Aest_score,0.09412186382705713,0.10086754499167
Person,0.08493927504276848,0.1388771334475714
Transport.,0.08247530174118659,0.15074528428892767
Cultural,0.0813583594541504,0.1563721184204937
Sports,0.07555886321239708,0.18815977845017196
SportsLeisureParks,0.07367175829690262,0.19946294048787627
IsSponsored,0.07163372746110372,0.21221583646737618
Shopping/dining,0.07068363643447417,0.21835726283779228
Commercial/Building,0.06729469014300853,0.24129573942305196
Cap. Sent. Score,0.06290601756471531,0.27343762415942074
N Male,0.05912866889975421,0.30333942520135065
Food,0.058567810543647736,0.3079569546165642
Water/Ice/Snow,0.05759963242971354,0.3160362754688562
Houses/Gardens,0.05654521009828288,0.3249913895053502
Object,0.053854066633870455,0.3485840278167458
OutdoorManmade,0.05345993883815533,0.352127985364165
ColorHarmony,0.04164398755436453,0.468691885737632
N Emojis,0.04133235135494757,0.47202883338131396
MotionBlur,0.024153415089005786,0.6743754991448919
RuleOfThirds,0.022153479189127412,0.6999762317137561
Repetition,0.0070453300990299655,0.9024731909668289
Indoor,0.006319768951662615,0.9124744659071465
OutdoorNatural,0.003751028820902455,0.9479827983891912
ImgSentScore,0.0012613082592992106,0.9824979215076871
Forest/field/etc,0.0006243427594193794,0.9913360161417791
N Mentions,-0.0005831233082539676,0.9919079969004398
VividColor,-0.011359729356333687,0.8433729703223857
Content,-0.011359729356333687,0.8433729703223857
Appliance,-0.012741970774621523,0.8246064247175056
BalancingElement,-0.018969339978457723,0.7414342067966468
Workplace,-0.02136684187684758,0.710141491484014
Transport.,-0.023398891786123165,0.6839919223457223
Animal,-0.02547568672661302,0.6576508680297846
%Cold,-0.028907752330884467,0.6150456027232896
ManMadeElements,-0.031401086010346836,0.5848739280077493
Days,-0.03768213048013359,0.5120681254773565
Indoor,-0.045172794614657216,0.4318259207283708
IndustrialCostr.,-0.05560132701653029,0.33314570295007206
Mountains/hills/etc,-0.056914468393753644,0.32183679608703164
Kitchen,-0.09107518349403668,0.1124381074831009
Symmetry,-0.09854160111200655,0.08578339561632965
%Lum,-0.10138807470451104,0.07706852098806413
Furniture,-0.10997150493258909,0.0550468362572225
CulturalHist.,-0.11065192545708127,0.05355112480947317
Home/Hotel,-0.1170810834856598,0.041015817807916556
Weigh. Emoji Sent,-0.12129289338830533,0.034224637908096336
Pleasure,-0.12668618062348386,0.026944887807934186
Sports/Leisure,-0.13408235421980805,0.019148865290999198
%Green,-0.14991364046947492,0.00873606467261342
%Blue,-0.1558034378902381,0.006401250812525388
%Red,-0.1703320154532284,0.0028418660957800707
