feature,corr,p-value
N Mentions,0.2817956999762434,0.0
Cap. Sent. Magn.,0.2808105177489426,0.0
Caption Len.,0.23321762688746708,0.0
Location,0.22405869090138658,1.219625469956843e-298
N Emojis,0.15871496304503876,5.530016394018644e-149
ImgPopScore,0.123669148159965,8.895318060171403e-91
Light,0.0790690099716547,5.215019017262667e-38
Aest_score,0.07803539722896288,4.599472430293613e-37
ColorHarmony,0.07528913802881841,1.3010637799007051e-34
DoF,0.07463181526433521,4.87617791344754e-34
Weigh. Emoji Sent,0.06785693797707215,2.0401700717419824e-28
RuleOfThirds,0.06569178754564818,9.865540734630359e-27
Object,0.06511147211195797,2.7314123628346334e-26
Person,0.062194415552714453,3.9866735691094406e-24
N Female,0.05930089361626861,4.471273283500189e-22
%Cold,0.05659892842811202,3.002904584607752e-20
ImgSentScore,0.05347232367256057,3.0699780580470014e-18
%Blue,0.051610639022966115,4.2704890782392126e-17
%Green,0.050710194154472255,1.4765350529171645e-16
BalancingElement,0.050128011211744206,3.255717740870194e-16
%Red,0.05010251061166276,3.369766363910105e-16
Age min,0.04862978082132242,2.3909613227837377e-15
Age avg,0.04654664323140478,3.467146314257239e-14
Age std,0.04654664323140478,3.467146314257239e-14
F age avg,0.04647550081330862,3.791071219983262e-14
Age max,0.04476092805204118,3.134591152812636e-13
Cap. Sent. Score,0.041103468105971694,2.1952529894501675e-11
Pleasure,0.03292067090916456,8.355177889218742e-08
%Warm,0.027147772390264512,9.910858862726513e-06
N Hashstags,0.024722589344520634,5.716647987902787e-05
Shopping/dining,0.023475384066120566,0.0001328357894363269
Food,0.018411644368723678,0.002728783501414119
VividColor,0.015019982389782461,0.01449979440077818
Content,0.015019982389782461,0.01449979440077818
Vehicle,0.008485165310522772,0.16728391630361356
Days,0.00767981733343922,0.21133343923796613
Water/Ice/Snow,0.005674467852668291,0.3557331637144958
Mountains/hills/etc,0.005270247301793585,0.3910373217719404
Commercial/Building,0.004553594063728542,0.4586325662908578
IsSponsored,0.003915627989201761,0.5239488933635116
Indoor,0.0026114427531566437,0.6708275396537733
OutdoorNatural,0.0011782800281441134,0.8479263547045215
Houses/Gardens,0.0010097230178031246,0.8694695798692527
ManMadeElements,0.00034042402626721093,0.9558166518010527
SportsLeisureParks,-0.0009676407476432332,0.8748639031187825
Appliance,-0.0012670945582452869,0.8366194729260843
F age std,-0.0013834716061945848,0.8218549256317152
Furniture,-0.0016239292742067043,0.7915531121811399
%Lum,-0.0016755699284576855,0.7850846991340602
Accessory,-0.0021612022456775435,0.7250365136017144
Sports,-0.0021997422978131133,0.7203372745197765
Home/Hotel,-0.002517634900619264,0.6819928355015802
Kitchen,-0.002687076432239034,0.6618778695527958
CulturalHist.,-0.0037027095293559317,0.5467632885868141
Animal,-0.003862399544507748,0.5296062921480327
OutdoorManmade,-0.004294938847077957,0.4845497208486448
Symmetry,-0.005712983599711604,0.3524774579138411
Transport.,-0.0068835017250749465,0.26258515182614905
Forest/field/etc,-0.007114037093919475,0.24693634853950397
Cultural,-0.007666449802795065,0.2121293768097511
M age std,-0.007874392846107392,0.19999149720921328
IndustrialCostr.,-0.00795651767317774,0.19534016296557968
M age avg,-0.010894733105547026,0.0762008165575191
MotionBlur,-0.011648197995274107,0.05798566303965877
Sports/Leisure,-0.011752197505022113,0.05578212260901602
Transport.,-0.012133877032794355,0.0482841682446657
Outdoor,-0.013214049772522897,0.03150162782566587
N Male,-0.017919828711065712,0.0035377528633824904
Repetition,-0.018405558990184128,0.0027376635623369725
Indoor,-0.019544765844635582,0.0014666090748773515
Workplace,-0.02193994062687467,0.0003554159887828065
Electronic,-0.024684632256744003,5.868639100485353e-05
Arousal,-0.04428037762170787,5.588644836481272e-13
Dominance,-0.053576476133017414,2.642395476532235e-18
