feature,corr,p-value
N Hashstags,0.41354817690654705,3.663076686898244e-18
Caption Len.,0.23270713720977595,2.2034482177273754e-06
ImgPopScore,0.14957329533889135,0.002546215222992015
SportsLeisureParks,0.12241750283217624,0.013691044012667937
Object,0.10242452462878407,0.039369473730180245
Cap. Sent. Magn.,0.10163358549891612,0.04092284217810263
Symmetry,0.10000790788919174,0.04427848561432043
Home/Hotel,0.09200512652381064,0.06434675320655307
Forest/field/etc,0.08343851368301733,0.09356147075596997
MotionBlur,0.06452604637956857,0.19501033583550922
OutdoorManmade,0.05593649823173342,0.26139482092239213
Age std,0.054735252491984916,0.2717920198068704
Age avg,0.054735252491984916,0.2717920198068704
F age avg,0.054735252491984916,0.2717920198068704
Transport.,0.0546469344239817,0.2725674235941595
Age min,0.05412677113094041,0.2771648706031184
Age max,0.05261614423813012,0.29081357931677976
OutdoorNatural,0.0479404224665347,0.3358718844454831
%Red,0.04533777833706171,0.3627944807435517
DoF,0.037988408129757414,0.44581279183140765
N Female,0.032923521316994775,0.508801944000472
BalancingElement,0.031931621627988516,0.5216599616586193
Kitchen,0.029778222420622204,0.5501365976535555
N Male,0.02724663763858962,0.5845609834659606
%Warm,0.027122905707458806,0.5862687593245239
Transport.,0.0254021306857965,0.6102544863508872
Houses/Gardens,0.023403359820048802,0.6386464458504213
Person,0.02143012409736758,0.6672034033608429
Days,0.015436476013067371,0.7567804543518244
F age std,0.01341858114243074,0.7877594642376875
Sports/Leisure,0.007281169662859648,0.883858431742822
Mountains/hills/etc,0.0070595575865616865,0.8873694993511649
Aest_score,0.005536477907205029,0.9115561251807702
%Green,0.001755713543054511,0.9719012263194662
%Lum,-0.00042603712029796163,0.9931802988502548
Water/Ice/Snow,-0.002521964145206304,0.9596468445596028
Repetition,-0.00302929797805288,0.9515382742435714
RuleOfThirds,-0.00937541622828557,0.8508001563494105
%Cold,-0.010305430986471317,0.8361994235548158
Electronic,-0.010736808875970661,0.8294457442284305
Vehicle,-0.014787483956284335,0.7667041121166007
Dominance,-0.015954049360804676,0.748894754244344
IsSponsored,-0.019787097683485747,0.691355848168705
Light,-0.02541876216061425,0.6100205963940517
Outdoor,-0.03262371308941386,0.5126708380023801
Commercial/Building,-0.03659182723093522,0.4627255665124588
%Blue,-0.03889051158939859,0.4350773709315554
Food,-0.039362381694768196,0.42952165545486964
Cap. Sent. Score,-0.04141900746882624,0.40579179567495816
Indoor,-0.042897044152350794,0.3892300574025398
ImgSentScore,-0.048169845792396936,0.33356171507337284
Arousal,-0.053488646342877796,0.2828764336395359
Accessory,-0.05749011619739114,0.24835865859282888
Pleasure,-0.06313882821221545,0.20480419148541362
Animal,-0.06836420540570322,0.16970332989400605
Shopping/dining,-0.07205529904105862,0.14776112174327535
Indoor,-0.07621603436926686,0.12569393308165797
Workplace,-0.07642693594445912,0.12464751521188096
Appliance,-0.0792725821737345,0.1111811207053592
CulturalHist.,-0.07979439332689423,0.10884075339573476
Furniture,-0.08570658665753418,0.084951536774103
ColorHarmony,-0.0940577887205807,0.05859491399476899
Weigh. Emoji Sent,-0.09774925225864835,0.049322238407665114
N Emojis,-0.11595877280887108,0.019580432397478177
Content,-0.12447064485092642,0.012178228450121233
VividColor,-0.12447064485092642,0.012178228450121233
Cultural,-0.1257527172695445,0.011310217998754857
N Mentions,-0.1753356850346357,0.0003923786822204836
Location,-0.20121132627979152,4.5313084847169924e-05
