feature,corr,p-value
Weigh. Emoji Sent,0.22185560471858784,6.742896864691614e-06
N Emojis,0.18688711049106982,0.0001580396652132248
Location,0.18458455997439147,0.0001909377756278215
ImgSentScore,0.17983899831379024,0.00027994595435945944
Person,0.175596476581399,0.00039097703358255257
Content,0.15126059135937636,0.002300341415791104
VividColor,0.15126059135937636,0.002300341415791104
Cap. Sent. Score,0.14543996771021298,0.0033913342963268747
N Male,0.13713536605912066,0.005764210496663137
%Red,0.11185000355047413,0.024560232252018005
%Warm,0.10798512173273478,0.029999410742864992
Home/Hotel,0.10599824798350392,0.03317650332519208
IsSponsored,0.09953741556201252,0.04556010392713492
F age std,0.09711991695216074,0.05109856059628798
Electronic,0.09414615646736381,0.058670781812956894
Pleasure,0.09205129018326787,0.06454430688153506
N Mentions,0.09077761063753019,0.06834599113784082
OutdoorManmade,0.08631778852446097,0.08312664276341801
%Green,0.08156839305113932,0.10159840505510409
Cap. Sent. Magn.,0.07994878828885783,0.10859486116474122
SportsLeisureParks,0.0778283222091596,0.11832269448459325
ColorHarmony,0.07457650586705444,0.13454706807187908
Age min,0.07455691351216237,0.13464976788740401
Age std,0.07406353302184285,0.1372559353415884
Age avg,0.07406353302184285,0.1372559353415884
F age avg,0.07406353302184285,0.1372559353415884
Age max,0.07371127467855962,0.1391402492726303
Transport.,0.07042129482213798,0.15770886961286734
Sports,0.06983523726737668,0.16120431128861967
Object,0.06076093221373285,0.2229878009868897
%Lum,0.05830087378638123,0.24232431736828303
Furniture,0.05382731922294222,0.2804334775366521
IndustrialCostr.,0.05189286498848779,0.2981062498372679
Indoor,0.04041257401027241,0.41788452510967766
Transport.,0.03969351666218051,0.42622306895632445
Aest_score,0.03837013710782083,0.4418197948836936
Houses/Gardens,0.03280377899591092,0.5108711731524356
CulturalHist.,0.029885866316719654,0.5491921984118779
Light,0.029520915685741205,0.5540826370068214
Caption Len.,0.026902907666933217,0.5897737842021324
%Blue,0.022956885072886058,0.6454741633000671
MotionBlur,0.020581518215016747,0.6800130649389298
ImgPopScore,0.018925641106973225,0.7044977793100291
Accessory,0.008046233859067314,0.8719131977253198
Days,0.005258687208179954,0.9160810061290715
Sports/Leisure,0.004713946880915792,0.9247468482933383
DoF,-0.01940310820952429,0.6974049707171223
RuleOfThirds,-0.02036087469173684,0.6832569564253683
Commercial/Building,-0.02096546993979343,0.6743822956381251
Appliance,-0.024382413289077795,0.6251004187646958
Forest/field/etc,-0.0286620763659733,0.5656744204439215
Arousal,-0.031608578007457956,0.5263978236224873
Water/Ice/Snow,-0.03511308500674792,0.4815607365111172
Vehicle,-0.03723344721771042,0.45547231955999423
Animal,-0.0373502489683715,0.45405862644009176
%Cold,-0.04317505936538245,0.38675194695088766
Shopping/dining,-0.04672476108096213,0.348883137019546
N Female,-0.04831156683905483,0.33274111609002777
N Hashstags,-0.04980879386740431,0.3179582981821084
Repetition,-0.052866096814088805,0.2891244057599658
Indoor,-0.0543686799340218,0.27561736405702597
ManMadeElements,-0.059183598086043926,0.23525508520595484
OutdoorNatural,-0.05956612696016917,0.23223724309019045
BalancingElement,-0.06348348142707365,0.20289981827229786
Outdoor,-0.06883844350347422,0.16728293645457754
Dominance,-0.07269386386262137,0.14469408397284
Kitchen,-0.07613547556032096,0.12656699224449525
Workplace,-0.10401853008693099,0.03662311887909857
Food,-0.11513303453337677,0.020630608963449145
Cultural,-0.13373465894165149,0.007106623096117946
Symmetry,-0.139286089191609,0.005037519933698985
