feature,corr,p-value
Caption Len.,0.27970920732494764,2.6119526863638006e-158
N Mentions,0.2673271309559501,2.8983915430188994e-144
Cap. Sent. Magn.,0.25505046734052333,4.654423953261828e-131
ImgPopScore,0.2158574024083628,1.5412303959597686e-93
N Emojis,0.18685914222078842,3.735354398492539e-70
N Hashstags,0.13883182173531722,3.1659616209085816e-39
Home/Hotel,0.12080960595465137,4.770571228582279e-30
Weigh. Emoji Sent,0.11623718591927171,6.3243574623984415e-28
ColorHarmony,0.0886086688547002,7.505858294269613e-17
Location,0.08489419249925988,1.3722719458176066e-15
%Cold,0.06887916742308696,9.355173569946719e-11
Furniture,0.06775642633311635,1.8755687250985575e-10
Indoor,0.06254347415493824,4.102228926329555e-09
N Female,0.056641031871490846,1.0142009970473082e-07
Age max,0.0523265841771649,8.741923315550866e-07
F age avg,0.052262056473899254,9.017157794924184e-07
Age avg,0.05209730721732311,9.75823926304364e-07
Age std,0.05209730721732311,9.75823926304364e-07
Age min,0.05138494685749271,1.3693779229503637e-06
Person,0.050656712743827145,1.9275168070166335e-06
%Lum,0.03942161735210317,0.00021220112134828032
%Red,0.03490885676556721,0.0010390332532372879
%Blue,0.03345817980009126,0.0016701612402625376
Appliance,0.033455488152268696,0.0016716056410369128
%Green,0.03228273044210615,0.0024223495838574197
Light,0.026069004589107297,0.0143296759577783
Animal,0.023546999857124922,0.02697303797083827
F age std,0.023422712854344635,0.027790612408951094
N Male,0.019987086187275904,0.06045898613835438
ImgSentScore,0.018190111948703243,0.08752352297578721
Repetition,0.01571315398319036,0.1399666668809298
M age avg,0.012985839868760387,0.2225716462584373
VividColor,0.009833504443220033,0.3556878426914031
Content,0.009833504443220033,0.3556878426914031
Houses/Gardens,0.0034216299305697413,0.7479299059710861
Indoor,0.0019572765809792525,0.8541443472597876
BalancingElement,0.0014403158586939644,0.8923915827687322
Electronic,-0.0011294884002031856,0.9155150765052955
Vehicle,-0.0024889106375462055,0.8151667088687256
Transport.,-0.0028042546434920066,0.7922545597844378
Aest_score,-0.002853706557829245,0.7886771716775168
Symmetry,-0.0031859667515410288,0.7647601300471549
Pleasure,-0.004311426918540678,0.6855191556984259
ManMadeElements,-0.005066302720654372,0.6341850950570558
RuleOfThirds,-0.006735696816838795,0.5269668293756878
DoF,-0.006940025854101431,0.5145077545185892
%Warm,-0.007295411069143857,0.4932083546955782
Days,-0.007606636475589448,0.4749506688733104
Accessory,-0.007827203691630704,0.4622393369854252
Cap. Sent. Score,-0.011290166224540842,0.28894525538547433
CulturalHist.,-0.012135075164894114,0.25436851019637013
Mountains/hills/etc,-0.014464018498639842,0.17428200962607565
IndustrialCostr.,-0.019101604761131683,0.07277476366741224
Sports,-0.02002444217329926,0.05997993542472623
Commercial/Building,-0.02023499673093583,0.05733830879953801
Workplace,-0.020524033975128187,0.0538702251033264
Outdoor,-0.02351185072705203,0.02720212053467888
Shopping/dining,-0.023537662128345436,0.027033733102302893
SportsLeisureParks,-0.026337539910769977,0.013356268997788492
IsSponsored,-0.029615546284321344,0.005399401074383236
Forest/field/etc,-0.031850399464761134,0.0027693927224535612
Transport.,-0.03232704936040529,0.0023891215277634446
Kitchen,-0.03234436081783406,0.002376255980762107
MotionBlur,-0.03279697360692741,0.0020615858294153475
Dominance,-0.03507903183927358,0.0009816401301907356
OutdoorManmade,-0.0365989733184818,0.0005846624959717442
Sports/Leisure,-0.03820547056196206,0.0003310881818334622
Water/Ice/Snow,-0.04098904432932928,0.00011743202184784304
Arousal,-0.04883487754170369,4.444183287984274e-06
OutdoorNatural,-0.053942621272526636,3.9753220795015794e-07
Cultural,-0.055953781041952914,1.4448024456548885e-07
Food,-0.05778669751083292,5.571653610133908e-08
Object,-0.06535128026423616,8.019221576479061e-10
