feature,corr,p-value
Caption Len.,0.2845241894958102,1.519481191133962e-98
Cap. Sent. Magn.,0.23987840533466837,9.605118468692097e-70
N Mentions,0.20034485829570448,9.030247403293808e-49
N Emojis,0.18589303598542306,4.06953273671864e-42
ImgPopScore,0.17453253974708333,2.9491700246901088e-37
N Hashstags,0.13406353573987595,1.578616734365114e-22
Weigh. Emoji Sent,0.11150743941584575,5.007040220672332e-16
%Blue,0.0772758030522913,1.9990007495454917e-08
%Green,0.06611838791825796,1.5877531081511215e-06
Home/Hotel,0.06539991546707531,2.0585320309889163e-06
F age avg,0.0602246861780753,1.2357004989179924e-05
Age min,0.06011209630137295,1.2828784540747502e-05
Age std,0.060029618249559456,1.3185238861227576e-05
Age avg,0.060029618249559456,1.3185238861227576e-05
Person,0.05958441929166378,1.527829673722954e-05
Age max,0.059451200287671174,1.596381723565449e-05
%Red,0.0573613052893075,3.140763134119195e-05
N Female,0.05507944960545021,6.410994670200277e-05
Furniture,0.049618769818408896,0.00031779113903257435
%Cold,0.048568613124253195,0.0004249916461916971
Pleasure,0.047942549952278646,0.0005040798751457208
%Lum,0.04730229303377055,0.0005989901003787097
ColorHarmony,0.04405827585021407,0.0013912478353599064
Indoor,0.036917647991082596,0.007405987133663023
F age std,0.029726433465642375,0.031075537390284517
Light,0.029721591987424963,0.031102974008103388
BalancingElement,0.02813643792983592,0.041277443131907496
Location,0.02813370986701748,0.04129713297112513
ImgSentScore,0.025492330707851587,0.06447370518432027
N Male,0.02369379361426945,0.08572206101324548
Transport.,0.02310733638646013,0.09376480319138872
M age avg,0.021693198202272775,0.11565432729801224
Animal,0.016716897887612367,0.2253902257319413
Aest_score,0.009895180985598486,0.4730214008598713
Appliance,0.00904657580203952,0.5118044788974464
Accessory,0.006136029459751559,0.6563475559424581
SportsLeisureParks,0.0056801478331423684,0.6804111286523102
ManMadeElements,0.0023227937468652147,0.8662380753500546
VividColor,-0.0010411912489355466,0.9398148759883316
Content,-0.0010411912489355466,0.9398148759883316
Commercial/Building,-0.0010649338629195376,0.9384451503792299
IsSponsored,-0.0011319697003021694,0.9345788086827806
MotionBlur,-0.0024868948684414363,0.8568866418624566
Food,-0.005773162841165235,0.6754738651282393
Houses/Gardens,-0.006550164338592044,0.6347915063080705
Repetition,-0.006689317054276392,0.6276162626414653
Outdoor,-0.0068206367552985205,0.6208770343279564
Symmetry,-0.00874454390875697,0.525997790490638
DoF,-0.0095723376852723,0.4875825603640809
Object,-0.009593637645764472,0.4866144766907723
Mountains/hills/etc,-0.011568716755426096,0.40150324176694274
Indoor,-0.01181217212366589,0.3916683989361739
IndustrialCostr.,-0.012898659326180726,0.3495863993410142
Cultural,-0.013575797557609248,0.3248690797256164
Sports/Leisure,-0.01709655625925405,0.21502858542882847
Kitchen,-0.018745884529631197,0.17399234050597764
Forest/field/etc,-0.019544303215745854,0.15636583755008265
Workplace,-0.020092090278099516,0.14507901741588763
RuleOfThirds,-0.020708650873145787,0.1331333880400102
Water/Ice/Snow,-0.021091832260100578,0.12610208791170538
Vehicle,-0.02184183266852345,0.11317990308342578
Electronic,-0.02228794755075711,0.10600293550880649
OutdoorManmade,-0.02264286158694843,0.10055492194349734
CulturalHist.,-0.024002216630777767,0.08172146805090386
Days,-0.024463682247424116,0.07601981521715251
Transport.,-0.02608685990325662,0.058487775036425195
Shopping/dining,-0.026412074587950096,0.05541356260273471
OutdoorNatural,-0.030728909421558395,0.02582395176203308
Cap. Sent. Score,-0.03576399584947767,0.009479077580535969
Sports,-0.03830404726092462,0.0054584060133647866
%Warm,-0.06613599907973533,1.5776264113670538e-06
Dominance,-0.06976428426579427,4.080466906493742e-07
Arousal,-0.06976793017789505,4.074786653863089e-07
