feature,corr,p-value
N Mentions,0.24954077033089342,4.0824892322373337e-84
Cap. Sent. Magn.,0.22917918175194887,6.886957399602564e-71
Caption Len.,0.1695293478294101,3.889176779563045e-39
N Emojis,0.1515204041902368,1.6161942433811973e-31
Weigh. Emoji Sent,0.11794499274392785,1.1810956374478981e-19
Person,0.10332591382421319,2.021334410449965e-15
ImgPopScore,0.10121278437327774,7.438254944095308e-15
F age avg,0.08720016889715855,2.1468589844946472e-11
Age std,0.08716780210809012,2.1837960062754717e-11
Age avg,0.08716780210809012,2.1837960062754717e-11
Age min,0.08638945794534296,3.285206870748541e-11
Age max,0.08503228850646179,6.638913894758719e-11
N Female,0.07867384423909683,1.5523797602705662e-09
%Cold,0.0783679344846418,1.7958262563106554e-09
Location,0.055157048944422166,2.332881136388034e-05
ImgSentScore,0.043326930640236704,0.0008934832774435682
Indoor,0.0425767129723656,0.001096547992546351
Object,0.03899132237835542,0.00279541073232025
Shopping/dining,0.03795360036748677,0.003617002520836931
N Male,0.037251531112264924,0.004291469597289655
Content,0.03029685365235757,0.020208906784257907
VividColor,0.03029685365235757,0.020208906784257907
DoF,0.026585878453243336,0.04156303375929872
%Blue,0.025598244083610014,0.049746272641523585
%Lum,0.022604961107530595,0.08316009566973122
Vehicle,0.021459216161585006,0.10001164600288971
RuleOfThirds,0.02026140541657412,0.12043067085517563
Accessory,0.01895857348931218,0.14619815374794062
F age std,0.017811897711626532,0.17219330808782501
Animal,0.017169494010301815,0.1881922425150937
%Red,0.016872520624880163,0.19594841091711185
Home/Hotel,0.01645550106421433,0.2072315268578812
Sports,0.012890967597224894,0.32315810371000386
Light,0.012868414473548181,0.32400544387495545
%Green,0.011996375434928506,0.3578756932884253
Aest_score,0.011796887265384994,0.365926309531337
IsSponsored,0.010617040078673158,0.4158169764610907
ColorHarmony,0.010595257370668857,0.41677429643129216
M age std,0.0095344577350863,0.4649467414547148
BalancingElement,0.008701075065231956,0.5048665118076276
M age avg,0.007090927800671591,0.586822232628041
Days,0.005384419434082441,0.6798570270020665
Furniture,0.004587551229055094,0.725148689496585
Kitchen,0.004040870573144239,0.7567977825626642
IndustrialCostr.,0.0035971185750752165,0.782794157544755
Outdoor,0.0012784225459923318,0.9219507451939366
Transport.,-0.0022209177234226983,0.8648460906855411
Cultural,-0.0025116820896064567,0.8473564324569751
Food,-0.0030242920532200374,0.8167100316906598
Pleasure,-0.00409949717886363,0.7533830305378719
Electronic,-0.006785954389113958,0.603012599445076
%Warm,-0.007698436363415679,0.5551856994939816
Forest/field/etc,-0.008524081983985556,0.5135712924314897
CulturalHist.,-0.010693608128411785,0.4124622328426344
SportsLeisureParks,-0.010916934544103645,0.40276948904210297
Sports/Leisure,-0.012463811392484217,0.3394522009505788
Appliance,-0.012871485260857594,0.3238899867561771
Houses/Gardens,-0.013065972229587245,0.31663216223946744
Mountains/hills/etc,-0.015242396568512418,0.24271550255281016
Transport.,-0.015375954664622927,0.23861175301633417
Workplace,-0.015708023461468032,0.22862136636981492
ManMadeElements,-0.017477875184709935,0.18038028671686854
Commercial/Building,-0.018402840489211578,0.15839493847501143
Water/Ice/Snow,-0.0215505685697438,0.09857517884836385
MotionBlur,-0.022174575816837638,0.08919846754670367
Arousal,-0.02426913979205666,0.06285287597145355
Indoor,-0.02484844307380029,0.056825841986378134
Dominance,-0.025047393174438642,0.05487022666494251
Symmetry,-0.02792324181251277,0.03232083620969228
OutdoorManmade,-0.029112489453717125,0.025640210818722944
OutdoorNatural,-0.029129406996111686,0.02555451605524665
Cap. Sent. Score,-0.03992766749629687,0.0022043138692933134
Repetition,-0.04300241823933024,0.0009766183519653508
N Hashstags,-0.07412005616208812,1.2831427895752222e-08
