feature,corr,p-value
N Male,0.07984194296788177,4.6787606953071147e-07
Workplace,0.06738927562167862,2.1266661278169036e-05
Location,0.058688945163210875,0.00021450392805040115
F age avg,0.04894403948362343,0.0020293260353288767
Age avg,0.0473096279003352,0.002856807124225268
Age std,0.0473096279003352,0.002856807124225268
Age max,0.04672651259339569,0.0032197943555538435
Age min,0.04158115807645121,0.0087610160493421
%Red,0.041560869349339766,0.008793970268533053
Pleasure,0.037115164703207186,0.019309405169864527
Indoor,0.034631066182645276,0.029048764136319426
N Mentions,0.03410109676613376,0.03160269490019618
Repetition,0.03077879724303738,0.05239303758833308
%Blue,0.02962229350297947,0.0619062269056339
ImgPopScore,0.028121947484570215,0.07633349726573072
Indoor,0.028038352311106667,0.07721192650585708
Water/Ice/Snow,0.027948310457972098,0.07816729116963818
%Green,0.02715665439568276,0.08698735283973405
Electronic,0.024165667332994342,0.12777194263973865
Kitchen,0.02375478183892738,0.13438148141501538
OutdoorNatural,0.022188221411082034,0.16202473755197663
Sports/Leisure,0.02155563591847056,0.17433061673478378
Animal,0.01839022349963807,0.24649654430894766
N Emojis,0.01769896865618793,0.2647077202819263
Appliance,0.01736323612799789,0.2738790917348556
F age std,0.015407067887061462,0.3316048997109088
Mountains/hills/etc,0.01018890222261789,0.5208479962977781
Accessory,0.009691685021869132,0.5413943215578326
ImgSentScore,0.008761664716221418,0.5808799986979646
Days,0.0076806375195889905,0.62840096357615
M age std,0.006443304008117496,0.6847359383436629
Home/Hotel,0.004517046790308767,0.7759282607050068
Sports,0.004401491848184561,0.7815131173278863
Forest/field/etc,0.003894683151807057,0.8061371820719734
Person,0.0034335479004628257,0.8287110185118961
Transport.,0.0013860414896536687,0.930403521361306
M age avg,0.0011565908001990857,0.9419023949540635
Food,-0.00021826955636306477,0.9890265764448891
BalancingElement,-0.004860312725423158,0.7594071741104496
Transport.,-0.005532862833323719,0.7273604279590418
Furniture,-0.006477469830866571,0.6831547531846529
CulturalHist.,-0.014400291172938388,0.3641758508157229
%Lum,-0.015462978996358507,0.3298530072858531
ManMadeElements,-0.016542084983830675,0.2972171886747782
SportsLeisureParks,-0.01672314761776453,0.29196027158192117
ColorHarmony,-0.016842925829283015,0.2885171943669815
Outdoor,-0.01763898947707777,0.26633048494023404
Houses/Gardens,-0.02172154203427965,0.17103765999265422
DoF,-0.025011920021008924,0.11495776853427095
Object,-0.025425721403663726,0.10907113189316771
Weigh. Emoji Sent,-0.02546747564108786,0.1084906286261504
Symmetry,-0.026347159743261125,0.09681935012452055
RuleOfThirds,-0.029638081702598105,0.06176732859281389
IsSponsored,-0.03176172445994818,0.045298525181178176
MotionBlur,-0.0321956265308428,0.042434487569477916
Shopping/dining,-0.032447545555199304,0.040843019483192466
Cultural,-0.03291008795167078,0.03805246576788486
IndustrialCostr.,-0.033233186364729536,0.03620079116289194
Commercial/Building,-0.03369807988354442,0.03367153492150967
Dominance,-0.03577585043006019,0.02413167852599298
Arousal,-0.03581690328390883,0.02396963525486069
Light,-0.035942070574193484,0.02348138558020301
N Female,-0.04154580000439498,0.008818518446481969
Aest_score,-0.04541670092754802,0.004192928175907683
%Warm,-0.045842663244784074,0.0038505448771088513
OutdoorManmade,-0.0468851137233729,0.0031171185566652446
%Cold,-0.05172773237300974,0.0011076718143795655
Content,-0.06112951274433518,0.00011549672587911634
VividColor,-0.06112951274433518,0.00011549672587911634
N Hashstags,-0.09405680257624198,2.85248926147657e-09
Cap. Sent. Score,-0.09447964362523276,2.4211089760064433e-09
Vehicle,-0.10549391769802591,2.6290520185528895e-11
Cap. Sent. Magn.,-0.10839574446219918,7.363629978892974e-12
Caption Len.,-0.19881745209147947,1.057889265356549e-36
