feature,corr,p-value
Cap. Sent. Magn.,0.135938338651051,1.2845557288182116e-148
ImgPopScore,0.12766966428132592,3.504894275860264e-131
N Mentions,0.10407656269631625,1.3571580931875163e-87
%Red,0.07374024349360897,9.17468193931286e-45
%Blue,0.07342606837245816,2.1343149948166644e-44
%Green,0.07324507752196918,3.465596430421924e-44
Location,0.06703217620352991,2.827597758257601e-37
Pleasure,0.054478390559628616,3.60027178175644e-25
Caption Len.,0.044317618753115996,3.480041990643372e-17
N Emojis,0.03741174211419566,1.1215024847413357e-12
Symmetry,0.03157270113427316,1.9290198913349518e-09
BalancingElement,0.030326099739639442,8.092686009730707e-09
ColorHarmony,0.027952524357043686,1.0665944003883014e-07
RuleOfThirds,0.027750821639556545,1.315818535529673e-07
OutdoorNatural,0.02405142952653642,4.807999698967469e-06
Water/Ice/Snow,0.02377631777939499,6.164342417097221e-06
Repetition,0.02121041704916377,5.514134033698062e-05
Houses/Gardens,0.016713350430500203,0.0014853056205594707
Indoor,0.016163846436466203,0.0021188028094359947
Workplace,0.01349852734845639,0.010279718671158069
Age min,0.01305199422009336,0.013087650783762573
Weigh. Emoji Sent,0.01293610462658412,0.01391922985880669
Forest/field/etc,0.009807084864221348,0.062260516570346355
Animal,0.008773765660320674,0.09531921811011065
Home/Hotel,0.008502746753810884,0.10599553017234728
Light,0.008331216547829206,0.11322869747023702
Person,0.00826826002292638,0.11597902261042073
ImgSentScore,0.006036051490248725,0.25117364070350995
Age avg,0.005199934693798286,0.3228841807990743
Age std,0.005199934693798286,0.3228841807990743
Days,0.004960685110442547,0.3456478974571645
F age avg,0.004842989764155859,0.3572125754047857
%Lum,0.003967900737299876,0.4506529624094694
Mountains/hills/etc,0.0036415496746282296,0.48875853321965423
IndustrialCostr.,0.0033432559652534556,0.525052405535982
SportsLeisureParks,0.0031253241152645666,0.5524144442803421
Aest_score,0.0027843312008308963,0.5965830524253533
DoF,0.0022812694553515766,0.6645173256136134
OutdoorManmade,0.002133394647998506,0.68505655018349
Transport.,0.0019452316473308638,0.7115303040226657
Sports,0.0018602866952323754,0.7235989571641184
%Cold,0.0017982647185792958,0.7324546153866845
ManMadeElements,0.0016396724925360742,0.7552588839241349
IsSponsored,0.0015717302081738732,0.7650954051723785
Electronic,0.0012139661857377348,0.8174833831262942
CulturalHist.,-5.0802531297534124e-05,0.9922942353473359
Age max,-0.0016724432399291705,0.7505284510767357
Furniture,-0.0029071119378057822,0.5804947512266205
M age std,-0.0029875873666740265,0.5700613198603995
Commercial/Building,-0.003423176299299471,0.5151948785335277
Kitchen,-0.0054497632803584255,0.3001819035260826
N Female,-0.0054661421116184335,0.29873164331614116
Accessory,-0.008187869196089995,0.11956699316610442
Object,-0.008982079829271463,0.08771306873580022
MotionBlur,-0.008982186648765381,0.0877092979040215
M age avg,-0.009316014519908059,0.07654843025280944
Appliance,-0.00982624141513024,0.061751207877729974
Vehicle,-0.010745536997274305,0.04106670209173074
Transport.,-0.011634426118828693,0.026976654154394306
Shopping/dining,-0.011638514742486568,0.026922971423503046
Outdoor,-0.013802324407457312,0.008689428319678253
Cultural,-0.014524104911963032,0.005757650931945174
Sports/Leisure,-0.016217127914383376,0.0020479782715515107
Indoor,-0.016431981639314204,0.0017838728279792064
N Male,-0.017120600927067013,0.0011340158838558832
Cap. Sent. Score,-0.02388771667463715,5.5760222414566305e-06
F age std,-0.02849234280113666,6.037709471733588e-08
Food,-0.028839947216690472,4.162773837332441e-08
%Warm,-0.03145986415583818,2.201345025982385e-09
Content,-0.033817481328267854,1.2696425532933643e-10
VividColor,-0.033817481328267854,1.2696425532933643e-10
N Hashstags,-0.04802046572741356,6.584684214268698e-20
Dominance,-0.07796848515739925,7.504347701711638e-50
Arousal,-0.08064140658303924,3.2553471579997276e-53
