feature,corr,p-value
%Red,0.09951839386689554,3.7881715361418535e-64
Workplace,0.08917502544333544,8.156954886579297e-52
Pleasure,0.08738456255171986,8.08968976259389e-50
%Green,0.08345867995283618,1.389324683952535e-45
%Blue,0.06682920067697565,8.306864718294012e-30
Indoor,0.049094973160367046,8.326032875069734e-17
Symmetry,0.04432655359572468,5.607000408924408e-14
Repetition,0.039798048793401014,1.4953112297611882e-11
Location,0.03806132100202429,1.0918927106741477e-10
OutdoorNatural,0.032939911878130515,2.340264107822432e-08
N Emojis,0.03099761857960967,1.4779098875000552e-07
Water/Ice/Snow,0.027018313877550222,4.6413071759333314e-06
ImgPopScore,0.02377922806026634,5.551724430483604e-05
N Mentions,0.023322725423725876,7.69557133628515e-05
BalancingElement,0.017443671192858962,0.003107603423482109
Animal,0.015821127514854604,0.007322417204491853
Forest/field/etc,0.015136831373148857,0.01029362601307165
Days,0.014995777132945238,0.011025361771822095
Appliance,0.011614172879315744,0.04899410130832444
Indoor,0.011280733835080381,0.055860770549427376
Mountains/hills/etc,0.010337514202849373,0.0797338199831422
Houses/Gardens,0.007547483836673949,0.20079142157583915
ManMadeElements,0.005109995522853534,0.38641416501720705
Weigh. Emoji Sent,0.004360411708160684,0.4598562039212679
Home/Hotel,0.00042342557664687387,0.9427851851809284
Cap. Sent. Magn.,9.842798296713047e-05,0.9866892497205584
Food,-0.0012527024918758732,0.8318492926414567
Age min,-0.003583995336687825,0.5435315946755457
CulturalHist.,-0.0059174497000365756,0.3158592145612097
Outdoor,-0.006651379440058359,0.2595706228820065
Sports,-0.00816097684593563,0.16657579353418542
Kitchen,-0.009838975454643031,0.095370343268728
Electronic,-0.010186782295212289,0.08422481560104501
M age avg,-0.010683047707507677,0.07017110109562014
M age std,-0.010689053598756968,0.07001359777314702
Transport.,-0.011738811128359216,0.04661616013144525
Cultural,-0.01229022214642343,0.03722897602282728
Age avg,-0.012357276428576628,0.0362055881508219
Age std,-0.012357276428576628,0.0362055881508219
F age avg,-0.012589084205716266,0.03285043750572236
SportsLeisureParks,-0.013272346275774933,0.024465936787529202
Sports/Leisure,-0.015978788343524352,0.006757952257331424
Age max,-0.01919491203971988,0.0011387447593295907
ColorHarmony,-0.019346388082949084,0.0010399973300245155
Person,-0.019451202955774276,0.0009763732372622924
Accessory,-0.019930140849546297,0.0007289560512842174
RuleOfThirds,-0.02092595559938053,0.00038921359353142086
Vehicle,-0.021687879142720103,0.00023647446502685982
N Male,-0.022164589688979327,0.00017174937458757137
MotionBlur,-0.02379290716708887,5.497182439184486e-05
Commercial/Building,-0.024917596726803062,2.3986203864734464e-05
IndustrialCostr.,-0.025374106079845846,1.6960951371366168e-05
Transport.,-0.02630457819006911,8.221266597353807e-06
Furniture,-0.02663620467452412,6.31440403810408e-06
N Female,-0.03050523443438449,2.318828668129819e-07
IsSponsored,-0.033046647598741416,2.1083884396285828e-08
OutdoorManmade,-0.03572798445734472,1.3804024321014327e-09
%Lum,-0.03934209538118321,2.540997486272651e-11
ImgSentScore,-0.042151926395690105,8.815720643016647e-13
F age std,-0.046922240659493956,1.7540995229649613e-15
Shopping/dining,-0.047464991515532184,8.296473885845646e-16
%Warm,-0.04899846125956145,9.560362730237172e-17
Object,-0.05129874242772343,3.2969233594699023e-18
DoF,-0.05453090436812449,2.2501845855431918e-20
Cap. Sent. Score,-0.06110637950926604,3.5004226243130584e-25
%Cold,-0.06216097492080874,5.281060582291116e-26
Aest_score,-0.06281180868974796,1.6175459927649943e-26
Light,-0.0673084685249116,3.262111416177104e-30
VividColor,-0.07052599328770674,5.1706750430883305e-33
Content,-0.07052599328770674,5.1706750430883305e-33
Arousal,-0.0737000402807191,6.665213928269039e-36
Caption Len.,-0.08231491050502354,2.1868008337053235e-44
Dominance,-0.08514422956621367,2.2313182219253553e-47
N Hashstags,-0.11493326344351802,4.4850603197243435e-85
