feature,corr,p-value
Cap. Sent. Magn.,0.17006297692471567,0.0
Caption Len.,0.1542352249122942,0.0
Location,0.13996563448062393,5.139723414844139e-290
N Mentions,0.12858118635399438,1.0273942870478931e-244
N Emojis,0.11219533370242667,1.886252762359794e-186
ImgPopScore,0.104180073118608,6.608144045655441e-161
Weigh. Emoji Sent,0.08340557577333828,1.2023562053555314e-103
N Hashstags,0.07529506696427835,9.028808342728209e-85
Person,0.04639890064495443,3.0732250615972183e-33
Days,0.03764125650914945,1.9767549733621878e-22
Cap. Sent. Score,0.036165482717765055,7.918278002908624e-21
Age min,0.03571511523052654,2.372448888274916e-20
ImgSentScore,0.03287779708019697,1.7498772619385578e-17
Age std,0.030446945178508166,3.2776802043959755e-15
Age avg,0.030446945178508166,3.2776802043959755e-15
F age avg,0.030281876047643923,4.610273143900563e-15
DoF,0.028668916835123445,1.1756962839218425e-13
Age max,0.02512691275490928,7.898809942620478e-11
%Cold,0.024177985781645088,3.9277547223577127e-10
%Blue,0.02261350227365318,4.85983493598517e-09
N Female,0.02139642684208537,3.079179736854566e-08
ColorHarmony,0.020149699867586413,1.8462828836621532e-07
Shopping/dining,0.01995466746592682,2.4210945449826546e-07
%Green,0.017454295603861095,6.284832389509955e-06
RuleOfThirds,0.01664586823573102,1.6522171973735256e-05
Light,0.015533878212173459,5.8304067188275725e-05
Object,0.014861854583448795,0.00012022935773961096
Food,0.014397360612430233,0.00019496497475322358
Kitchen,0.013925904319194741,0.0003140248565062631
Furniture,0.013499369645154077,0.0004775062566783628
Forest/field/etc,0.012342268887999493,0.0014049386699706138
%Red,0.012239223577624816,0.001540367760269732
Home/Hotel,0.011630180662903075,0.002617946873044712
Pleasure,0.010865014784620068,0.00493322102863566
%Lum,0.010680037574267054,0.005718579979776268
OutdoorNatural,0.01058613700890554,0.006158936198257561
Aest_score,0.009227532485065687,0.01695703146546813
ManMadeElements,0.008928692160352357,0.02087102218392913
Animal,0.004913032113191743,0.20364500541339484
Houses/Gardens,0.004729454732956807,0.22105243598868862
CulturalHist.,0.004418671863538424,0.25290603856359134
Commercial/Building,0.003767418935169575,0.32965546178242255
Appliance,0.0033522668916928155,0.38572938090901365
BalancingElement,0.0027560239680982303,0.47577671952413103
Symmetry,0.002561832943594056,0.507416922395929
Water/Ice/Snow,0.0019014615580470755,0.6227221397957233
Sports,0.0013505908618507195,0.7267438738722451
IsSponsored,0.0008999449693378368,0.815872277874375
Indoor,-0.0006864855174130877,0.8590171655762997
Mountains/hills/etc,-0.0009735405634337726,0.8011185138744147
Indoor,-0.0024074287977438684,0.5333413601437001
Electronic,-0.0031446680168436907,0.41583269092151676
SportsLeisureParks,-0.0032457033913983434,0.4010121058371817
IndustrialCostr.,-0.0037889957555150154,0.3268931164026372
Workplace,-0.00480901411608156,0.21338165474582327
Transport.,-0.005327265644172226,0.1680741045275399
N Male,-0.005880724743466,0.12810250681081667
Accessory,-0.006861215603624335,0.07584290541476611
OutdoorManmade,-0.007134202611999664,0.06489656426456779
%Warm,-0.008997216966070101,0.019909918924769263
Content,-0.00905316813635894,0.019154049821255074
VividColor,-0.00905316813635894,0.019154049821255074
M age avg,-0.009579948919619444,0.013181393777072274
M age std,-0.009921496363038441,0.010252026121799698
Vehicle,-0.01053887682700792,0.006391921857954647
F age std,-0.010585470751003636,0.006162166888592164
Outdoor,-0.011207156862618983,0.0037328383316720475
Arousal,-0.016553360079585955,1.8405106400101258e-05
Sports/Leisure,-0.016987839015954236,1.1033868487698151e-05
MotionBlur,-0.017553883956329563,5.5631248311502816e-06
Transport.,-0.018472517745980663,1.7520962080281617e-06
Cultural,-0.0190955776759202,7.758145426146665e-07
Dominance,-0.019972527991755994,2.361981626191677e-07
Repetition,-0.0317069179885726,2.284858486242605e-16
