feature,corr,p-value
Cap. Sent. Magn.,0.35972999417995194,0.0006693914247817567
Houses/Gardens,0.333505575040331,0.0017016173202025228
OutdoorManmade,0.3019278954913693,0.00472443377652617
ImgPopScore,0.27468153498116643,0.010483765208436774
Caption Len.,0.2103456669801685,0.051903978332066086
MotionBlur,0.1273223038049518,0.24271712221042188
OutdoorNatural,0.12087019111708719,0.26761487641496573
Kitchen,0.11151245446624701,0.3066938817686886
%Red,0.10689823504715656,0.32726491645297595
Water/Ice/Snow,0.09753217480759661,0.3716572607436326
%Blue,0.08874980224434456,0.4164511163131305
Object,0.08764503292180084,0.4222991111337133
%Green,0.08507668030870777,0.4360756139755737
N Male,0.0811711894070096,0.4575041772314429
Forest/field/etc,0.0765281550258558,0.48371751088304427
Home/Hotel,0.07346317184169697,0.5014503117606781
RuleOfThirds,0.0720366253135551,0.5098175402192514
Age std,0.05603099514273644,0.6083644892630069
Age avg,0.05603099514273644,0.6083644892630069
F age avg,0.05603099514273644,0.6083644892630069
Age min,0.055194364771463736,0.6137368430612966
Age max,0.054514992027939004,0.6181144312574212
%Warm,0.03985667786715377,0.7155952799706191
SportsLeisureParks,0.03706268463712419,0.7347662909377044
F age std,0.032188409290312366,0.7685964724350541
ImgSentScore,0.017185300572902126,0.8752058919493056
Cultural,0.002186518715024451,0.984059130169508
CulturalHist.,-0.013119112290146707,0.9045730576786355
%Cold,-0.01439977108443722,0.8953080277608682
N Female,-0.015086918786114262,0.8903424962534664
ColorHarmony,-0.015580080189718959,0.886781357225561
BalancingElement,-0.02575906591366868,0.8138802322678116
Pleasure,-0.031084620596699884,0.7763204498532714
Sports,-0.03935733687044012,0.7190090126062036
Vehicle,-0.03935733687044012,0.7190090126062036
Workplace,-0.04073522118475282,0.7096027112779635
Cuteness,-0.04794887709296538,0.6610925889103532
Person,-0.057712581356492806,0.5976290973413283
Outdoor,-0.06532167482048602,0.5501450514972348
Food,-0.06996859888078243,0.5220734463029665
Days,-0.07413894660321997,0.4975117178452034
Cap. Sent. Score,-0.08890806703395217,0.415617216276816
Transport.,-0.09798251223072904,0.36944241672197686
Dominance,-0.10087393737379857,0.3554145902073256
N Mentions,-0.1020514682945545,0.3497976311709886
Aest_score,-0.11099626826069475,0.30895239681272973
Indoor,-0.11566615282766701,0.2889117050017534
Animal,-0.13192726664892132,0.22595631534752544
Appliance,-0.13556416033151597,0.2133051603944481
Sports/Leisure,-0.13997501747247007,0.19864596014166527
Furniture,-0.14043489698670927,0.19716028527158652
Light,-0.1511267778402739,0.16484006029800116
%Lum,-0.15185384824912745,0.16279377961840877
Weigh. Emoji Sent,-0.17457649405843417,0.10791465794386372
VividColor,-0.18957652725393184,0.08042499553313204
Content,-0.18957652725393184,0.08042499553313204
Repetition,-0.19444884324053488,0.07280946329015286
DoF,-0.19840523936143925,0.06706150970955016
Symmetry,-0.20023707909283653,0.0645273475941985
Arousal,-0.2209916344001106,0.040878681523467575
Shopping/dining,-0.27465081692616616,0.01049274964772562
Location,-0.29074147084709306,0.0066135364820459515
N Emojis,-0.2923215998454316,0.006311574093640419
N Hashstags,-0.297399730308784,0.005421993126022405
Indoor,-0.34328069853561827,0.0012130371919818925
