feature,corr,p-value
Location,0.34894021130276737,0.00014185129296339797
%Blue,0.2668887983613567,0.0040989244572050415
MotionBlur,0.26189893361422245,0.004880682375532357
%Red,0.26174477519114026,0.004906822331480604
%Green,0.229562175972428,0.014012332806879992
BalancingElement,0.22211794685780087,0.017540143098360512
ImgPopScore,0.21163517408821148,0.02379575556297384
%Cold,0.18090085268635037,0.05408823151665109
Aest_score,0.17842214751521293,0.05752472037158081
Object,0.1727507402660311,0.06606386809451385
Pleasure,0.15449919433322049,0.10073701386468514
Shopping/dining,0.15193654990094674,0.10658298966498031
%Lum,0.13761073340450508,0.14427800867353321
Indoor,0.1327246241912351,0.15921103490608157
Transport.,0.12812461362894478,0.17429661780053562
DoF,0.1220204486701661,0.19590645087846828
Forest/field/etc,0.11681149186548494,0.21582638615401786
N Mentions,0.10948583936216402,0.24621346648788836
Cap. Sent. Magn.,0.10907757929592375,0.24798985896778317
Days,0.08471732391468548,0.3701580037970714
Caption Len.,0.08207778719305159,0.3853072638558691
Sports/Leisure,0.07545587052180393,0.42492394488880136
RuleOfThirds,0.06729420847598629,0.4768400312837693
Sports,0.060130678099509685,0.5250893727779815
Accessory,0.060130678099509685,0.5250893727779815
Commercial/Building,0.060047704859903524,0.5256623211442177
Kitchen,0.048677215604364985,0.6070368563575366
Cultural,0.048677215604364985,0.6070368563575366
OutdoorManmade,0.04062834083763362,0.6677859770866966
Furniture,0.0336627276310102,0.7221705907081721
N Male,0.030535311195551033,0.747066289172913
Houses/Gardens,0.03036267947231923,0.7484484038486532
Electronic,0.014316828118930877,0.8798297834487052
M age std,-0.0014316828118930878,0.9879382542507512
M age avg,-0.0014316828118930878,0.9879382542507512
Age max,-0.0061357194876373545,0.9483410581890622
VividColor,-0.006653152996179015,0.9439913812770673
Content,-0.006653152996179015,0.9439913812770673
ImgSentScore,-0.006738345808934965,0.9432753834471836
Age min,-0.006757754218796447,0.9431122729461843
F age avg,-0.007391995504385525,0.9377833705647511
Age std,-0.00827462183326738,0.9303721575341101
Age avg,-0.00827462183326738,0.9303721575341101
N Female,-0.011727134942952104,0.9014452249305047
OutdoorNatural,-0.014920556369147265,0.8748027092571076
ColorHarmony,-0.024117679611148926,0.798950553850899
Indoor,-0.027577136786347992,0.7708572967246157
Repetition,-0.04053555166940287,0.6684999906722737
Cuteness,-0.04208930630204712,0.6565832801686885
Water/Ice/Snow,-0.055600856080112004,0.556822935723646
SportsLeisureParks,-0.08118914721399352,0.39049041861897005
%Warm,-0.08637334173271184,0.36084260282324765
Home/Hotel,-0.08948385713767572,0.3437417922960041
Animal,-0.09859660726163416,0.2966392546678247
Cap. Sent. Score,-0.10400945805409037,0.27077982688288227
Light,-0.10883990349663827,0.2490280823798756
Symmetry,-0.11017053409587409,0.24325406174578887
Person,-0.11521794983642009,0.2221982752777137
F age std,-0.1267737063436559,0.17892076948989097
Mountains/hills/etc,-0.14459996400120187,0.12479133929308456
Workplace,-0.15146749341824062,0.10768117686611203
Weigh. Emoji Sent,-0.157146028898785,0.09496669007170565
IsSponsored,-0.18181110638137452,0.05286946652951242
N Hashstags,-0.22260150646345567,0.017289641970787598
N Emojis,-0.2490199729330619,0.007546147044396577
Dominance,-0.25433300048137253,0.006320736988674524
Arousal,-0.29105110277918733,0.0016800797693524144
