feature,corr,p-value
N Mentions,0.17394517974325174,5.577605296334696e-21
DoF,0.13465031558291587,4.0993583699211104e-13
Location,0.1204208314123908,9.179645207738405e-11
Cap. Sent. Magn.,0.11976270435514334,1.1620653307247559e-10
ImgPopScore,0.07375165556191074,7.509391089933185e-05
Aest_score,0.07268759763036192,9.529799044872726e-05
%Cold,0.07129077027869543,0.0001296727226021671
Object,0.053176390935020294,0.0043303577128539356
Caption Len.,0.05304870375617551,0.004424764445758451
N Emojis,0.04881018072550239,0.00883205202719146
Age max,0.044031495977702104,0.018183207386088838
F age avg,0.04350581618988943,0.019614498091340672
Age std,0.04350096758213903,0.019628144827883644
Age avg,0.04350096758213903,0.019628144827883644
Light,0.04283693321691485,0.021577182800592714
Age min,0.04269996635786561,0.021999521748867424
RuleOfThirds,0.041280238284280436,0.02681794717465674
Content,0.03925103183371555,0.035271261177977235
VividColor,0.03925103183371555,0.035271261177977235
%Red,0.03838673695201635,0.03950963662878211
N Male,0.03646105874537991,0.05052565611645097
Indoor,0.0352979440281155,0.05834899715103897
MotionBlur,0.03385212827440167,0.06945007823648507
F age std,0.03217973320732344,0.08439368555491805
Cultural,0.029734965444233742,0.11080756763751236
Sports,0.02925601398440721,0.11667627873559652
%Blue,0.02625048920751216,0.15923596614995078
Water/Ice/Snow,0.026057734113652115,0.1623215439884773
Person,0.026020297814181477,0.16292601014723757
Indoor,0.02562888953188201,0.16934784012481693
N Female,0.02492318744668297,0.18140274569872922
Weigh. Emoji Sent,0.024319613083336127,0.1922085395306639
Workplace,0.022915321965424833,0.21916489547692672
%Green,0.0216116710585702,0.24652494150495682
BalancingElement,0.021404212832163177,0.25109047581294813
OutdoorNatural,0.02024515831167143,0.2776814339348975
Furniture,0.019803870902103237,0.2882919471557263
M age avg,0.01697444591407828,0.36274884425298615
IndustrialCostr.,0.016151621836939824,0.3864817050332807
ColorHarmony,0.01578204335773328,0.3974429019891992
Home/Hotel,0.015748297455155522,0.39845300913475246
Transport.,0.011073808842330298,0.552690424452984
%Lum,0.010988400735514539,0.55575803616072
Symmetry,0.009615994508500775,0.606156618819002
ManMadeElements,0.008781768472406415,0.6377564180628936
Transport.,0.006253830543212065,0.7373999804698947
Forest/field/etc,0.002694783458818577,0.8851219506340731
Vehicle,0.001832744121240237,0.9217246541142036
Shopping/dining,0.0013267145869340646,0.943293503944388
CulturalHist.,0.000354587521888566,0.9848323421355033
Pleasure,-0.0019576618359659253,0.9164084254393232
Mountains/hills/etc,-0.0024337110924942534,0.8961850421163423
Outdoor,-0.007550136685625854,0.6856233917047226
Accessory,-0.007997511779500378,0.668077246482484
Sports/Leisure,-0.008073720674395239,0.6651059791042699
Days,-0.010217499414628168,0.5838161684669345
Appliance,-0.010254043830957337,0.5824713120862637
Food,-0.011695460734171366,0.5306158842970194
IsSponsored,-0.01524139272769565,0.41381126067811924
Electronic,-0.016692459738973767,0.37077748275474076
Commercial/Building,-0.016958846349854576,0.3631901279838028
%Warm,-0.01705546327901994,0.36046240810285046
SportsLeisureParks,-0.017404500154705457,0.3507157400799328
Animal,-0.019036218283207614,0.30739317188254855
Repetition,-0.021035182305444725,0.2593567842102826
Kitchen,-0.027739125188093395,0.13688233487537657
Dominance,-0.02955831492913908,0.11294439229172852
Cap. Sent. Score,-0.03303183991392398,0.07648349532418856
OutdoorManmade,-0.05732271804087242,0.0020990319649094955
Houses/Gardens,-0.05783081036085117,0.001914665553071205
Arousal,-0.05839125404165581,0.001728624150814955
ImgSentScore,-0.06085594550622526,0.001091630836692661
Cuteness,-0.07509292146594874,5.536247606045489e-05
N Hashstags,-0.11318446044972352,1.1441246532385536e-09
