feature,corr,p-value
Location,0.3240521529260082,1.0825797417307844e-81
N Mentions,0.30209147944578923,1.0088490977509188e-70
Aest_score,0.21321240813818795,2.698471002669823e-35
Light,0.2075608223674844,1.6896388688791726e-33
DoF,0.18832364822281908,9.051274847961582e-28
ImgPopScore,0.185644701927789,5.100897000090378e-27
RuleOfThirds,0.17767654202008282,7.48712916708961e-25
ColorHarmony,0.15928018157235205,3.151349273732127e-20
BalancingElement,0.14634976238564604,2.7391425766850483e-17
Object,0.14475739535276022,6.0535910759572e-17
Content,0.11612724122760705,2.124394922216947e-11
VividColor,0.11612724122760705,2.124394922216947e-11
OutdoorNatural,0.10913933371441387,3.1400173000950245e-10
Days,0.10833682074620876,4.2335490881102113e-10
Forest/field/etc,0.0842307410819341,1.2354033901356497e-06
SportsLeisureParks,0.0816317236377856,2.6052282801141586e-06
MotionBlur,0.07334381205515669,2.4300429485729717e-05
ImgSentScore,0.06606704621876312,0.00014386422338153902
N Female,0.06272151070084353,0.0003079251969055637
F age std,0.0584230598566902,0.0007771726347471433
Person,0.056783270372290764,0.0010895682210341545
Weigh. Emoji Sent,0.05661478055181574,0.0011275208972893111
%Cold,0.05061865650263023,0.0036001082389272906
Water/Ice/Snow,0.04829453159298198,0.005479551420526875
%Lum,0.04686941657222137,0.0070314374296489845
N Hashstags,0.046080419288881895,0.008050854529665289
N Emojis,0.04479362372081616,0.009999260174421152
Arousal,0.04277372034074738,0.013909523134598012
Mountains/hills/etc,0.042721529655458786,0.014026357018469682
Age max,0.042445102147518746,0.014659716855172058
Age avg,0.04056675827758416,0.01967027939405314
Age std,0.04056675827758416,0.01967027939405314
F age avg,0.040548712997593606,0.019724901928606826
Age min,0.040335930355472685,0.020379041431571432
Outdoor,0.036980687621508156,0.03348392208656905
Cap. Sent. Score,0.03565602151179154,0.040362453820360085
Vehicle,0.028832730260215086,0.09741096317275809
ManMadeElements,0.02768443540067975,0.11149756634153297
Cap. Sent. Magn.,0.02761838294349736,0.1123543535106458
Accessory,0.020142504806222847,0.2469335324791914
Home/Hotel,0.01946441560023075,0.2632065518583674
Appliance,0.017565293388641372,0.3126571881969784
Dominance,0.014253053859305118,0.4126430470842717
Sports,0.013214126570782886,0.44753594289420306
Sports/Leisure,0.012985343714258064,0.45543901462399305
Commercial/Building,0.012923887430107993,0.4575752618402279
Pleasure,0.012768828037997386,0.4629901042189226
Caption Len.,0.00907563064869782,0.6019193108391062
%Warm,0.007293063537526679,0.67508291091423
N Male,0.0065506229384369105,0.7065391335852254
Food,0.006043227963301189,0.7283327190600204
%Blue,0.0037475156197283553,0.8294607146991291
%Green,-0.004316445474261501,0.8040620406955004
IndustrialCostr.,-0.00487912622803321,0.7791439950693729
Symmetry,-0.005064464680136758,0.7709844338697625
Transport.,-0.007553633393120965,0.6641726585641209
OutdoorManmade,-0.007726455887665989,0.6569753162978944
M age avg,-0.013406417369414591,0.44095415534634086
Furniture,-0.015450433281546602,0.37449590202556426
Kitchen,-0.02189976060692004,0.20807967354892656
%Red,-0.022025693225756787,0.20547580095676432
Indoor,-0.023834846438356178,0.17064687841060647
Cultural,-0.025002643905070253,0.15063882201021622
Electronic,-0.026525133157987126,0.1273017522689316
Transport.,-0.026830394345644472,0.12298040491311751
Cuteness,-0.029309555305585922,0.09199621594114672
CulturalHist.,-0.034530713608339,0.04711308815465262
Shopping/dining,-0.036011463609152826,0.038408410873226814
Animal,-0.03658707443650223,0.035414579112325956
Workplace,-0.04589688838310014,0.008306169492940305
Houses/Gardens,-0.0461041571285797,0.008018350329245853
Repetition,-0.05921601767749862,0.0006580297493513493
Indoor,-0.07123825061816595,4.136774695553628e-05
