feature,corr,p-value
N Emojis,0.32889529521995053,1.1794828016693943e-20
Location,0.2596699439280266,3.4203141095132515e-13
Weigh. Emoji Sent,0.24968324203535938,2.7990632484694184e-12
Age min,0.24085474754242053,1.665302542260584e-11
Age std,0.23811354664842943,2.8563885897843608e-11
Age avg,0.23811354664842943,2.8563885897843608e-11
F age avg,0.23810804303750158,2.859465354025261e-11
Age max,0.22995037926496173,1.3694668835411582e-10
ImgPopScore,0.21022268796044896,4.762330931471985e-09
Cap. Sent. Magn.,0.20926675710641132,5.608248344022014e-09
Content,0.18437410971890558,3.0263707198682396e-07
VividColor,0.18437410971890558,3.0263707198682396e-07
N Female,0.16396147934248773,5.4559325571316424e-06
Person,0.15876102736533987,1.0807333076721647e-05
Cap. Sent. Score,0.1331465912487468,0.00023015594674488307
Aest_score,0.12759085591179153,0.00041808761755873856
%Warm,0.11964825056879748,0.0009426544782793609
Light,0.11858326617256411,0.0010474613110441147
OutdoorManmade,0.11643460158443802,0.001292401542656081
N Mentions,0.1152656229650797,0.0014468453823497812
DoF,0.11449319260490767,0.001558027707236627
N Hashstags,0.10965044799463632,0.0024535837883543307
ColorHarmony,0.10844745221809161,0.002739257177557624
CulturalHist.,0.09802985018299429,0.0068027420507432166
Shopping/dining,0.09054248509370835,0.012463083020693239
SportsLeisureParks,0.08490065304308213,0.019156603971808246
N Male,0.08386481416387737,0.02067934589567135
Object,0.08312605313493288,0.02182872868246998
ImgSentScore,0.08038697471618078,0.02658773031782935
RuleOfThirds,0.079247241218575,0.028817241680972893
Houses/Gardens,0.05196237682639683,0.15212744854834306
Caption Len.,0.04197360544507796,0.24747678311500373
Accessory,0.040409401478678005,0.26555156250800427
Commercial/Building,0.03779936243187567,0.2976899652730356
Pleasure,0.03398277225190463,0.349177473929447
IsSponsored,0.033591418140795366,0.3547586905847797
Arousal,0.03280297690355357,0.366172478022601
Animal,0.030255299840091513,0.4045918669935207
%Green,0.02854395401300362,0.4317000260604339
%Cold,0.026278798016991217,0.4691478349896764
%Red,0.020960297529882335,0.5637175646893617
Transport.,0.01963324760561816,0.588666762115652
BalancingElement,0.013134357627134583,0.7175408072343397
Forest/field/etc,0.012627629639024597,0.7279979598861231
%Lum,0.006531950712808681,0.8572329586176839
M age avg,0.000992288400552049,0.9781977223072215
Dominance,0.000394910519799759,0.9913222315256941
Repetition,-0.003692517675084981,0.9189983430326336
Food,-0.0045584087930958155,0.9000934876693303
IndustrialCostr.,-0.007405981952301341,0.8383768878622224
F age std,-0.009096091630975307,0.8021855754087588
MotionBlur,-0.015474967092402658,0.6699477203456707
Workplace,-0.015593867028867487,0.6675630596400219
%Blue,-0.01565796143568199,0.6662789667480289
Symmetry,-0.01909135530261964,0.5989989053982749
Electronic,-0.01998510019912663,0.5820023574776445
Appliance,-0.02194223793540466,0.5455901361823952
Indoor,-0.02410276377074003,0.5067493136153438
Days,-0.02773141453488824,0.4449301028488608
Water/Ice/Snow,-0.02904884207148833,0.4235951660089564
Transport.,-0.03206874663866237,0.3770046461285007
Vehicle,-0.03802410596887538,0.29482465769040217
Sports/Leisure,-0.04275349865540706,0.23879353495448416
Indoor,-0.04512291942813202,0.213735820155268
ManMadeElements,-0.0490442107319693,0.17652437564661083
Outdoor,-0.05090840633618294,0.16062513104884785
Furniture,-0.05441748960074257,0.13366179580940932
Sports,-0.05961213661317998,0.1003348733286507
Cultural,-0.06862206840056109,0.05847191714041659
Mountains/hills/etc,-0.0752764363050942,0.037882323132097453
Kitchen,-0.07665294423902604,0.034498108742288126
OutdoorNatural,-0.08127002425706323,0.024964111605972308
Home/Hotel,-0.0866058041833895,0.016862527945487423
