feature,corr,p-value
N Mentions,0.2944503343760481,0.0
Location,0.2104993715647695,4.346387332558963e-187
ImgPopScore,0.19755240111004244,1.3944057587996379e-164
N Emojis,0.17531246906194511,1.7051224220532754e-129
Caption Len.,0.15680886480050635,1.1261040126123706e-103
Cap. Sent. Magn.,0.1491447137235169,7.310572880730967e-94
Weigh. Emoji Sent,0.10839875289182516,3.400697090292622e-50
%Cold,0.10254742559920675,4.4171162075665145e-45
%Blue,0.0830725106363503,4.029158618019831e-30
Age min,0.08141053632750202,5.446613620437743e-29
Age std,0.07538207362009838,4.436764911553686e-25
Age avg,0.07538207362009838,4.436764911553686e-25
F age avg,0.07525536147572207,5.321810149689086e-25
N Female,0.07176993450562089,7.033499472741218e-23
Aest_score,0.07110816727910495,1.7323552579520404e-22
Age max,0.06999967144556993,7.69695636345011e-22
%Green,0.06423389598889485,1.2388411648301665e-18
ColorHarmony,0.061453758549169506,3.4851799030334614e-17
Light,0.05970653794166136,2.6350737044196307e-16
Person,0.056874629902212044,6.195523135461497e-15
Pleasure,0.05331604031589546,2.648630717573105e-13
%Red,0.052965199032050485,3.786732996905723e-13
DoF,0.04483606435090385,7.89508416209827e-10
RuleOfThirds,0.04166027975854986,1.1216260163440373e-08
Object,0.0391266531643633,8.157094063270368e-08
OutdoorManmade,0.038209087959483586,1.6255242194322778e-07
MotionBlur,0.03751666476537998,2.707355083141188e-07
CulturalHist.,0.037117345359360385,3.61896051743343e-07
BalancingElement,0.032956083152901966,6.265307816066891e-06
VividColor,0.029493769543675816,5.2897711896532736e-05
Content,0.029493769543675816,5.2897711896532736e-05
%Lum,0.025115527615765753,0.0005771117469470633
ImgSentScore,0.02380535813713761,0.0011042062901868309
Water/Ice/Snow,0.02200153255710151,0.002567612838166819
SportsLeisureParks,0.021264741014818726,0.003565344177690818
Houses/Gardens,0.018754892538499095,0.010163158246993787
OutdoorNatural,0.018005516044288013,0.013605482056620745
Animal,0.014504278770844706,0.04685144880136504
Mountains/hills/etc,0.012984476981435893,0.07518221707088078
Accessory,0.01146532565756133,0.11614621155760892
Commercial/Building,0.0098000911211759,0.17928858146892332
ManMadeElements,0.007332486103305898,0.31499723636341054
Outdoor,0.00159585635165805,0.8268978024443701
N Hashstags,0.0006943024177766728,0.9242028492614642
Sports,-0.00021797344945891472,0.9761714302397595
IsSponsored,-0.0012146737713272782,0.8678043665539162
Furniture,-0.0012595482987701133,0.8629680100448912
Cap. Sent. Score,-0.002653607770526936,0.7161364011212509
Days,-0.004058215887780545,0.5781399346360763
N Male,-0.00410214853974787,0.5740315669073789
Transport.,-0.0056709686115781624,0.4370969114784585
Transport.,-0.007408485166334524,0.3100075469404994
%Warm,-0.00773737429856942,0.2890189866087692
M age std,-0.008410265884394367,0.24912072973620178
Home/Hotel,-0.009249509646960651,0.2049776938089698
M age avg,-0.010183401285123147,0.1628717358542552
Vehicle,-0.013148049827205223,0.07158183082296339
Indoor,-0.014532746889004569,0.046421303236975894
Symmetry,-0.014736105953092138,0.04344428615359674
Repetition,-0.01495681898851379,0.04039734978380759
F age std,-0.01609811712510229,0.027378096242317435
Forest/field/etc,-0.01683626526610861,0.021040659092519214
Appliance,-0.018707671617292195,0.01035464188738414
Sports/Leisure,-0.019210859263163856,0.008470251382495377
Kitchen,-0.019841203141140223,0.006545428998637848
Workplace,-0.020368182546143223,0.005248667851638957
Cultural,-0.021152326780750512,0.0037453501229137956
Electronic,-0.02156305217536885,0.003125165006352226
IndustrialCostr.,-0.02274742680323953,0.0018238798133858028
Food,-0.02276084343298995,0.0018125321690548146
Shopping/dining,-0.03533250417436984,1.2778958119269423e-06
Indoor,-0.05759098189517555,2.82718485209145e-15
Arousal,-0.06635817108977761,8.773945988087877e-20
Dominance,-0.07512308992819212,6.432462489668317e-25
