feature,corr,p-value
N Mentions,0.26947932862730833,0.0
Location,0.25618106411675234,0.0
N Emojis,0.1614506311124984,9.387321386725275e-131
Caption Len.,0.1529390579184369,2.2379349836180253e-117
Cap. Sent. Magn.,0.14067888205816284,1.961547817875026e-99
Age min,0.11561012898448436,1.4921854259449505e-67
Weigh. Emoji Sent,0.11473426492582041,1.4866431046539173e-66
ImgPopScore,0.11070265106912072,4.6558507264560735e-62
N Female,0.10965734302532545,6.411105654563761e-61
Age std,0.10934521681527945,1.3959977109494864e-60
Age avg,0.10934521681527945,1.3959977109494864e-60
F age avg,0.10913001865781334,2.38406460923594e-60
Age max,0.10377341880139657,1.0306018827919232e-54
Person,0.08837268520476649,4.162879225774064e-40
%Blue,0.08525494639139203,1.9472200427402285e-37
%Cold,0.08315850187881167,1.0733232613633898e-35
%Green,0.060143956031133865,2.0197664508504262e-19
Pleasure,0.05052813827914116,3.7522936833585667e-14
Object,0.04543885710916366,1.0029541971999848e-11
%Red,0.04430790368133949,3.211995794787025e-11
Days,0.035643908910521126,9.404166800709103e-08
Shopping/dining,0.030013068024930954,6.982862263674712e-06
DoF,0.026081388402436335,9.412489455255696e-05
ImgSentScore,0.022458866627310253,0.0007718497257623893
%Lum,0.022348603327675683,0.0008193209872931706
CulturalHist.,0.02012963957754523,0.0025793454994167487
Commercial/Building,0.01935769133168906,0.0037522292583698495
Indoor,0.017607600726919997,0.008383933584775616
OutdoorManmade,0.0169635462111468,0.011092788203412363
Home/Hotel,0.014202644649965743,0.03347350693615867
Furniture,0.012136689208578253,0.06921298222293212
ColorHarmony,0.011759799754254745,0.07830654313355732
Cap. Sent. Score,0.011430305056974238,0.08703228374985379
Kitchen,0.010328293048503577,0.12203941214518692
N Hashstags,0.010271344870290163,0.12411132763147197
ManMadeElements,0.009592756326380613,0.15096083622247844
Aest_score,0.008729327278505455,0.19125501341292467
Indoor,0.007614736818890499,0.2542846677923585
N Male,0.006696207151529858,0.31610827421406834
Transport.,0.006693127640410388,0.31633088854252345
Content,0.005934373376940619,0.37430880375470854
VividColor,0.005934373376940619,0.37430880375470854
Food,0.003407814875722947,0.6099262042452622
F age std,0.003398471116591023,0.6109064745586981
IsSponsored,0.003234342951130113,0.6282379475943718
Houses/Gardens,0.0029541115498772194,0.6583045150998197
Workplace,0.0027583803715262416,0.6796413933852489
Forest/field/etc,0.002593774986748193,0.6977868993766854
Appliance,0.001747142245915182,0.793659562569467
Sports,0.001612977310673187,0.8091863365403877
Repetition,0.0008047348010108581,0.9041066474627089
Transport.,0.0005454774904286103,0.9349151971447072
Outdoor,0.00015241619817761218,0.9817955042138047
Light,-0.0005666189586829887,0.9323985895048807
RuleOfThirds,-0.001004383806040507,0.8804771437798584
Accessory,-0.0034836448218385175,0.6019967400216499
M age std,-0.004895063864157019,0.4636591617091341
IndustrialCostr.,-0.0049209864944557286,0.46129522771345055
Electronic,-0.0051733842243366045,0.43863372441267745
Animal,-0.005340005450129649,0.4240309781712368
Vehicle,-0.006237366276744039,0.3504106707172089
Symmetry,-0.0077816415593339235,0.24402222533713885
SportsLeisureParks,-0.010333189353910472,0.12186254220483998
Cultural,-0.011768932586040545,0.07807521905574234
BalancingElement,-0.012974405393186497,0.05208208228899027
Sports/Leisure,-0.01932074826183137,0.00381895438060722
%Warm,-0.02085528883260852,0.001792951909296322
M age avg,-0.021579294880678574,0.001233707449659813
MotionBlur,-0.02517369461914817,0.00016370471988190176
Mountains/hills/etc,-0.027393370355321075,4.0998806959664085e-05
Water/Ice/Snow,-0.030023894219012658,6.929841146581332e-06
OutdoorNatural,-0.03452330731408574,2.3414661517373622e-07
Arousal,-0.06357476202999765,1.614398227139253e-21
Dominance,-0.06975881012744119,1.372585396007215e-25
