feature,corr,p-value
ImgPopScore,0.4103730911170258,1.0808563419810566e-29
N Female,0.27685590135955235,9.914494382960596e-14
N FaceF,0.2600224096754114,3.1079655217433956e-12
N Cov.BreastF,0.24234765698553648,8.95758207947332e-11
Age min,0.21777655405873061,6.284412584099107e-09
Light,0.21734517906524686,6.742400545668555e-09
Age max,0.21409166602341684,1.1407488432630456e-08
F age avg,0.21155739981708496,1.7084185693114976e-08
Age avg,0.21155739981708496,1.7084185693114976e-08
Age std,0.21155739981708496,1.7084185693114976e-08
N Mentions,0.1937101322673768,2.5524885377625475e-07
Person,0.17737472895459133,2.454982953671104e-06
ImgSentScore,0.16939383184132487,6.903782377410897e-06
ColorHarmony,0.16754278143460158,8.716448028328746e-06
N Exp.Armpits,0.16094338011906353,1.9612057601920712e-05
Aest_score,0.1578278140978097,2.844698949457386e-05
N Exp.Belly,0.1524681583280211,5.3064414691108484e-05
VividColor,0.15180144794852388,5.72613510553389e-05
Content,0.15180144794852388,5.72613510553389e-05
RuleOfThirds,0.13329077084660412,0.00041805318198695615
Arousal,0.13119817431386072,0.0005155680163965204
Sports/Leisure,0.12505303310906096,0.0009377537241201231
OutdoorNatural,0.11554560512489609,0.0022486926122543068
OutdoorManmade,0.10789853076077746,0.004346975004172837
Water/Ice/Snow,0.1058078271628784,0.005170006220653438
N Cov.Genit.F,0.0982771585882895,0.009425520060213114
MotionBlur,0.09746582652713148,0.010033127152144359
%Cold,0.09402828373601145,0.013011059442657444
BalancingElement,0.09321663025510525,0.01381897551093049
N Exp.Buttocks,0.0820848914659339,0.030244667430629396
IsSponsored,0.07668699833738668,0.0429761127633684
%Warm,0.07511814706654661,0.04743248329963648
SportsLeisureParks,0.07247043359299488,0.055830635956379715
Accessory,0.07185216157222593,0.05796033332898623
Cultural,0.0707457251307306,0.06193961136662659
Transport.,0.061172888750732,0.10660916449787518
%Lum,0.05974031715645425,0.11507966319318257
N Cov.Belly,0.05858875129598808,0.12226434567201455
N Cov.Feet,0.05683307969332713,0.13388532058129396
N Exp.BreastF,0.056788535862278756,0.13419088249477693
Food,0.05645958281223569,0.1364641225185773
Houses/Gardens,0.053654545915779825,0.15706922093088765
Forest/field/etc,0.052040934598707386,0.16994389321275494
Cap. Sent. Score,0.048991401582741574,0.19640410706534533
Dominance,0.047749652485362316,0.20800050841089052
Pleasure,0.04579634975289746,0.22723125109784223
Sports,0.041217825938873395,0.27717361233392507
Transport.,0.03959328725054228,0.2965659371635789
N Cov.Buttocks,0.03560538262039147,0.3479261388155128
N FaceM,0.03209963331526917,0.39746817075614593
N Male,0.03195959802351486,0.399531433042267
DoF,0.03075405461066777,0.41755820397774346
Workplace,0.023731205715571715,0.5316525508407198
F age std,0.023731183015837893,0.5316529435088593
CulturalHist.,0.01954034400930543,0.606550844624705
IndustrialCostr.,0.019215603318941434,0.6125459124064605
Location,0.01735634852063916,0.6473600262322605
Symmetry,0.016262272098771895,0.6682186855205741
Furniture,0.015789945429194176,0.6773044601391028
Home/Hotel,0.01533151861735664,0.686167898476717
Vehicle,0.00990753428073582,0.7940128174773168
Object,0.008964471265427187,0.8132396242145153
Mountains/hills/etc,0.007268630380273032,0.8480904451602358
N Exp.Feet,0.004265805510781503,0.9104912955787329
Commercial/Building,0.0002178452555247458,0.9954194042250991
Days,-0.002413767347981397,0.9492799728538981
N Exp.Genit.M,-0.0033909888209896636,0.9287924385229351
%Green,-0.0034693742574658684,0.9271509383544849
Outdoor,-0.016610700733761866,0.6615470987034324
Indoor,-0.018477608361164296,0.6262662321498162
Animal,-0.023902575616963604,0.5286923191499893
N Exp.Genit.F,-0.025997580960920752,0.49319265989656
%Red,-0.03850526464914257,0.31004862264939925
%Blue,-0.03925506965598484,0.30071452174431434
Appliance,-0.05685761169195866,0.1337172653879039
Electronic,-0.12237510689843122,0.0012072098291890318
Weigh. Emoji Sent,-0.13021841312793708,0.0005681533653584268
Kitchen,-0.15368807490195735,4.612733927354933e-05
Indoor,-0.16443193360659702,1.2825142509244451e-05
Repetition,-0.16817492827659847,8.051618077715856e-06
Shopping/dining,-0.2329333236404774,4.834153986263512e-10
N Emojis,-0.2366489037413689,2.506617936147795e-10
Cap. Sent. Magn.,-0.2978506478910581,9.55988599079285e-16
Caption Len.,-0.45608848351211034,4.199706301273242e-37
N Hashstags,-0.47808668134538856,4.3187700465825475e-41
