feature,corr,p-value
ImgPopScore,0.4774506522594306,2.796349391791171e-46
N Female,0.3936464469023681,1.0204618305532446e-30
N FaceF,0.3414542025631436,4.750173191004119e-23
ImgSentScore,0.2883705684126669,1.2963270394439984e-16
F age avg,0.26592061360964064,2.861222183023246e-14
Age std,0.26581848617171966,2.9290355030871314e-14
Age avg,0.26581848617171966,2.9290355030871314e-14
Age max,0.26480938979693847,3.689836974912635e-14
Age min,0.2551196176184674,3.22388662340109e-13
N Mentions,0.2489685659962793,1.2186256323720549e-12
N Cov.BreastF,0.22427780981192028,1.7799963203428278e-10
Person,0.17617461520985264,6.161808047171963e-07
ColorHarmony,0.17050945826335914,1.41194771937681e-06
%Warm,0.16750600090218715,2.167789556799054e-06
RuleOfThirds,0.1455564643021458,3.9709328015069806e-05
Cap. Sent. Magn.,0.14346801469536066,5.130877388663998e-05
Light,0.13111734150573137,0.00021749151433795812
F age std,0.11251657665762167,0.0015266833269536532
OutdoorManmade,0.09951591046975412,0.005088332388459469
Dominance,0.0974469152348931,0.006090598641507588
Workplace,0.0936833745080753,0.008377796487658351
Houses/Gardens,0.08931432772611811,0.011971204634630535
N Exp.Armpits,0.08882844770652508,0.012445064699035736
N Cov.Feet,0.08837091927405184,0.012906353858020874
N Emojis,0.0854752473695029,0.016191606806343406
N Exp.Belly,0.08062106283947357,0.023356573225278753
Arousal,0.0788479902431497,0.026587297500776954
SportsLeisureParks,0.07825393533129225,0.027752645850838743
Content,0.07587037283716191,0.03288090664443894
VividColor,0.07587037283716191,0.03288090664443894
N Cov.Genit.F,0.07235844220779505,0.041900182476551424
N FaceM,0.06904218573323909,0.05225365556820083
Aest_score,0.06255830993148914,0.07868369211349518
OutdoorNatural,0.06157704892369552,0.08349792661738926
N Exp.Feet,0.0526382961856739,0.13910777166220775
BalancingElement,0.04731537227872028,0.18372532314172374
Water/Ice/Snow,0.047036024593918625,0.18632984801152166
IsSponsored,0.04599945610472983,0.19623245599809475
Sports/Leisure,0.04420876635092631,0.21423647123163453
Location,0.03886886209967692,0.27489473493125793
Mountains/hills/etc,0.03379756223958399,0.34246040569993275
Sports,0.03329417711339909,0.3497017681246509
%Cold,0.02908167314260738,0.41404658072778266
Appliance,0.0280132140284741,0.43141516136286184
M age avg,0.02773456116974179,0.4360132255035256
Forest/field/etc,0.026880820343814064,0.4502751175995672
Transport.,0.02631671168278196,0.45984158849785306
N Exp.BreastF,0.02076247472454813,0.5598406383779099
MotionBlur,0.017910366878513155,0.6149868877416407
Furniture,0.015247128177045927,0.6685288241614679
Vehicle,0.014594500762116562,0.6819240665853668
CulturalHist.,0.0123848804269061,0.7280025457373274
N Cov.Buttocks,0.011686035675563918,0.7427922399875106
Cap. Sent. Score,0.0014705918296934177,0.9670610370333326
Cultural,-0.00010672209080291434,0.997608917118983
Transport.,-0.004016857373160251,0.9101932456660288
Commercial/Building,-0.007281014884745213,0.8379976478732085
Accessory,-0.00766604510169434,0.829558698532316
Symmetry,-0.010594673330878872,0.7660776535581282
Days,-0.010818096080274538,0.7612927028907092
Kitchen,-0.021445663557721,0.5469952577702275
Electronic,-0.02901359335612577,0.41514079690757943
Animal,-0.030196530011657133,0.39637149652228143
Object,-0.031876606060506525,0.3706104731148756
N Exp.Genit.M,-0.03453907919403214,0.331969101347944
Weigh. Emoji Sent,-0.03602241933727525,0.3116113256316185
Outdoor,-0.03973209605777616,0.2643674632453649
%Red,-0.03995985350744417,0.2616368008188702
Indoor,-0.042192601948240926,0.23589630240398266
Food,-0.04766538840009679,0.18050002653840735
Caption Len.,-0.05063112394718048,0.154838544943122
DoF,-0.05065843612046433,0.15461580047638102
N Exp.Genit.F,-0.05430993354628916,0.12696934811621144
Home/Hotel,-0.05481440852571074,0.12347257543149168
N Male,-0.07151617350615946,0.04435009032686284
%Lum,-0.07280441144737537,0.040649952142569806
%Green,-0.0765015753543345,0.0314496595403941
Repetition,-0.0857979463944897,0.01579235361640405
Pleasure,-0.11155813762831195,0.00167572638117541
Indoor,-0.12126059978015412,0.0006316511884892383
%Blue,-0.1490627760943239,2.5621155674539903e-05
Shopping/dining,-0.1513563469911764,1.9133131374042505e-05
N Hashstags,-0.3771421574705243,3.864294691645665e-28
