feature,corr,p-value
Location,0.23364062671466843,1.148224437785906e-83
ImgPopScore,0.18303965914253054,1.6304645085900033e-51
N Mentions,0.18278830816392314,2.2445351903197103e-51
N FaceF,0.1430668313159878,6.07062740209185e-32
N Female,0.14285518756964305,7.475221067945565e-32
Light,0.12273433368753936,6.966085470840021e-24
Aest_score,0.1128008972688507,2.1192162474131703e-20
F age avg,0.11095475193009988,8.729177104903836e-20
Age avg,0.11077081528742676,1.003853302150992e-19
Age std,0.11077081528742676,1.003853302150992e-19
Age min,0.11071031521790554,1.0510237232887429e-19
Age max,0.11050162920458859,1.231166131258277e-19
Person,0.10214957956643264,5.415843657667767e-17
N Cov.Feet,0.09251285527686376,3.3661534047382836e-14
ColorHarmony,0.0844083078251168,4.627315372516252e-12
MotionBlur,0.08344567859063641,8.063996554659359e-12
RuleOfThirds,0.08032439844875694,4.679000536361543e-11
OutdoorManmade,0.07997002397272926,5.68930473572188e-11
ImgSentScore,0.07648694215268087,3.717136838022891e-10
DoF,0.06830179815895009,2.227803417916793e-08
SportsLeisureParks,0.06750731366602761,3.237182744693612e-08
VividColor,0.05688256223988616,3.2161999914357484e-06
Content,0.05688256223988616,3.2161999914357484e-06
%Cold,0.051025572378975634,2.961828763718726e-05
N Male,0.04796180668146837,8.661531854847878e-05
BalancingElement,0.045143706988312673,0.0002203767319514685
F age std,0.04391152496105701,0.00032626892919368977
Forest/field/etc,0.040103182857737334,0.0010322759967486706
Days,0.03987424213101324,0.0011030558755758578
OutdoorNatural,0.038319244198751275,0.001715658927504063
Object,0.03766029670606816,0.0020593624817593454
IsSponsored,0.035483572851860594,0.003692409625326473
%Warm,0.03538471160143575,0.0037889776423974536
N Cov.Belly,0.028951297417430178,0.017856439676636898
N Exp.Feet,0.02672438781246397,0.028791873443184155
Transport.,0.024482036021038604,0.045196615329725166
N Exp.Armpits,0.023993176199755398,0.04966757866903688
Houses/Gardens,0.021990144293815773,0.07203262685774044
Appliance,0.020533404015604037,0.09301245953010501
CulturalHist.,0.01939701394960326,0.1125721609887691
Commercial/Building,0.019030931659700424,0.11952151531778134
Furniture,0.01845280186030872,0.13117508051473462
IndustrialCostr.,0.017728135342715733,0.1470040824628315
Dominance,0.016323569872042032,0.18178369538431255
ManMadeElements,0.013391581897015808,0.2733327019903281
Sports,0.012974306085888376,0.2885607562767181
Water/Ice/Snow,0.012661264891268008,0.30035345922442036
Sports/Leisure,0.009690081328900051,0.42799725410760614
M age std,0.00948404299376572,0.4378852351851662
Transport.,0.009013675326818195,0.4609442812704794
N Exp.Genit.F,0.008412986382319432,0.49135429104087935
N Exp.Genit.M,0.008038535214791545,0.5108424741406841
N Cov.Genit.F,0.007749270696965952,0.526169054365073
Accessory,0.007693589273382255,0.5291460503528225
Arousal,0.007634006380089603,0.5323410988520918
N FaceM,0.00461291401278443,0.7059376624569113
N Exp.Belly,0.00301511375866576,0.8051998264529306
N Exp.Anus,0.0027332265332266786,0.8230950338173401
M age avg,0.0024955958594358478,0.8382528716865606
Mountains/hills/etc,0.001669897468506267,0.8913547588894578
Vehicle,0.0016008226116844715,0.8958226667331116
Food,-0.0021871331222299306,0.8580179420845981
N Cov.Buttocks,-0.002922124970544743,0.8110923111928892
Animal,-0.01016115464193424,0.4058844099072475
N Cov.BreastF,-0.010347307559075574,0.3973376629023573
N Exp.BreastF,-0.010375096085547835,0.39607119472701147
N Exp.BreastM,-0.010800040954208195,0.3770092478825172
Weigh. Emoji Sent,-0.012454078372786009,0.3083326939165591
%Green,-0.013923227213575485,0.25473977319481095
N Emojis,-0.018334766479174106,0.13365921463998678
%Blue,-0.019350484799508173,0.11343734566815837
Symmetry,-0.019701442414285536,0.10703915066863944
Kitchen,-0.019790885856233436,0.1054551182469794
Repetition,-0.020767816520445244,0.08933865581142189
Outdoor,-0.0207950282843851,0.08891985832819002
%Lum,-0.021226364193233323,0.08249027047496199
N Exp.Buttocks,-0.022484432852071218,0.06586263353111821
Cultural,-0.023430219761673685,0.05526981377769198
Workplace,-0.026522789379806882,0.03002003895047028
%Red,-0.027521522888735443,0.02434993067764022
Home/Hotel,-0.02874726783555246,0.01867867405659305
Shopping/dining,-0.030047384758837198,0.013959838068358129
Pleasure,-0.03966894560876418,0.0011703147036134878
Electronic,-0.05854425545631589,1.6449731328445218e-06
Caption Len.,-0.06191744951327532,3.9900556593369154e-07
Cap. Sent. Magn.,-0.07154002683424951,4.6521802318082805e-09
N Hashstags,-0.0716432755600286,4.420508673066619e-09
Cap. Sent. Score,-0.07535888986441731,6.709328364615541e-10
Indoor,-0.0850867159299549,3.1167899787807046e-12
Indoor,-0.08805909252903525,5.320247480165264e-13
