feature,corr,p-value
N Mentions,0.2982247666799212,9.571566811922466e-160
ImgPopScore,0.2769764968410923,3.517177903313692e-137
Person,0.17957003798660914,1.893785820035021e-57
N FaceF,0.16849817073852966,1.0590680995343778e-50
Location,0.16839140676369588,1.2240281542979787e-50
Age min,0.16500370101643722,1.1506339738376953e-48
Age avg,0.15773286386331095,1.4266866495835582e-44
Age std,0.15773286386331095,1.4266866495835582e-44
F age avg,0.157416855009635,2.1275413794055576e-44
Age max,0.14860622138059307,1.050004921574565e-39
N Female,0.14671471682851436,9.82422027512757e-39
%Cold,0.12056818563740142,1.289559166804474e-26
Caption Len.,0.11755387249795826,2.2511504386537714e-25
Light,0.09189758572182101,4.424173371722698e-16
Cap. Sent. Magn.,0.08894789936969692,3.707041552942428e-15
N Emojis,0.07940052844313863,2.2591430436465935e-12
DoF,0.07556561130503155,2.4297850733617515e-11
RuleOfThirds,0.07090682037215096,3.7333942123566667e-10
Object,0.06802206927392933,1.8631898522439193e-09
N Cov.BreastF,0.06481582988738203,1.0316363427772617e-08
Aest_score,0.06207666965951652,4.181618023420989e-08
N Cov.Feet,0.061797705160308275,4.806675062673115e-08
ImgSentScore,0.06132091891833687,6.090440377086578e-08
Days,0.05924177875156411,1.6754249635770035e-07
Dominance,0.0583556828592447,2.5530861963296813e-07
N Exp.Belly,0.051148209224024285,6.2919761579095125e-06
N Exp.Armpits,0.050708013587398564,7.555276479014311e-06
Arousal,0.04939195006354117,1.2943148464262661e-05
ColorHarmony,0.04458129480101861,8.289882074381715e-05
N Cov.Genit.F,0.037948376578617604,0.0008086561028431754
BalancingElement,0.03708409644175838,0.0010623600134127412
Shopping/dining,0.029091761413802344,0.010239526390687651
Content,0.0281437126678135,0.012994300316017893
VividColor,0.0281437126678135,0.012994300316017893
MotionBlur,0.02593045032080134,0.022107405086541857
Weigh. Emoji Sent,0.024290559176722792,0.03205347844510097
Sports/Leisure,0.018160237912995942,0.1090202610910372
Commercial/Building,0.01776584659559715,0.11692725406036039
M age std,0.017215140230467888,0.1287130955219446
Indoor,0.015002351100320423,0.18553653509146698
Houses/Gardens,0.014924243418395206,0.1878367148149221
Transport.,0.014734769040478074,0.19350382014750278
%Warm,0.013448180310537846,0.23533156712950284
N FaceM,0.01176513915436369,0.29917448496081744
N Exp.Feet,0.011514897253884654,0.3095715676309985
N Exp.Buttocks,0.0105017119255063,0.35407782147574796
Forest/field/etc,0.008578377224117867,0.44906198128605646
Transport.,0.008200380959548177,0.46929710230785815
%Lum,0.007187008894384512,0.5259515488188649
OutdoorManmade,0.004969704797378338,0.6609983888699245
N Exp.Genit.F,0.004247017141738635,0.7078364707484057
N Exp.BreastF,0.0018489192684351928,0.8703996271448534
N Cov.Buttocks,-0.00014326291156033184,0.9899136644093895
Food,-0.0002779439564779028,0.9804329699843399
M age avg,-0.0021954669943984777,0.8463867057882264
Workplace,-0.0026609589097161363,0.8143589365928305
SportsLeisureParks,-0.0031090148481977458,0.7838205052332766
N Cov.Belly,-0.0034381505097178847,0.7615947679892696
N Male,-0.003953361926449218,0.7272015081903087
Sports,-0.005573505506383284,0.6228491856459561
Furniture,-0.009086272663824403,0.42266884888690626
Kitchen,-0.010565213078859681,0.35117502992399696
CulturalHist.,-0.010683065114545353,0.3458278155417005
Accessory,-0.01127577309059825,0.3197271309289516
ManMadeElements,-0.011281414473897883,0.31948506071300176
Appliance,-0.011638653802629734,0.3044002437598725
F age std,-0.01888194555643895,0.0956510745577338
Mountains/hills/etc,-0.020190713251903292,0.07477641746249573
Vehicle,-0.021878212198967496,0.05350907470274235
Animal,-0.02234991962621266,0.04856066574903873
IndustrialCostr.,-0.026771596582712883,0.018138441317839777
Outdoor,-0.027197341804449708,0.016378568965308274
OutdoorNatural,-0.02779463740369776,0.014162915730799752
Cultural,-0.028141063909258673,0.013002836507414833
Water/Ice/Snow,-0.031670360407017366,0.0051846749472277435
Home/Hotel,-0.03955071001173403,0.0004805574505562749
N Hashstags,-0.041630500884971125,0.00023774108878185022
N Exp.Genit.M,-0.043300718794810435,0.00013199944365749255
Electronic,-0.04954936820453166,1.2144342712399312e-05
Symmetry,-0.05450234723068514,1.4873564678691514e-06
%Red,-0.05872684663056652,2.1416712575862589e-07
%Blue,-0.059507554047284875,1.4748456711115687e-07
Indoor,-0.059875552909595176,1.2350416050548527e-07
Pleasure,-0.0656177864232356,6.77389878754855e-09
%Green,-0.06897805743283737,1.101499620558177e-09
Cap. Sent. Score,-0.07737000836801397,8.060464408301052e-12
Repetition,-0.13125599077124542,2.8160656297914397e-31
