feature,corr,p-value
ImgPopScore,0.25351644811788604,2.0994698355061143e-19
N Hashstags,0.1465093108038961,2.6285884043272064e-07
Workplace,0.13715482217829747,1.462197140591073e-06
Object,0.11923699238285894,2.8862918830307388e-05
Light,0.1157767098380962,4.906178182475317e-05
DoF,0.11490884331606804,5.5916121719224365e-05
%Green,0.10334090410902422,0.0002929443006953945
Aest_score,0.09456828796312887,0.0009243816970386334
ImgSentScore,0.09375329598381126,0.0010237772347271585
%Blue,0.09002969981673295,0.001616353334916724
N Mentions,0.08535734619544294,0.0028017429766699557
Location,0.08428607375886256,0.003166978891656598
%Warm,0.08306603127775987,0.0036353668673483517
ColorHarmony,0.08183315721570332,0.00417177781516549
F age std,0.0805363325203486,0.004812511639522917
M age avg,0.07495437877793829,0.00870713436184635
Caption Len.,0.06996255477555352,0.01435762373457644
%Red,0.06980679416193046,0.01457682593820967
N Male,0.06548051142444929,0.021963375863989158
Person,0.06271922056025339,0.02822138941050121
Pleasure,0.061275906804550286,0.03206452136065236
Cap. Sent. Magn.,0.055145169116017155,0.053756996259356954
RuleOfThirds,0.052745693469970024,0.0650747321115824
N Female,0.04596432744902733,0.1079883126301526
Days,0.04296564219398358,0.13300893868519373
Transport.,0.04088061032936163,0.15289692181141348
Forest/field/etc,0.0392547293233463,0.16991392308826647
Cap. Sent. Score,0.029753647247710242,0.2982845128965687
Home/Hotel,0.028846092324481532,0.31327218095320203
MotionBlur,0.024438597616580217,0.39296331078525837
SportsLeisureParks,0.023721003283348415,0.4070110933738258
Commercial/Building,0.02295737764305615,0.4222838428113711
Furniture,0.02110477498000558,0.4607008309819155
Sports,0.020516091718771483,0.47330488325147246
OutdoorNatural,0.013636343245359204,0.6336385166316787
VividColor,0.00546081820638724,0.8486377614968282
Content,0.00546081820638724,0.8486377614968282
N Emojis,0.0032649420585564486,0.9091506608882324
%Cold,0.0031490789782021677,0.9123614139317546
ManMadeElements,0.0011748908386121,0.9672461428397193
IndustrialCostr.,0.0005611412782968701,0.9843529947862917
BalancingElement,0.0005402161863018874,0.9849364047549044
Water/Ice/Snow,-0.0011028185637996179,0.9692543630452286
Outdoor,-0.0015170667978456926,0.9577148067187035
Animal,-0.002258802656636175,0.9370762300349583
Vehicle,-0.004652547666612968,0.8708276693371461
OutdoorManmade,-0.005382872874772771,0.8507727178200105
Indoor,-0.005409131628089016,0.8500533563561725
Symmetry,-0.01230354347838979,0.6671776750335758
Food,-0.01788547260899255,0.531874808417316
M age std,-0.01837518426694036,0.520700301971245
Transport.,-0.019919493000421756,0.48626935212184963
Appliance,-0.02093857619303604,0.4642401332079126
Age max,-0.02245995289905342,0.4324104101332116
CulturalHist.,-0.02264477080024166,0.4286315939287274
Accessory,-0.02728995198474671,0.340103611830447
Weigh. Emoji Sent,-0.029257416130050527,0.3064191449179575
Electronic,-0.032108488555380885,0.26165841206923035
Mountains/hills/etc,-0.03467721301681889,0.22538531222923808
Sports/Leisure,-0.040200846363445966,0.1598469759193753
Houses/Gardens,-0.04313336487651524,0.13150039115350362
Indoor,-0.04670482982237536,0.102422002857225
Kitchen,-0.062455075584829586,0.028893540639207405
F age avg,-0.06551555958174114,0.021892401085382283
Shopping/dining,-0.06802227984550187,0.017306367054458944
Age min,-0.06956654700899141,0.014920705391394493
Cultural,-0.0699637408654761,0.014355965749550977
IsSponsored,-0.07074562500544093,0.013299032668630738
Age std,-0.0743878067265616,0.009228831621309235
Age avg,-0.0743878067265616,0.009228831621309235
%Lum,-0.07514460543908777,0.00853797166343947
Arousal,-0.0951874433439477,0.0008549243892817807
Dominance,-0.09945733197396629,0.0004927382375186604
Repetition,-0.11365512491673743,6.743410513547147e-05
