feature,corr,p-value
ImgPopScore,0.2634337032977508,9.525843612208368e-34
N Male,0.1563768746646925,1.2108873606408373e-12
ColorHarmony,0.1197634873555692,5.736236688895047e-08
F age std,0.09903153818176033,7.385284863703325e-06
OutdoorManmade,0.09812582809347635,8.950942395068544e-06
OutdoorNatural,0.0884738104984129,6.269755548901846e-05
Person,0.08170539445001727,0.0002197504667744952
DoF,0.07465395332523475,0.0007373040305273693
Water/Ice/Snow,0.07425430518299049,0.0007873649819423709
Home/Hotel,0.070558670160523,0.0014242925328388804
SportsLeisureParks,0.06456914018426518,0.0035191597254151407
Houses/Gardens,0.055456760835641127,0.012217906276346238
CulturalHist.,0.054532249330587486,0.013741490490369396
Aest_score,0.05010283333268786,0.02360167555398126
Sports,0.04705597380937036,0.03352465835785264
Forest/field/etc,0.04536116631193198,0.040452323932532376
Light,0.04435726018838101,0.045101618097180114
M age avg,0.044047855588788896,0.046622291018308094
%Green,0.03962787997297464,0.0734712780526437
Object,0.038823385465221114,0.07951154154089694
Symmetry,0.038033906216072264,0.08582526491752432
Transport.,0.03516728551662864,0.11222180093839826
IndustrialCostr.,0.031125425377607308,0.1598293358438757
Location,0.026207704632057863,0.2366211007501219
%Red,0.024626465158697444,0.2661177608754645
ManMadeElements,0.024050649554382117,0.27746220964537366
ImgSentScore,0.023296920089673975,0.29280279666475306
Vehicle,0.021149522413758167,0.33957643597981524
Transport.,0.017551171561618315,0.42807381193986394
RuleOfThirds,0.017523766548736837,0.4287955183578047
N Mentions,0.01720388314499129,0.43727174047125705
BalancingElement,0.016679113969314457,0.4513836745327844
Outdoor,0.015441883598244988,0.48565337574049494
%Blue,0.013000868898090406,0.5571964486993906
N Emojis,0.01162467252472124,0.5996743936257801
Cap. Sent. Score,0.01140582007203901,0.6065623193101652
Animal,0.00993699915147477,0.6536739721662237
M age std,0.007317948249421618,0.7410917211005192
Mountains/hills/etc,0.005983543104924054,0.7870387777590715
%Warm,0.004047265970947784,0.8550068927425867
Weigh. Emoji Sent,0.002824510368608403,0.8985239413225491
Accessory,-0.001696416885159073,0.9389474424026583
Days,-0.003570636636125979,0.8719249567602014
MotionBlur,-0.010513300595569727,0.6350107787916662
Workplace,-0.016607650555432493,0.45332516854253624
Cap. Sent. Magn.,-0.01688959196551805,0.4456928735374166
IsSponsored,-0.017443376632754314,0.4309166480525627
Furniture,-0.018325179063772547,0.4079838879565586
N Female,-0.019738546972209333,0.37278041443469667
%Cold,-0.025877613046903142,0.2425795503630753
Dominance,-0.027523127805690915,0.2139054878073638
Age max,-0.02863561742128983,0.19595704725982951
Kitchen,-0.029136254841833145,0.18824991044003925
Pleasure,-0.03128751460467631,0.1576647172926356
Indoor,-0.03213777182994316,0.14667204362136801
Appliance,-0.03864005184604863,0.08094301693510805
Commercial/Building,-0.0428108760996409,0.05313932483833023
Cultural,-0.04367309570862578,0.04852169656255812
Food,-0.048305162864674546,0.02909182290083603
Electronic,-0.05238105534083257,0.017951529962083174
Repetition,-0.059467146608352006,0.0072031092392919405
%Lum,-0.061774510983799956,0.005242055225701184
Arousal,-0.06799526939821261,0.0021154456692572946
F age avg,-0.07312276770829584,0.0009467153177799566
Age avg,-0.08426170432275623,0.00013830824465843996
Age std,-0.08426170432275623,0.00013830824465843996
Sports/Leisure,-0.08862433547327828,6.090994016759699e-05
Content,-0.0925438114549752,2.8226973606216316e-05
VividColor,-0.0925438114549752,2.8226973606216316e-05
Shopping/dining,-0.09880418046907838,7.751683068102654e-06
Age min,-0.09919710943537859,7.12893586567906e-06
Caption Len.,-0.11808298824739695,8.788387523997892e-08
N Hashstags,-0.1414368038307344,1.3796312846394428e-10
Indoor,-0.1457164396365692,3.7307748211641505e-11
