feature,corr,p-value
ImgPopScore,0.1658520449929656,7.891336094086541e-137
N Mentions,0.13172628064229822,1.35254892526235e-86
Cap. Sent. Magn.,0.11477779570490995,4.634142104487266e-66
Location,0.08933932836161375,1.261708704924593e-40
Caption Len.,0.07323354958453265,8.081624066871946e-28
ColorHarmony,0.06916843939388098,5.493579511652819e-25
Weigh. Emoji Sent,0.06452125319042594,6.043878794886361e-22
Aest_score,0.06433943608871336,7.871516492086218e-22
Light,0.062107621588140705,1.8988314660286717e-20
%Blue,0.06201524407951108,2.1610725173275288e-20
Person,0.061279584916728476,6.013776857629027e-20
N Emojis,0.05858225418984755,2.312988183443339e-18
%Green,0.055972804392679765,6.774050566668658e-17
%Cold,0.05555161972160071,1.1519679973158188e-16
%Red,0.05253020742177365,4.630838139278463e-15
Pleasure,0.049363495557662285,1.7909399931384968e-13
MotionBlur,0.049304096878862204,1.9139897609987633e-13
N Female,0.04510495395443866,1.724630332286173e-11
Object,0.044995363484948835,1.929570223672972e-11
Home/Hotel,0.04381476351136179,6.361286848924878e-11
ImgSentScore,0.04243584588143998,2.4653536332928235e-10
Age max,0.041009805906524636,9.579272656840152e-10
DoF,0.03782684493215683,1.6886818167492767e-08
F age avg,0.03694307678783214,3.6023995165161804e-08
RuleOfThirds,0.035342000194456144,1.3613367943504612e-07
Age std,0.03283610335653229,9.756439434820997e-07
Age avg,0.03283610335653229,9.756439434820997e-07
M age avg,0.03170865468644548,2.2643173649877683e-06
Furniture,0.031134973278967623,3.439002975913291e-06
Age min,0.03074864498086296,4.538640300385811e-06
F age std,0.03065045341812615,4.867762753992208e-06
N Male,0.02968062946194551,9.611725777256623e-06
BalancingElement,0.027376953537270713,4.463260565352889e-05
OutdoorManmade,0.024395492627703554,0.0002754115613717408
%Lum,0.017420871058238925,0.009396521096194398
SportsLeisureParks,0.016151274974948678,0.016041483346013935
Transport.,0.014643374506381234,0.029025921427553128
Houses/Gardens,0.011956671203619224,0.07465952584220982
Symmetry,0.01164734716368053,0.08248749985781188
IndustrialCostr.,0.010136530308707328,0.13074234656953063
M age std,0.009859016692887145,0.14161417578329913
Water/Ice/Snow,0.008726695701482661,0.1932617316295353
Cap. Sent. Score,0.008253231770771707,0.21854617176353025
Appliance,0.00775442935544076,0.24766532847994804
%Warm,0.0073287041974396455,0.2745829137015115
CulturalHist.,0.006750822969294706,0.31421535017188856
Sports,0.005635654223678818,0.40081674539472933
OutdoorNatural,0.005478357534299591,0.4140922863091484
VividColor,0.005448467553593281,0.4166440402931315
Content,0.005448467553593281,0.4166440402931315
Forest/field/etc,0.0044861920522269215,0.503623280929785
Outdoor,0.004087951177425225,0.5422397505902607
Accessory,0.002868163167787488,0.6689545176140752
Vehicle,0.0016037311152494787,0.8110415917628285
Days,-0.001360599141574107,0.8392627239146646
Mountains/hills/etc,-0.002341037100011256,0.7270896329300369
Workplace,-0.0031278895092570493,0.6409984351113271
Transport.,-0.008909216723350167,0.18411137215128703
Commercial/Building,-0.009756174991946677,0.14581497981186456
Electronic,-0.010558657868844792,0.11546055966476663
ManMadeElements,-0.011651802590377526,0.08237019994998686
N Hashstags,-0.011953895970563967,0.0747269600039878
Food,-0.015971445061314638,0.017258385765446856
Cultural,-0.018069931112403653,0.007058655084755406
Kitchen,-0.01815951510462303,0.006780787161147923
Animal,-0.01925025436496758,0.004103790201431659
Indoor,-0.02274619820101451,0.00069532590292302
Indoor,-0.024484784054053372,0.0002615159663925111
Shopping/dining,-0.02575390888320279,0.000123034473338677
IsSponsored,-0.02617381857422808,9.515271133061147e-05
Repetition,-0.03441182912143838,2.8729683195351354e-07
Sports/Leisure,-0.03645694896432712,5.425606769305437e-08
Arousal,-0.05441845628336907,4.713743488126025e-16
Dominance,-0.06180539135112821,2.89729710085168e-20
