feature,corr,p-value
ImgPopScore,0.1955733860380544,1.0294747332291087e-104
Person,0.08687073903900949,9.92863898664613e-22
N Male,0.06434335428445331,1.361702575595674e-12
N Female,0.06331068939618475,3.0826078448871355e-12
OutdoorNatural,0.059682081283261273,4.915751958826026e-11
DoF,0.05967809950615575,4.930284462028217e-11
Aest_score,0.05879940162146632,9.413865163074635e-11
Dominance,0.05856628402554816,1.1158732816638124e-10
Age max,0.058430403026951606,1.2317676154183985e-10
Arousal,0.0543749831132755,2.1240356519678287e-09
Age min,0.054354038161818455,2.154404193646843e-09
Light,0.05376861272412017,3.196941572757391e-09
Age avg,0.05306970184861116,5.0938579923310996e-09
Age std,0.05306970184861116,5.0938579923310996e-09
%Warm,0.05301112008383627,5.295288005730632e-09
F age avg,0.05289629166368032,5.7128423677066065e-09
Object,0.0504838117666444,2.7141266547534005e-08
F age std,0.05025941274308987,3.1264718280252866e-08
OutdoorManmade,0.048802567294660655,7.718374683921947e-08
SportsLeisureParks,0.04764758687983059,1.5520829941548496e-07
Water/Ice/Snow,0.042973785634001734,2.232435012945118e-06
N Mentions,0.037834525780264604,3.1145850375222584e-05
RuleOfThirds,0.035336254572813364,0.00010035653151514067
ColorHarmony,0.03357556566325726,0.000219192260069182
ManMadeElements,0.03150744523673709,0.0005242688317257166
Forest/field/etc,0.030680628327919266,0.0007328408273008307
%Cold,0.029733840740848033,0.0010651427054429185
Animal,0.02917973688704363,0.0013194534654182716
N Emojis,0.02719237427859128,0.0027635065935103587
M age avg,0.02576259493483753,0.004575855899784011
BalancingElement,0.02465074941579889,0.006666525162139643
Sports,0.02092509613454439,0.02128356386000605
MotionBlur,0.017796874515105726,0.0501620349461515
IndustrialCostr.,0.01624930692876929,0.07373675486789862
Commercial/Building,0.013206898289540943,0.14611484149181217
Content,0.012398552858574354,0.17243273022531647
VividColor,0.012398552858574354,0.17243273022531647
Location,0.012186557308639935,0.1798888853155265
Transport.,0.01198111146972741,0.18734072576411984
Transport.,0.011679845521231979,0.19867660548013485
ImgSentScore,0.010033789143167899,0.2695160217522939
Vehicle,0.009780980591194208,0.2817681230072636
Mountains/hills/etc,0.008870525345468762,0.328985200827591
CulturalHist.,0.004676520973940686,0.606817173173372
Days,-0.0006549512064493332,0.9425438793384389
Outdoor,-0.0012716138848597172,0.8887133354342005
Houses/Gardens,-0.0015751606088818951,0.8623875013363905
Accessory,-0.0032631563306681857,0.7195284850158167
Sports/Leisure,-0.00401969123564505,0.6582422011185431
Furniture,-0.007156181215490674,0.43098982956488807
Home/Hotel,-0.01195929764166416,0.18814513755285006
Electronic,-0.013384505410780682,0.14076737121427024
%Lum,-0.013422506882075833,0.13964299434347968
Appliance,-0.015727969518040622,0.08347625111546854
M age std,-0.015840186687826337,0.0812962815427467
Weigh. Emoji Sent,-0.021580722869177803,0.017544776086320435
Cap. Sent. Score,-0.027698514545023502,0.0022989713878038033
Kitchen,-0.02863342822297098,0.0016240110672506843
Workplace,-0.030683930975316034,0.0007318724445750515
Cultural,-0.03154916470835078,0.0005153765453761958
Food,-0.03201920890465522,0.0004244446491201426
Cap. Sent. Magn.,-0.04070614326997122,7.419305584914748e-06
Shopping/dining,-0.041921509453972994,3.9270806983699045e-06
Symmetry,-0.04505325655164304,7.037644451675815e-07
IsSponsored,-0.0474797210417138,1.715691556374962e-07
Indoor,-0.04869769291867628,8.229193419335407e-08
%Red,-0.05158342263847135,1.3454912090758398e-08
Pleasure,-0.05764452818416969,2.1719006674238077e-10
Repetition,-0.05985844099415395,4.312453566586434e-11
%Green,-0.06059834619057132,2.4796071715225634e-11
%Blue,-0.06714951106279346,1.3856814654207568e-13
Indoor,-0.08378541140082524,2.552742304809619e-20
Caption Len.,-0.08440282714477337,1.3454742129267402e-20
N Hashstags,-0.09438620288406563,2.2368504809876477e-25
