feature,corr,p-value
ImgPopScore,0.22172398261054427,5.62371712571061e-309
N Mentions,0.19933626321668016,6.200871479354203e-249
Location,0.15602572694200545,3.989608296069063e-152
F age avg,0.14327415903221846,2.406722095171821e-128
Age std,0.14241406830974981,8.11945454882491e-127
Age avg,0.14241406830974981,8.11945454882491e-127
Age max,0.13946872787084036,1.1752852714164596e-121
Caption Len.,0.13190166908118234,6.564541431603595e-109
Age min,0.13177591759854662,1.0539941039647996e-108
Cap. Sent. Magn.,0.12015251428289883,1.4427419991702617e-90
N Female,0.10997073098760686,4.352059283274448e-76
Person,0.1036246505636985,1.0073311444378014e-67
N Emojis,0.10120151043257022,1.1583362950445016e-64
Light,0.09802220338438926,9.295797709517948e-61
%Cold,0.09399649179239958,5.386422685138141e-56
ColorHarmony,0.09344453292596341,2.3367842271257694e-55
RuleOfThirds,0.09307443460627096,6.2205609210811505e-55
%Red,0.08783414864289603,4.2840912096591806e-49
Aest_score,0.08228604827387287,2.7664508602793757e-43
%Green,0.08140259062464021,2.1476906442063975e-42
%Blue,0.08053553879844998,1.5708122617581163e-41
F age std,0.07099445990003342,1.241034512843899e-32
Weigh. Emoji Sent,0.06963903647809044,1.8495664226759602e-31
BalancingElement,0.057963244181341377,2.776775174351131e-22
Object,0.05488249376376642,3.8707253873254216e-20
N Male,0.05001048805247743,5.542743995555105e-17
MotionBlur,0.04565258998760644,2.10556860292481e-14
Pleasure,0.04535013900924077,3.118184797278652e-14
DoF,0.04313064577526711,5.14795396371361e-13
Furniture,0.04184282705587287,2.460618533902769e-12
ImgSentScore,0.0336194126129707,1.8247236997475065e-08
Mountains/hills/etc,0.022241796509416406,0.0001971373722110391
OutdoorNatural,0.021260051174098214,0.00037325996707701295
%Warm,0.021213043922634216,0.0003845985491668932
Water/Ice/Snow,0.02089882729288777,0.000469059064568374
CulturalHist.,0.018440078633876218,0.0020270796421670177
Days,0.01599702474447307,0.007421898738693696
OutdoorManmade,0.015364769288137098,0.010126842130507897
IsSponsored,0.014771357076657766,0.01343059536975351
Home/Hotel,0.013870682332600099,0.020265797201237896
Cap. Sent. Score,0.013838038291579856,0.02056229160457075
Appliance,0.008145675681995436,0.1728153724498753
Transport.,0.006383926627774701,0.2853535924610993
M age avg,0.005944702500098784,0.31980278651737276
Commercial/Building,0.005616631841319707,0.34723871234530235
%Lum,0.005202669052228796,0.3839289125121641
Houses/Gardens,0.004980409333085585,0.4045719441986413
IndustrialCostr.,0.004515648137029789,0.449826679027294
ManMadeElements,0.003672185146578525,0.5388535979900776
Transport.,0.0034698728651456506,0.5614494550552225
SportsLeisureParks,0.0033324262970246686,0.5770575603382182
N Hashstags,0.0007059876957061673,0.9059503414990071
Forest/field/etc,-0.00018867273256547483,0.9748112586819657
Workplace,-0.0019822533749469483,0.7400906865400156
M age std,-0.0053727575908247205,0.36857535867498725
Sports,-0.006340312312819568,0.28865764738202687
Outdoor,-0.0075726560241930144,0.20504340894186937
Symmetry,-0.008484057524188912,0.1556529037997657
Vehicle,-0.009751898726926021,0.10267254146997892
Animal,-0.012311841392805806,0.039352455457420825
Accessory,-0.013424380618395059,0.024659815384707597
Sports/Leisure,-0.01552755045514986,0.009357359729846493
Electronic,-0.0158292734192821,0.008067840204791454
Shopping/dining,-0.016365869591776813,0.006161980444510277
VividColor,-0.019866161998010508,0.0008843164874308569
Content,-0.019866161998010508,0.0008843164874308569
Kitchen,-0.025737914598491517,1.6474459791561546e-05
Indoor,-0.028693815247832644,1.5635293107461161e-06
Cultural,-0.03347196727345816,2.1048921493588545e-08
Repetition,-0.03427100848097797,9.63754973925487e-09
Indoor,-0.035481345820237514,2.855024096222965e-09
Food,-0.046674293499828344,5.484590560442618e-15
Dominance,-0.08846837796804133,8.778292345474725e-50
Arousal,-0.09258483412380367,2.257985629260069e-54
