feature,corr,p-value
ImgPopScore,0.3577438564366951,3.4839221000173417e-249
Location,0.3354144992414929,1.919956855438492e-217
N Mentions,0.18552580352330253,3.4396269092015266e-65
Days,0.1593838550589689,2.269827539839884e-48
Light,0.13080924768563343,5.1580142563480304e-33
Person,0.1193378186223199,1.0153028888713713e-27
%Warm,0.11794437881722557,4.131525874451907e-27
N Female,0.0994653124196526,1.0414893467152383e-19
N Cov.BreastF,0.09715213516642046,7.168860642550189e-19
N Exp.Belly,0.09560434286331079,2.54143656403557e-18
ImgSentScore,0.0891904673290577,3.884370634130879e-16
N FaceF,0.08713287608891426,1.812390371799212e-15
N Exp.Armpits,0.08428143958229702,1.444853250298533e-14
ColorHarmony,0.08067333171608901,1.812933994048743e-13
N Emojis,0.07896393584249572,5.78625647116031e-13
SportsLeisureParks,0.07810703276449778,1.0258521831817424e-12
OutdoorNatural,0.07744980299768753,1.5849962421105234e-12
Aest_score,0.07256322022417855,3.59805497462678e-11
BalancingElement,0.07002690495229143,1.6830112497796598e-10
OutdoorManmade,0.06721409009312504,8.754121583428794e-10
%Cold,0.06373974433229858,6.134351652542934e-09
Cap. Sent. Magn.,0.05659457177241197,2.4655163259565023e-07
Water/Ice/Snow,0.053657870024413655,9.974739184004708e-07
RuleOfThirds,0.053058412632547985,1.3154559576166611e-06
N Cov.Genit.F,0.04723628614794304,1.6626037730281244e-05
Weigh. Emoji Sent,0.045594180922337406,3.237063744911252e-05
Age min,0.045019960631995815,4.065634230486551e-05
Mountains/hills/etc,0.039696658044027694,0.00029680511347192465
Transport.,0.03907657147928966,0.0003687245088171714
N Exp.BreastM,0.03801545997292285,0.0005307643069279097
Houses/Gardens,0.03694208390063207,0.000760362904283893
Forest/field/etc,0.03414820477065259,0.0018579253751714547
N Exp.Feet,0.031287887671059,0.0043548252101168
%Lum,0.03050380448049572,0.0054399192833304655
Animal,0.029366555429851834,0.007448925742035365
Appliance,0.02733259482037373,0.012750672361454614
Arousal,0.024443324905056598,0.02592771769765584
DoF,0.023008183476126026,0.03603910813821814
N Exp.BreastF,0.022612851415706195,0.03935513022864499
CulturalHist.,0.02011850427380598,0.06678417853579324
Home/Hotel,0.018146164700125852,0.09825350995453491
Age avg,0.015802691302773463,0.14991636235655578
Age std,0.015802691302773463,0.14991636235655578
IndustrialCostr.,0.014566872698760284,0.18443735780760695
F age avg,0.014375100252951044,0.19028344309302736
N Exp.Buttocks,0.013795316159885183,0.20878594565915853
ManMadeElements,0.013522789882692048,0.21791986320662354
Cap. Sent. Score,0.010466379174068539,0.3402925562498139
Object,0.009626980611269714,0.3804288405723535
Dominance,0.007934884132304998,0.4697195104085965
Vehicle,0.006920678755915789,0.5283476308282875
N Cov.Belly,0.003738211260964555,0.7334207651838295
Pleasure,0.002203919230248054,0.8408605232015348
Shopping/dining,0.0002014897772101507,0.9853539396724181
N Exp.Genit.F,0.0001054851220739532,0.9923320951594017
N Cov.Feet,-0.002267449649860858,0.8363371140207247
%Red,-0.0028528270048865153,0.7949306774350557
%Green,-0.004943588630747677,0.6524229991517315
N Exp.Genit.M,-0.008814446933864876,0.42193189478608195
Sports,-0.009009362723587192,0.4117411783891156
Age max,-0.00934410704615359,0.39458445885410176
N Cov.Buttocks,-0.010127287329367721,0.3561681345936072
VividColor,-0.010708989406638095,0.3292167565448634
Content,-0.010708989406638095,0.3292167565448634
IsSponsored,-0.01210557469131483,0.2700514974646401
Transport.,-0.012239527594970644,0.26478641157782956
Outdoor,-0.018670786644536547,0.0889074791240279
Commercial/Building,-0.0199480320146752,0.06912715988289923
MotionBlur,-0.02024729436434057,0.06505776592612705
Accessory,-0.021709659496144312,0.047913276513360276
Electronic,-0.022355227013239946,0.04165264838660849
Kitchen,-0.023394215682351924,0.03303395281323677
M age avg,-0.02729375626475149,0.012878277218316305
%Blue,-0.029396730463912977,0.0073880076853297
Food,-0.03211468501584059,0.0034265625830529347
M age std,-0.037995567375750265,0.0005343560714205559
Indoor,-0.04173499049171168,0.00014237217607641895
Symmetry,-0.05193015160038798,2.1970527186766242e-06
Furniture,-0.05505597683581281,5.172620959337824e-07
F age std,-0.056526169395675605,2.549128678987613e-07
Repetition,-0.05755343593758743,1.5386321435622343e-07
Workplace,-0.058079794842181155,1.183985106390017e-07
Sports/Leisure,-0.06942601534975588,2.406838294653158e-10
N Male,-0.08121283808264881,1.250591786666239e-13
Cultural,-0.10045267147134067,4.5088616958164746e-20
Indoor,-0.11027451366864442,6.944610413002395e-24
N FaceM,-0.12359575723311086,1.2564319099790672e-29
Caption Len.,-0.18277678511943454,2.704164450911416e-63
N Hashstags,-0.34437055607160827,7.310015976313683e-230
