feature,corr,p-value
ImgPopScore,0.3582169010522337,5.273726607726529e-252
N Female,0.23707862922260792,2.513221610615347e-107
N FaceF,0.20958807911452806,8.979770529109754e-84
Location,0.1600041729818492,3.856311760355589e-49
ImgSentScore,0.15696775040235317,2.4502657375101523e-47
Person,0.15064807452285378,1.0634619290177007e-43
N Emojis,0.1484317108229836,1.8438515539621838e-42
N Cov.BreastF,0.14600826493118807,3.9697117070383395e-41
N Exp.Armpits,0.12928013849542333,1.5312685890772554e-32
N Exp.Belly,0.12123920136636898,8.571905784117847e-29
SportsLeisureParks,0.09492810103533054,3.1702763170089684e-18
Weigh. Emoji Sent,0.09143306016161358,5.145774244934666e-17
Light,0.08753698484150517,1.017886632930164e-15
F age std,0.08703725295464561,1.4788703443587167e-15
N Cov.Genit.F,0.08394155396758228,1.4272844317894462e-14
Arousal,0.07990951991223762,2.42296224184508e-13
Age max,0.06890644825073913,2.7516613226590016e-10
Cap. Sent. Score,0.0641923881815236,4.11744942037463e-09
N Exp.Buttocks,0.056805271488770064,1.9752721757451305e-07
F age avg,0.05652374816617068,2.26900828891826e-07
Age avg,0.05540433079012981,3.9125105422240255e-07
Age std,0.05540433079012981,3.9125105422240255e-07
Age min,0.05453615962929009,5.927902875623966e-07
OutdoorNatural,0.050643888323429746,3.5404384721693636e-06
Content,0.04597923545721531,2.5634721907238336e-05
VividColor,0.04597923545721531,2.5634721907238336e-05
Cap. Sent. Magn.,0.044544276565579397,4.549461853164682e-05
Aest_score,0.041956990618128395,0.00012274206160442226
Dominance,0.04157794147694468,0.00014131406869944505
%Warm,0.040062126285464995,0.0002454200609392664
Water/Ice/Snow,0.03743896957158425,0.0006109331337793971
%Cold,0.029485735378894047,0.006967144763038467
RuleOfThirds,0.02658875384312541,0.014966356486226864
Mountains/hills/etc,0.02570969456062056,0.018636634400219988
%Lum,0.02482254450074604,0.02311605826480941
N Cov.Buttocks,0.02369516591031873,0.03013472959023266
N Exp.Feet,0.022230007239869124,0.04193083924570458
Forest/field/etc,0.019566960496005294,0.07337869252409963
Days,0.018002258284230358,0.0995033155331807
ColorHarmony,0.017749961990775043,0.10433809828115687
Pleasure,0.015921174983521368,0.14516756804969336
DoF,0.014870041741289761,0.17363282877275124
BalancingElement,0.013725836483281097,0.2091460854393018
Sports,0.013672186590644224,0.21093173916302144
OutdoorManmade,0.013227242060528534,0.2261671042701359
Houses/Gardens,0.01285542414638755,0.23948810886781935
ManMadeElements,0.01237641575237139,0.25745172913574665
M age avg,0.011178393202100751,0.30639810610322227
Object,0.009795602843299573,0.3701037638248962
Transport.,0.00914221321997957,0.40287788270556346
N Exp.BreastM,0.00867377401940075,0.42741103587266127
N Cov.Belly,0.0065316357814840876,0.5500906603046982
IsSponsored,0.006478938900883066,0.5533132826241444
Appliance,0.005645807242333157,0.605454728033836
Outdoor,0.00489121718274362,0.6544931518661103
Shopping/dining,0.004423337145596423,0.6856839273444373
Animal,0.00427016822826156,0.6960155441557152
Electronic,0.0018937493050333407,0.8624388455321148
N Exp.Genit.F,0.0010485392212846226,0.9235705544864585
N Exp.BreastF,-0.0030177122940955405,0.7824643975728638
Workplace,-0.004724316645007401,0.6655538924177778
M age std,-0.009090996234228859,0.4055184091521854
Home/Hotel,-0.011351987181422088,0.2989471806638599
IndustrialCostr.,-0.014530365377654734,0.1836701870669515
Food,-0.015601454025616635,0.15341970198570662
Sports/Leisure,-0.016541622727396094,0.1301287843042971
Vehicle,-0.019684399451712416,0.07166878172796676
Transport.,-0.02128885874384116,0.05140729614103466
N Male,-0.02686425016214975,0.013955280232901853
Kitchen,-0.029946289974471428,0.0061331336132885925
%Green,-0.03312309301907568,0.0024337495560231115
Accessory,-0.03536142880099573,0.0012103154688428205
MotionBlur,-0.03560547607435576,0.0011188910267872182
N Mentions,-0.03598330375581007,0.0009898660705481342
Indoor,-0.03629563626443552,0.0008937582326099897
%Blue,-0.037409841930229774,0.0006169624403957033
CulturalHist.,-0.04153851870049926,0.00014339070238287543
Indoor,-0.04473651118524254,4.2169912944267095e-05
Symmetry,-0.046449011614989884,2.1169089277496667e-05
Furniture,-0.047167945890799756,1.573944869921891e-05
%Red,-0.05050585152598263,3.76356414577959e-06
N Cov.Feet,-0.05097244548907925,3.0592163951431326e-06
Cultural,-0.0670622795537367,8.105917586354457e-10
Commercial/Building,-0.0698371691276718,1.578105888026455e-10
Repetition,-0.08049044623164507,1.624849940921763e-13
N FaceM,-0.10088535239465692,2.1581274103786973e-20
Caption Len.,-0.16032609300000833,2.4711689197226495e-49
N Hashstags,-0.16513743387167495,2.857270450218822e-52
