feature,corr,p-value
ImgPopScore,0.2518183897859106,0.0
Location,0.18759434047822685,0.0
N Mentions,0.14442987675409683,0.0
Age min,0.12252554452857162,4.800819167532052e-258
Age std,0.11199652808883374,1.1033753277791661e-215
Age avg,0.11199652808883374,1.1033753277791661e-215
F age avg,0.11089801510184455,1.7293715169454592e-211
Person,0.10610222860911281,1.142467950340257e-193
N Female,0.10553726589320649,1.2710362363077613e-191
N FaceF,0.10218515516523284,1.0387308342328553e-179
Age max,0.09998436529469172,4.211706759230931e-172
%Cold,0.08890929201922046,2.2739179786104307e-136
OutdoorManmade,0.0760232827257965,3.955457245378801e-100
N Emojis,0.0752729240136902,3.400261234243987e-98
N Cov.BreastF,0.07401621171466713,5.343989709267573e-95
Light,0.07196666300451683,6.676918497270978e-90
ColorHarmony,0.06727032398027522,9.137402597226281e-79
N Exp.Belly,0.06652913747592373,4.461275482314754e-77
Weigh. Emoji Sent,0.059696682737195146,2.1514097849314236e-62
N Cov.Feet,0.05588912813384214,6.687412631536294e-55
N Cov.Genit.F,0.054737795984206306,9.858000029939154e-53
Aest_score,0.05390893534845013,3.3656248181678157e-51
N Exp.Armpits,0.04549442189174527,5.940139413301053e-37
BalancingElement,0.043045686319687894,2.9482785426046577e-33
SportsLeisureParks,0.039535138593749505,2.5984863056416418e-28
Commercial/Building,0.036376025610097805,3.234167951764361e-24
RuleOfThirds,0.03209485449814735,3.3406164513649907e-19
CulturalHist.,0.029942118002943417,6.498814698911212e-17
ImgSentScore,0.027677544400017122,1.1309931226871716e-14
Transport.,0.024803636455770148,4.473723734719893e-12
N Exp.Feet,0.023631357417429603,4.277481135105969e-11
OutdoorNatural,0.02331280442690602,7.758021253648384e-11
Dominance,0.022195511580150377,5.889115769750009e-10
MotionBlur,0.019469710576499266,5.5533679609674536e-08
DoF,0.019365506809292964,6.534015307799674e-08
Water/Ice/Snow,0.017176820571839276,1.6452479985341714e-06
%Warm,0.016302413522726912,5.39733411668674e-06
N Male,0.015334943110928015,1.8795263866940188e-05
Houses/Gardens,0.014862115425246882,3.371555638642763e-05
Arousal,0.013653748889611562,0.00013918605595920867
N Exp.BreastM,0.013615254335412047,0.00014535811371421797
%Lum,0.012957789873261258,0.00029987267234533323
VividColor,0.010775128965101896,0.0026438080474081205
Content,0.010775128965101896,0.0026438080474081205
Forest/field/etc,0.00981891318089561,0.006151976154053817
Animal,0.00975479527380962,0.006495122800820804
IndustrialCostr.,0.009743680126903272,0.006556329954323987
Object,0.009055441691176853,0.011519083668570448
N Exp.Genit.F,0.008752761873590708,0.014602470738171872
Mountains/hills/etc,0.008654057344724736,0.01575464006514788
ManMadeElements,0.008196159897738444,0.022208138949742162
Sports,0.0079555517042753,0.026442166300570266
N FaceM,0.007918957595978443,0.02714369730084876
Days,0.007489006930060561,0.03666432396512014
Vehicle,0.006532241698712183,0.06837423677334495
N Exp.Buttocks,0.0052965458072939476,0.13947179206367505
N Cov.Buttocks,0.005292166937989804,0.13979921595131534
Transport.,0.001950876241588483,0.586234886247598
Cap. Sent. Score,0.0008547866361325857,0.8115027666407979
N Exp.BreastF,0.0006260134603778682,0.8613472278977954
N Cov.Belly,-0.0018043398845347493,0.6146717630047499
Appliance,-0.004394943122469903,0.2201208378964031
N Exp.Genit.M,-0.00480141232430475,0.18037065317652295
N Exp.Anus,-0.005010624841567563,0.16211709872211294
Outdoor,-0.008666595385008349,0.015603983318750497
Repetition,-0.008784080765299651,0.014252747722810159
M age std,-0.00925171453267786,0.009842659247488708
IsSponsored,-0.010372840664625174,0.0038021279388317244
Cap. Sent. Magn.,-0.011501038467846432,0.0013323142185128237
Workplace,-0.018143065401336284,4.1405325994816036e-07
F age std,-0.01820295493838254,3.7923877152739976e-07
Electronic,-0.01938375841086416,6.350910381772154e-08
Accessory,-0.01960068349927809,4.5215112827588824e-08
Cultural,-0.019825770532000672,3.166234868430836e-08
M age avg,-0.02085184199495292,5.943046782339436e-09
Home/Hotel,-0.02346551740992045,5.837366963363689e-11
Sports/Leisure,-0.02457311437951037,7.032149275314978e-12
%Red,-0.025890441668062668,5.021583714676349e-13
%Blue,-0.025980067853987685,4.175960443683475e-13
%Green,-0.026767658039790723,8.044700850162404e-14
Indoor,-0.03178337072928272,7.322043631590776e-19
Symmetry,-0.03219757487744138,2.5746814589415684e-19
Pleasure,-0.0357273771489295,2.037163536248869e-23
Kitchen,-0.03603457949723683,8.555692879080395e-24
Furniture,-0.036220211135931824,5.0471692726571164e-24
Food,-0.03688683752038601,7.419630993447207e-25
Shopping/dining,-0.045535399379879465,5.1312936249670245e-37
Caption Len.,-0.05905152954480242,4.334830357101302e-61
Indoor,-0.0854320410813825,5.0102229762553486e-126
N Hashstags,-0.0956594429004493,1.2149993822868504e-157
