feature,corr,p-value
ImgPopScore,0.2362705818761659,0.0
Person,0.11984045905904911,5.909398242706718e-206
Age min,0.1060703906957737,1.5326539526542956e-161
Location,0.1009223068375124,2.3490431706950907e-146
Age std,0.09517946329834677,2.53680845792038e-130
Age avg,0.09517946329834677,2.53680845792038e-130
F age avg,0.09470460460714399,4.868038772425171e-129
N FaceF,0.08987558372513889,2.3220528376141536e-116
Age max,0.08530795191243494,5.49743833036871e-105
N Female,0.0792653506932777,7.362545459655184e-91
N Mentions,0.07059729946593209,2.0312877697948607e-72
N Exp.Belly,0.06568562129170019,6.399874055352523e-63
N Cov.BreastF,0.05983718517536591,1.6668412366313396e-52
Light,0.05826142393044337,7.283439903181853e-50
N Exp.Armpits,0.056708538482827496,2.4868718302514563e-47
%Warm,0.055460749706177835,2.4087998128841517e-45
OutdoorManmade,0.05358360813253288,1.9354252938455114e-42
N Cov.Genit.F,0.052063811444789,3.6796706282991355e-40
N Emojis,0.04732816137044464,1.7754722910740975e-33
N Male,0.04687176098410555,7.245199125851826e-33
SportsLeisureParks,0.04571992406239192,2.3731243713133607e-31
%Cold,0.044476748602707866,9.308230128757998e-30
Dominance,0.0440594388311175,3.1192328389222803e-29
ImgSentScore,0.03538215010237911,2.0289340452855419e-19
Arousal,0.0347428719384291,8.848482353475926e-19
N Exp.BreastM,0.031142826091634213,2.1669384960141236e-15
Aest_score,0.030186717854779235,1.497045851060024e-14
N Cov.Feet,0.027942026232057313,1.1119555018395023e-12
ColorHarmony,0.025242054535206452,1.292388021072359e-10
BalancingElement,0.024941717769513143,2.1314525335259902e-10
N FaceM,0.022316997467773814,1.3236715822242778e-08
Commercial/Building,0.02026316212490244,2.471310560121268e-07
N Exp.Buttocks,0.01883664219040315,1.6142721127387218e-06
Water/Ice/Snow,0.018339600518450783,3.012651746202233e-06
OutdoorNatural,0.01716167282969622,1.2426658338968885e-05
N Exp.BreastF,0.016806859808327523,1.8722612578515594e-05
Object,0.015889317763040204,5.211448669854676e-05
CulturalHist.,0.013016787542698477,0.0009183092400628034
Transport.,0.012770154395466457,0.0011474810058335239
RuleOfThirds,0.010959032444636276,0.005263760399008201
Weigh. Emoji Sent,0.009567537942188113,0.01484626721198948
N Exp.Feet,0.0088517809474039,0.024205445268684487
Mountains/hills/etc,0.00873949669308141,0.02606368932621565
IndustrialCostr.,0.00859849423241743,0.028570835132550834
Transport.,0.007285654742155574,0.06358599697446161
N Cov.Belly,0.006968905041669148,0.0759938850045352
DoF,0.006894981090831562,0.07915741941081722
Days,0.00615403362963118,0.11713044913627654
N Cov.Buttocks,0.004607497297809572,0.24073545807536154
Forest/field/etc,0.0035694543813300896,0.3634322441913165
Houses/Gardens,0.003566138959579856,0.3638780776418672
N Exp.Genit.F,0.0016486688424191022,0.6746473641942342
Vehicle,0.0012045252608764232,0.7590778420543368
Sports,0.0009539889651892755,0.8080818814502677
Content,0.0008626870439592254,0.8261404053596352
VividColor,0.0008626870439592254,0.8261404053596352
N Exp.Genit.M,-0.00016743365210458982,0.9659954042179417
M age std,-0.0005423871792720762,0.8901608568395041
ManMadeElements,-0.004634861809470733,0.23795326070300474
Appliance,-0.004829049105233187,0.2188611068616335
M age avg,-0.004925847971528742,0.20976598488178952
Electronic,-0.004938473125728246,0.20860021287767638
Outdoor,-0.005012272069112555,0.20187967745279398
Animal,-0.005126953711272676,0.19175158594487182
MotionBlur,-0.005699014614746378,0.14675918800991933
N Exp.Anus,-0.006603108814609469,0.09270893347125987
F age std,-0.008698439050545168,0.026773318545841612
Home/Hotel,-0.013725504579965459,0.0004742342957313545
%Lum,-0.015179770640796578,0.00011097960779716337
IsSponsored,-0.01674880615610578,2.000638885065373e-05
Accessory,-0.017260105876444484,1.1075592423118496e-05
Sports/Leisure,-0.018975274442716,1.3526972385155173e-06
Workplace,-0.0222728440062897,1.4135903262479998e-08
Shopping/dining,-0.023204552217834188,3.4407665103083534e-09
Cultural,-0.02484267589860489,2.510631698240316e-10
Furniture,-0.026639951828771602,1.1675419942561917e-11
Indoor,-0.028369646351398374,5.017266862068974e-13
Symmetry,-0.030012737815615025,2.114669337751904e-14
Food,-0.03038071932907212,1.0161850336222906e-14
Kitchen,-0.030604214289926462,6.483848302749004e-15
Repetition,-0.03430555170023122,2.3869106221124274e-18
%Red,-0.04015622137483032,1.4770370097874422e-24
%Green,-0.04498527588387524,2.1002542588744892e-30
Cap. Sent. Score,-0.0460839165860384,7.952694961459954e-32
Pleasure,-0.049080973340902,7.067062152879814e-36
%Blue,-0.05371898368251052,1.2039476193308463e-42
Indoor,-0.060683771345934376,5.946287046032524e-54
Cap. Sent. Magn.,-0.0652977150986609,3.3657498477748143e-62
Caption Len.,-0.10897122368659495,1.947107459692075e-170
N Hashstags,-0.15046879403636176,0.0
