feature,corr,p-value
N Mentions,0.2697311751994639,0.0
Location,0.23556979495340524,0.0
ImgPopScore,0.2028603323948459,0.0
%Cold,0.11979400494370449,3.666437052793673e-147
N Female,0.10907932691818423,3.307041735409911e-122
N Emojis,0.10700651515638986,1.179339247632046e-117
Cap. Sent. Magn.,0.10286931390460469,7.789814250823874e-109
OutdoorManmade,0.09785521390517607,1.2791375837832489e-98
Age min,0.09060396599327525,9.220718419827919e-85
ColorHarmony,0.08535325737720054,2.1193856792571173e-75
Weigh. Emoji Sent,0.08493677414535414,1.1081849137408811e-74
Age std,0.08270002148975704,6.953971437959247e-71
Age avg,0.08270002148975704,6.953971437959247e-71
F age avg,0.08222700271951779,4.287998331745916e-70
Person,0.08034597121519131,5.3547662874379075e-67
N FaceF,0.07971727508311578,5.592367833537836e-66
Age max,0.07378357430245058,9.277111025741924e-57
N Cov.Feet,0.05986129734049069,6.271343395080102e-38
CulturalHist.,0.050103797958554436,4.618898941432937e-27
Light,0.04518369473333136,2.629784394313306e-22
Commercial/Building,0.039453605665049685,2.2324991560807958e-17
Repetition,0.0391840349245931,3.6691228046449076e-17
Houses/Gardens,0.037512247791147244,7.420742588807922e-16
Transport.,0.036897076584077024,2.1727320190429553e-15
BalancingElement,0.034822713037777724,7.160142731123379e-14
SportsLeisureParks,0.03172827962021113,9.140754300450385e-12
Cap. Sent. Score,0.031282673494431146,1.7728903709148036e-11
OutdoorNatural,0.027213039436380863,4.958377361203441e-09
%Lum,0.027014988817592213,6.398950804953908e-09
Aest_score,0.025037701402341045,7.411787468712976e-08
RuleOfThirds,0.023502569903843088,4.3977971526384675e-07
ImgSentScore,0.022266056430702792,1.7092264485179421e-06
N Cov.Genit.F,0.01987565431466545,1.9437146811921717e-05
Days,0.01987389989552022,1.9470045787623247e-05
N Exp.Feet,0.019106164580070764,4.0280165687284246e-05
Forest/field/etc,0.018346674221783578,8.059424194122383e-05
%Warm,0.014907802243562116,0.001357516189379773
N Exp.Belly,0.013797971963763738,0.0030266326322782714
Mountains/hills/etc,0.013643590886191033,0.0033695788284624517
Water/Ice/Snow,0.012945929492486696,0.005403996554511838
Animal,0.01195066139495735,0.010227996015462405
Appliance,0.009674279256663079,0.037632317867390415
%Green,0.009482647054789455,0.041584264238497655
%Blue,0.008689798766868054,0.06186239616460539
IndustrialCostr.,0.006590234597851524,0.15674301839075885
%Red,0.006004717076308407,0.19694913377775256
MotionBlur,0.0054451115925339905,0.24198379922366423
ManMadeElements,0.005221870312852931,0.26183181452146503
N Exp.Armpits,0.004544557993564288,0.32880189157559014
N Exp.Anus,-0.0009511998771330688,0.8380472969858769
Vehicle,-0.0012345447494720048,0.7907965049069705
N Cov.Buttocks,-0.0013663752081081813,0.7690605689231632
N Cov.Belly,-0.00186493948127087,0.6886155513938754
Outdoor,-0.003290423409164092,0.4795409401483304
Sports,-0.003359474950464,0.47036895569897896
N Exp.Genit.M,-0.003662546979748441,0.43128014425070305
IsSponsored,-0.003949977856171848,0.3960114303030775
N Exp.Genit.F,-0.0040748869538618,0.38124389630773203
M age std,-0.004366698236757832,0.34808445476450556
Transport.,-0.004455810783520994,0.33833518064495827
N Exp.BreastM,-0.004584821618274249,0.32453473385275744
M age avg,-0.00683874924602892,0.14169367965181723
Caption Len.,-0.007065796465144243,0.12893821788926366
Furniture,-0.00784676258211138,0.09177237985879709
N Cov.BreastF,-0.009312370558319998,0.045385304086328626
Home/Hotel,-0.011026513932431667,0.017815725805098454
F age std,-0.012250900409517694,0.008474749750474835
Dominance,-0.014061710587087727,0.0025135966758406615
N Exp.BreastF,-0.015429638185791935,0.0009141875037158518
Pleasure,-0.01618451437487064,0.0005053173569486272
Kitchen,-0.01761694500338246,0.00015322385130776513
Symmetry,-0.018125244471918336,9.81849960927924e-05
DoF,-0.020420962825259088,1.1415055480374797e-05
Accessory,-0.023125003092510303,6.705104736527904e-07
Cultural,-0.023592362120882792,3.974350272529574e-07
N Exp.Buttocks,-0.024330097023497973,1.7063834058361434e-07
Arousal,-0.024528738109540336,1.3533091025213977e-07
Food,-0.025919767569709797,2.539797097718977e-08
Electronic,-0.029146221250217312,3.7472332595602593e-10
N FaceM,-0.032773191316033665,1.8662960121482677e-12
N Male,-0.032773529819882095,1.8653206820885513e-12
Shopping/dining,-0.03421914002226171,1.9079873406600715e-13
Indoor,-0.03431371733627607,1.6381504002906965e-13
Content,-0.035084236538045876,4.6585367617656646e-14
VividColor,-0.035084236538045876,4.6585367617656646e-14
Object,-0.039716266031149014,1.3713914181389045e-17
Workplace,-0.05037813722653829,2.4272759697858756e-27
Sports/Leisure,-0.05203418407279583,4.6383209083121785e-29
Indoor,-0.10733917145111968,2.2237006260494837e-118
N Hashstags,-0.13864854560758796,6.459011706499689e-197
