feature,corr,p-value
ImgPopScore,0.2074640062083877,9.445718970829463e-05
Age min,0.20139837269780606,0.00015197631832063492
F age avg,0.20009255086169628,0.00016805667457739365
Age avg,0.19802203100270224,0.000196855641598766
Age std,0.19802203100270224,0.000196855641598766
Person,0.19541355229612664,0.00023971808738641024
Age max,0.19104733523381112,0.0003314777588684434
N Female,0.17582685117174196,0.0009714505800194937
Arousal,0.1636039608768446,0.0021687536219740155
Sports/Leisure,0.15425396131475635,0.003868725099679479
Dominance,0.12017018660231553,0.024764804176786587
%Cold,0.10981688975399104,0.04032600855290567
Location,0.10324893053770609,0.053969357118157604
%Lum,0.09980559496370217,0.0625346093604693
SportsLeisureParks,0.08007922735520513,0.13542801213273029
Indoor,0.06323988008638028,0.23865318414049763
Electronic,0.05477331646701556,0.30756479880935444
F age std,0.05404170824188088,0.31408074689817483
ImgSentScore,0.050373946990530286,0.34809916472106106
VividColor,0.04863103473489801,0.3650526201460259
Content,0.04863103473489801,0.3650526201460259
Days,0.047586672288917796,0.3754530441587851
Indoor,0.04408323661977993,0.41165339869639217
M age avg,0.043098558385950864,0.4221874697642449
RuleOfThirds,0.042997622762551105,0.42327609460367543
OutdoorManmade,0.03211441064891444,0.5498742306328518
Object,0.02821406259749139,0.5993775595060005
Commercial/Building,0.026326662647679723,0.6240325996115655
N Male,0.020971304428803544,0.6962306512086383
Transport.,0.020333521789672886,0.7050310502839974
%Warm,0.012433387526096445,0.8169648442614121
Light,0.011389341586246198,0.8320961075507569
Outdoor,0.009045376451372402,0.8662852950862245
Shopping/dining,0.0003744347864840264,0.9944388501768964
Repetition,-0.0006825982886489852,0.9898621592031613
DoF,-0.0022071524895790283,0.9672280255000936
Symmetry,-0.013716612178314947,0.7984603785114675
Workplace,-0.015745392743822344,0.7694372302177744
Transport.,-0.016812756168423145,0.7542931877249337
Sports,-0.018866364560860917,0.725423616352751
Animal,-0.029080580113178777,0.5882073950572948
CulturalHist.,-0.03008481599711125,0.5753831143260637
Houses/Gardens,-0.032064458587007176,0.5504953318641074
Home/Hotel,-0.037292418246336036,0.4874175603198827
Pleasure,-0.05124201553378737,0.3398444153565242
Kitchen,-0.05135773932790436,0.33875347635261
Aest_score,-0.054169453190234834,0.3129365402575633
Forest/field/etc,-0.05806370081878537,0.2793677226424823
Accessory,-0.05905823004797977,0.2712008873747867
Furniture,-0.059507277977179994,0.2675673161127443
Water/Ice/Snow,-0.060649038205931115,0.2584790785983833
Mountains/hills/etc,-0.06325076095361294,0.2385722384913397
Vehicle,-0.06623798764817682,0.21707462326426052
ColorHarmony,-0.07616052295274764,0.15567920208493916
Appliance,-0.0787479832237127,0.14206710291907937
Food,-0.08050694829859584,0.13334635319234459
ManMadeElements,-0.08251477623702395,0.12390252214638567
IndustrialCostr.,-0.083004630965535,0.12167928859956693
N Mentions,-0.09452513492623901,0.07781779955481727
BalancingElement,-0.10931594222704294,0.041252407773407
%Blue,-0.11211620431316931,0.03629613039564379
%Red,-0.11468738099348981,0.03219969806102926
OutdoorNatural,-0.12060429734530818,0.02424517786077043
N Hashstags,-0.12403372242216905,0.02046100196526763
%Green,-0.13130037796979424,0.014099062083709965
Cap. Sent. Score,-0.132334013036974,0.013352558857982443
MotionBlur,-0.13680167414433814,0.010511363991898065
Caption Len.,-0.13967652754152982,0.008979551367684725
Cap. Sent. Magn.,-0.14507228473296327,0.006631037057071517
IsSponsored,-0.14626504138043783,0.006192881204869223
Weigh. Emoji Sent,-0.15081634590329676,0.004749629241214744
Cultural,-0.1525538295673915,0.004284021809185209
N Emojis,-0.20660813600263175,0.00010109811179751793
