feature,corr,p-value
ImgPopScore,0.3367552780742526,1.9102205678783435e-20
OutdoorManmade,0.15232548574033444,4.263109166578684e-05
Transport.,0.1133987792113879,0.0023748284699190883
Location,0.11179262626327324,0.002739639198296988
%Cold,0.0903046750907536,0.015644432317602375
Age min,0.08711458590712201,0.01973289962052317
%Warm,0.08346747156003564,0.025520377779690274
SportsLeisureParks,0.07675786480872261,0.040039429996619476
BalancingElement,0.07408418199504088,0.04752204518722191
%Red,0.07404374183545165,0.047643667474065864
ImgSentScore,0.07358687118196618,0.0490359189575429
%Lum,0.07028147063738391,0.06015676145022389
Transport.,0.0646153285979689,0.08402887984979872
Houses/Gardens,0.05490705450819403,0.142171339266254
RuleOfThirds,0.0536008161654611,0.15191950980194827
CulturalHist.,0.046145137990902314,0.21747901820449006
Object,0.045243286708752,0.2266122066568788
Age std,0.04365339481375074,0.24337174595818398
Age avg,0.04365339481375074,0.24337174595818398
ColorHarmony,0.04359284108483733,0.24402680545092625
Commercial/Building,0.040242793926745436,0.28220553654116187
F age avg,0.039336487646681094,0.29319408546154224
Sports,0.03886687122966672,0.29899921462280754
N Female,0.03253322815761812,0.3847164449362035
%Green,0.029309831138469876,0.43358273694127214
Kitchen,0.028706562328080904,0.44311051817718994
Home/Hotel,0.02236758891754593,0.550143631229724
IndustrialCostr.,0.02162185962953433,0.5635219244356193
Mountains/hills/etc,0.020892956392329763,0.5767477352044093
N Mentions,0.01889446933370339,0.6137391857903514
Water/Ice/Snow,0.014007954529458924,0.7082623882764525
Appliance,0.011254765026137087,0.763688779590142
N Male,0.01028390361393704,0.7835429089873283
Person,0.009821279235337354,0.7930541751646425
Light,0.009327374060083443,0.8032425391256811
Aest_score,0.007736215606269878,0.8362844364048962
N Hashstags,0.004758967834312212,0.8988457959491788
OutdoorNatural,-0.0032564657119641344,0.9306833817617043
Indoor,-0.003860257963406589,0.9178729925777908
Workplace,-0.004634909961529374,0.9014691103232833
Age max,-0.0056385174416323704,0.880280195122616
Cap. Sent. Score,-0.0075378623737682214,0.840424987754272
Vehicle,-0.00848575459626932,0.8206798350237385
%Blue,-0.008811124600881647,0.8139275798461166
Animal,-0.011139558456361684,0.7660369449353421
Pleasure,-0.01296450382155484,0.729106061773104
Furniture,-0.014379243506192909,0.7008969724107941
Days,-0.014488894086925667,0.6987271060613975
MotionBlur,-0.016384704982416433,0.6616123362358344
Electronic,-0.019179358214731178,0.608402510278278
ManMadeElements,-0.020670120750345237,0.5808199962808529
Food,-0.02440497156015039,0.5144084916414635
Repetition,-0.02648635934946132,0.47918591664094523
Shopping/dining,-0.02704825807966209,0.46990741282829607
Forest/field/etc,-0.029227363006202555,0.4348781870356153
Dominance,-0.034374724109108946,0.3583732354854765
Cultural,-0.03620154444907543,0.33338814075987355
DoF,-0.03674549168638601,0.32617078856577075
M age std,-0.041324401535920714,0.26946069818817503
Accessory,-0.04986795024087808,0.1825733807029783
Weigh. Emoji Sent,-0.060870347507895356,0.1036430508712442
Symmetry,-0.06367173993427326,0.0886634381511832
Arousal,-0.06819273400831896,0.06820526393918203
F age std,-0.07405936920115704,0.04759663782910969
M age avg,-0.07551338424761307,0.04338808121418759
Caption Len.,-0.07680253469784916,0.03992341743880985
N Emojis,-0.09518432155568993,0.010825035892205067
Cap. Sent. Magn.,-0.11258069814061439,0.002554697020021704
Sports/Leisure,-0.11989324831339744,0.0013084506620974585
Content,-0.12366509264434142,0.000913134745138866
VividColor,-0.12366509264434142,0.000913134745138866
Indoor,-0.12465710706453142,0.0008293285284101351
IsSponsored,-0.1474053888050034,7.52471592801429e-05
