feature,corr,p-value
Location,0.2603353689739273,1.9855792192606903e-91
N Mentions,0.13839820433482833,1.8342748028084036e-26
ImgPopScore,0.10864143991689446,7.371842756662966e-17
Age min,0.09569610240423454,2.102056847255998e-13
%Cold,0.09135841362104971,2.4191300085972795e-12
Age avg,0.08263200817767488,2.3565300379604457e-10
Age std,0.08263200817767488,2.3565300379604457e-10
F age avg,0.08131511168679743,4.524005758129789e-10
N Male,0.08003348035743175,8.45202219466931e-10
Age max,0.065965016003364,4.304930634435764e-07
Object,0.05528005221230601,2.2877469743364965e-05
Home/Hotel,0.051507465262053576,7.967355374426902e-05
RuleOfThirds,0.04410825299717026,0.0007301115606161584
DoF,0.04191789545616391,0.00132681612719973
Forest/field/etc,0.03965115602360082,0.0023943280359951745
CulturalHist.,0.0390875547008927,0.0027607477957785898
Animal,0.03687201233286841,0.004751492759671496
Person,0.03634782115907763,0.005381735227705994
Vehicle,0.031041871574252367,0.017466092220296
Light,0.02853659923231751,0.028900098619682586
Dominance,0.027875925184195106,0.032822853394412176
ManMadeElements,0.026855524569201997,0.03977378303934472
OutdoorNatural,0.024524607991363977,0.060439103529634976
Aest_score,0.023943287895163267,0.06679387096721498
Days,0.018590095318265606,0.1546938659466409
BalancingElement,0.012458130188750919,0.3402486238770682
IndustrialCostr.,0.011129904200344728,0.3942189244227601
Houses/Gardens,0.010434323590631154,0.42444015437084404
OutdoorManmade,0.008337866189417474,0.5233091118220298
Commercial/Building,0.00629176749646803,0.6300737645172858
Mountains/hills/etc,0.004361948498787769,0.7384570733518196
Weigh. Emoji Sent,0.004347561451506499,0.7392882986922977
ColorHarmony,0.0041012695838803835,0.7535645397789275
Cultural,-0.0018608763167933043,0.8867282724363716
Symmetry,-0.0020064395343160632,0.8779347363330453
%Lum,-0.0023722012067505867,0.8559076196545917
Appliance,-0.0026998187651349798,0.8362719575378255
IsSponsored,-0.0038527333149908994,0.7680567494265824
Furniture,-0.004447460498406905,0.7335228713279529
N Female,-0.004730820324150602,0.7172519829576749
MotionBlur,-0.005144752409780068,0.6937140275205705
Arousal,-0.0060828099080754,0.6414822163978788
Sports/Leisure,-0.007139379366134308,0.5847170059461293
Transport.,-0.007419669674513434,0.5700593959504805
Transport.,-0.007646165096078566,0.5583444067199927
Cap. Sent. Score,-0.009241316862769,0.47930947813950897
M age std,-0.009348309622499882,0.4742358037623914
Water/Ice/Snow,-0.009889128701373817,0.44904667935344833
Electronic,-0.01031407261541131,0.4297987141510409
SportsLeisureParks,-0.010399268137136862,0.425998231205755
Workplace,-0.012240247603798961,0.34876170927898553
Accessory,-0.013635542794428645,0.2965716954299527
%Blue,-0.017728035492511424,0.1747363640871394
M age avg,-0.01866767595208796,0.15297950659722376
Kitchen,-0.022412605961237456,0.08619104196412604
Outdoor,-0.023256606460688903,0.07499860423005761
Indoor,-0.025234540508784757,0.053366250886736785
ImgSentScore,-0.027737349856130952,0.033701114224754414
%Green,-0.031255590975908895,0.0167058690359513
Sports,-0.03526383644424294,0.006929910766942821
F age std,-0.039213779145342374,0.002674496092646017
%Red,-0.039787042453834874,0.002312916584043812
Shopping/dining,-0.041993148454738415,0.001300435620380631
Indoor,-0.042830189924117815,0.0010379107563395988
Cap. Sent. Magn.,-0.04536935157315106,0.000511436875676926
%Warm,-0.04734889358108476,0.00028732524403197557
N Emojis,-0.04907531788232948,0.00017069518561096345
Pleasure,-0.05537706452496707,2.213156413180855e-05
Food,-0.05976555936799686,4.672271436378054e-06
Repetition,-0.06452649199924107,7.634484485166798e-07
Content,-0.07597899737833093,5.73138120464348e-09
VividColor,-0.07597899737833093,5.73138120464348e-09
Caption Len.,-0.10740966662892365,1.6407114060577237e-16
N Hashstags,-0.20587120573335713,3.934534844670562e-57
