feature,corr,p-value
N Mentions,0.2520256062267707,4.4996408689719515e-85
ImgPopScore,0.23843568788155284,4.39835453771392e-76
Location,0.22196058449171885,6.321769765818818e-66
Person,0.11784291839466902,1.8347478146543246e-19
N Emojis,0.10860943055752964,9.461160505330469e-17
Light,0.09981752744449982,2.2577330929785303e-14
N Female,0.09724063866379228,1.0302158176394589e-13
ImgSentScore,0.09650307756932971,1.5793952771694e-13
Aest_score,0.086990224422987,2.9338341113089843e-11
Age min,0.08239751755875266,3.024093523285054e-10
ColorHarmony,0.0796192587843144,1.1684728995995285e-09
BalancingElement,0.07732154109386168,3.45480172556517e-09
Object,0.07665893687033114,4.695982540913963e-09
F age avg,0.0756588925517457,7.4272798648823945e-09
Age std,0.07520646298412877,9.121830234406807e-09
Age avg,0.07520646298412877,9.121830234406807e-09
RuleOfThirds,0.0630954376053421,1.4434822938852569e-06
Age max,0.0608552494207275,3.360027429465209e-06
OutdoorManmade,0.06001226479197996,4.583698634087495e-06
Weigh. Emoji Sent,0.05870325217290511,7.3652337163766935e-06
%Warm,0.05350947954710328,4.395667520724058e-05
DoF,0.05031386042527148,0.00012237555250003697
MotionBlur,0.04818551349366003,0.0002344888075554603
SportsLeisureParks,0.046443061933942875,0.0003919271432825064
Houses/Gardens,0.03937381728420759,0.0026528536780365585
Content,0.0384268538887306,0.0033569921046150307
VividColor,0.0384268538887306,0.0033569921046150307
Home/Hotel,0.036098436005923065,0.0058662787103145545
OutdoorNatural,0.03556008201061147,0.0066466473109228
ManMadeElements,0.033749371109876816,0.01000175227960847
%Cold,0.03238282125224781,0.013457876309150971
Forest/field/etc,0.02822822047885349,0.03122391698339447
Transport.,0.025568019924775656,0.051041936637921156
IndustrialCostr.,0.021090773584689148,0.10753354576444162
Vehicle,0.021082147216482355,0.10767750097204784
Cap. Sent. Magn.,0.01523994068216525,0.24488792115799823
Transport.,0.014837559059256255,0.2575715447987117
Mountains/hills/etc,0.014837262478801669,0.2575810584248845
F age std,0.007952156191053392,0.5440173591242958
%Lum,0.0063276319442723775,0.6292411078413418
Outdoor,0.006285762527246346,0.631511424744047
Animal,0.0057635188541341935,0.6601160368195997
Water/Ice/Snow,0.0057114908417064255,0.6629940378816167
Commercial/Building,0.003992239519095547,0.7606676826148682
Dominance,0.003541258490924515,0.787010653560055
Appliance,0.002765209790493393,0.832900952117986
%Green,0.0017792065785744214,0.8920178485549122
Arousal,0.0013568319178948337,0.9175465995932103
M age std,-0.00039574559829957137,0.9759116177654124
Accessory,-0.0015249904962059027,0.9073712422857592
Sports,-0.0020525207544700858,0.8755562065005779
Cultural,-0.003009841939445545,0.8183655279598306
Cap. Sent. Score,-0.003998350970686079,0.7603125189633542
%Blue,-0.004834411162932516,0.7122308061119114
M age avg,-0.005651396579553469,0.6663244325375781
%Red,-0.01118048830281337,0.3936127239794939
CulturalHist.,-0.0120942139290209,0.3561076813957106
Pleasure,-0.01429778759031567,0.2752908567791688
N Male,-0.014508386426918436,0.2682809224995782
Furniture,-0.018369925237196622,0.16099866875689794
IsSponsored,-0.020163451380921828,0.12390133268336441
Indoor,-0.022758125051860156,0.08245046750134685
Symmetry,-0.023713707929499592,0.07036081373601974
Electronic,-0.024342446964482407,0.06322958641768306
Days,-0.024845015796601016,0.057968453689619275
Workplace,-0.02734732201755402,0.03689202973673679
Shopping/dining,-0.03433996732116794,0.00877057802097852
Food,-0.04007653673642346,0.0022206325298846676
Repetition,-0.0411229068443424,0.0016955186698741438
Kitchen,-0.048006991927270176,0.0002473513242675515
Sports/Leisure,-0.06048899719334696,3.847301741899634e-06
Caption Len.,-0.07424607207883979,1.40553377999557e-08
Indoor,-0.0767037872613112,4.599792183664797e-09
N Hashstags,-0.1642481610075401,1.6865603918137015e-36
