feature,corr,p-value
Location,0.3514474972675612,2.810597863569058e-138
Cap. Sent. Magn.,0.17097965178737032,1.604015340003264e-32
%Green,0.16708402585087562,4.1143862792467925e-31
N Mentions,0.15489038631550772,6.408329088214395e-27
%Blue,0.14414369679630915,1.6988047138247008e-23
%Red,0.14341512447235097,2.838563984370331e-23
Pleasure,0.1356127542798932,5.8681080747886865e-21
ColorHarmony,0.12492867276537023,5.320940666232124e-18
ImgPopScore,0.12438775308847957,7.399653826978659e-18
OutdoorNatural,0.10909390654992294,4.5829612745886154e-14
N Emojis,0.10396749734371903,6.631111429683683e-13
Caption Len.,0.10217101619082702,1.6413383400293489e-12
%Lum,0.10132841511876546,2.497386934529997e-12
Days,0.09034358285312917,4.3504561788742227e-10
Forest/field/etc,0.08541931369557543,3.6470767789861164e-09
SportsLeisureParks,0.08375622738259116,7.286529207429432e-09
%Warm,0.081562974539735,1.7792032410409554e-08
OutdoorManmade,0.08059409626692865,2.6203139207484897e-08
Aest_score,0.0764700458979351,1.2957051318857116e-07
Cap. Sent. Score,0.06577520245727879,5.642741441779143e-06
Water/Ice/Snow,0.05448750275129654,0.00017054433387714393
MotionBlur,0.05236246699816472,0.00030353807032665526
ImgSentScore,0.051165995809027955,0.0004161684320503374
BalancingElement,0.049418283111636256,0.0006522559955913766
N Hashstags,0.048634664187399465,0.000794281013070788
Weigh. Emoji Sent,0.043710256937850626,0.0025718686986282192
Light,0.043160870583307524,0.002912477697295012
Animal,0.03783873727896665,0.009068110203019135
ManMadeElements,0.03431498293832748,0.017966096144240523
RuleOfThirds,0.033309862538048976,0.021620750699841335
Person,0.03040979753841469,0.03600357531299315
Repetition,0.026142390899210236,0.07146330450668377
IndustrialCostr.,0.025298960439722143,0.08109834304963137
Mountains/hills/etc,0.024986256741680417,0.08492814206145737
Object,0.02140017677973323,0.14008825903640046
Sports,0.0212570594236262,0.1427592555461401
Transport.,0.017410160899420258,0.23001538444178454
Content,0.01625412810138554,0.26245507463622453
VividColor,0.01625412810138554,0.26245507463622453
Age min,0.012911409558994105,0.3733967633586728
Outdoor,0.012176884952744497,0.4011967406801391
Houses/Gardens,0.010914427675654705,0.4517832796158441
Commercial/Building,0.007440630998540951,0.6079848026200537
DoF,0.00645565480553235,0.6562857808739067
%Cold,0.00639730370417702,0.6591954366659594
Accessory,0.0026456298469734866,0.855280007445195
Indoor,0.002602682046561175,0.8576040154381472
CulturalHist.,0.0012425021799026728,0.9317397861572313
Symmetry,0.0004188740493769777,0.9769630888738767
Home/Hotel,-0.001512004815542646,0.9169826848334102
Vehicle,-0.004850475640912115,0.7380883836341605
Kitchen,-0.005187744700651393,0.7206149000272974
Workplace,-0.006038506443923684,0.6771988059804754
Transport.,-0.006685243033526102,0.6448883147893031
Age avg,-0.007960010780634855,0.5831708994766379
Age std,-0.007960010780634855,0.5831708994766379
Furniture,-0.010056545080270192,0.48812165394801876
F age avg,-0.012711088502807397,0.38085760115139744
Appliance,-0.015226294404766878,0.29383909604598357
Food,-0.018524912378624567,0.20153623284934644
N Female,-0.03266391720043507,0.024297102166499777
Shopping/dining,-0.037087155408344875,0.010539476602361614
Electronic,-0.0386900940655706,0.0076251735433073625
Age max,-0.042962336417099345,0.0030453596695008537
N Male,-0.06020277124933963,3.266425523364633e-05
Cultural,-0.06555012271991754,6.074347940237017e-06
Sports/Leisure,-0.072146943687602,6.352385426160332e-07
F age std,-0.07420791995247189,3.0097125981008626e-07
Arousal,-0.08893835043121434,8.075179674363895e-10
M age avg,-0.08988087496550853,5.338689723740671e-10
M age std,-0.10923158869955554,4.258117542742144e-14
Indoor,-0.145239590622647,7.809161100249098e-24
Dominance,-0.1484243116561741,7.88548903897106e-25
