feature,corr,p-value
Caption Len.,0.48643284868900977,1.6026990041669517e-19
N Hashstags,0.40520194027553746,1.7604496535467142e-13
ImgPopScore,0.2708545689114251,1.5796508063489223e-06
Cap. Sent. Magn.,0.20588193389718207,0.0002949874850175084
Aest_score,0.17773975934348077,0.0018320140866493605
Shopping/dining,0.17514144899775694,0.002141180928460301
DoF,0.1598606382318103,0.005135630360206666
N Emojis,0.15645206201611467,0.006181802476946288
Object,0.14760251231971638,0.009841865011706755
Light,0.1453251422179767,0.011051157352767984
F age std,0.14488601317314875,0.011298889342982827
N Mentions,0.1399551763187424,0.014436000518927954
ImgSentScore,0.13393965130254956,0.019278358680052614
Cap. Sent. Score,0.12969660316438206,0.02349247168485089
Food,0.12957351425504182,0.02362575470492193
Arousal,0.12691754604973204,0.026664901782931787
Dominance,0.11732273140714407,0.04059756212076702
Location,0.11540886417718314,0.0440108517847013
ColorHarmony,0.0952175016397799,0.09694516618006824
N Male,0.08056597148578916,0.16045906381576558
IsSponsored,0.07686704226000853,0.18060494722151524
Repetition,0.07561528538566586,0.18782922153079115
Indoor,0.07098413752562313,0.21640122435641182
Commercial/Building,0.06642285393731795,0.24746045535886851
MotionBlur,0.053190728953464946,0.3545616927368733
Sports,0.052764664602209244,0.3584349355005573
Content,0.04707826675449726,0.4126352613118913
VividColor,0.04707826675449726,0.4126352613118913
Cultural,0.033060017958298826,0.5651865402643534
Person,0.03207794331206331,0.5768030561979551
SportsLeisureParks,0.029759001642886307,0.6046681030796912
RuleOfThirds,0.02898217269042777,0.6141352463990015
Symmetry,0.025760991393213688,0.6540641197748491
BalancingElement,0.024421934147024114,0.6709658444471356
%Warm,0.017268617642554496,0.7638968457720605
%Cold,0.010500138568843756,0.8550890458612179
Transport.,0.007382077926917532,0.8978365238997232
Age max,0.001148986743284367,0.9840562930392489
IndustrialCostr.,-0.00046137987043234576,0.993597389942259
F age avg,-0.001419916025554868,0.9802974796923654
Age std,-0.001419916025554868,0.9802974796923654
Age avg,-0.001419916025554868,0.9802974796923654
Age min,-0.004277543966200037,0.9406939462543725
Appliance,-0.005767248380404322,0.9200998645861873
N Female,-0.010109171507763404,0.8604285581579211
Pleasure,-0.01088396388023354,0.849853483306635
Indoor,-0.011611216775488884,0.8399516305804808
Houses/Gardens,-0.021847693679161978,0.7039214886285063
Transport.,-0.0221462337807526,0.7000696196393723
Water/Ice/Snow,-0.0283003703802221,0.6224974404888395
OutdoorManmade,-0.030275943945804008,0.5984045065099282
Forest/field/etc,-0.03170647689626466,0.581225969189524
Days,-0.047601906413481734,0.40745095671086884
Mountains/hills/etc,-0.04950758654034448,0.38891257368378807
%Blue,-0.06122930192285188,0.2864537285953525
ManMadeElements,-0.06579297684966832,0.25198201026998523
Sports/Leisure,-0.06582489709269441,0.2517515019289887
OutdoorNatural,-0.0726912775834587,0.20552694909312272
%Lum,-0.08886608252513678,0.12146052565375176
Workplace,-0.09476114058344069,0.0985639301145205
%Green,-0.10270539471828281,0.073285805867888
Weigh. Emoji Sent,-0.10835693928861077,0.05873506994231116
Kitchen,-0.12601547283234932,0.02777085772065536
Home/Hotel,-0.13879923289556612,0.015273668791127829
Animal,-0.13897415850789804,0.015144234154265324
CulturalHist.,-0.16150078030313408,0.004691403978203771
%Red,-0.16527079324274965,0.0037987325088682574
Furniture,-0.1704355550091856,0.002824811485694215
