feature,corr,p-value
ImgPopScore,0.250181437472732,0.0
N Mentions,0.19808451979257274,1.150674762298336e-239
Location,0.1913946048979734,1.359756322506831e-223
N Emojis,0.15319205889666404,4.999362437785944e-143
Cap. Sent. Magn.,0.1355907612120857,3.4095762114982384e-112
Weigh. Emoji Sent,0.09777358846750729,5.496850822190696e-59
Caption Len.,0.09423490542835455,6.637138956050746e-55
%Cold,0.07973279094674122,9.267219231054694e-40
ColorHarmony,0.07644414176526548,1.1192172073467233e-36
RuleOfThirds,0.07560561429240067,6.515891871869884e-36
Aest_score,0.06321862050391555,1.367301720312248e-25
Light,0.0570223957987052,4.1039113251886806e-21
Person,0.053468927129173636,9.452026245805986e-19
%Red,0.051220041076429794,2.4742145764880758e-17
N Female,0.050664133474694964,5.4291561831565065e-17
Age min,0.04689932719411833,8.918009479522069e-15
F age avg,0.04503231487571056,9.708178124966471e-14
Age std,0.04498462176844172,1.0305962362062521e-13
Age avg,0.04498462176844172,1.0305962362062521e-13
%Warm,0.043548126797349214,6.056341235517669e-13
Age max,0.043464004378021115,6.706576519945312e-13
%Green,0.04047466587789634,2.2213215663346873e-11
%Blue,0.03489768281293039,8.013698263649534e-09
BalancingElement,0.034446384757723984,1.2443849222846914e-08
DoF,0.03016918051443552,6.157167348236842e-07
OutdoorNatural,0.026654903377142904,1.0569717371657513e-05
Animal,0.02326280915385959,0.00012084112426075264
Commercial/Building,0.02314764411928323,0.00013057256341686267
Symmetry,0.02221006077180554,0.00024217855958030238
OutdoorManmade,0.02101904509605064,0.0005136742382859801
Forest/field/etc,0.020375267116620223,0.0007595984890857732
Object,0.01865387915240574,0.0020520600128945436
Home/Hotel,0.018601687822846703,0.0021123336580501874
Food,0.015231722883602722,0.011835850282646868
Transport.,0.013827605159637756,0.022315700715144802
CulturalHist.,0.012194962281150419,0.043889716436007
Mountains/hills/etc,0.011774229209500522,0.05170111473841536
Repetition,0.011737658229158721,0.05243190332867321
Houses/Gardens,0.01146729466901798,0.05810674043666438
Water/Ice/Snow,0.01110406122025287,0.06652551940439211
IsSponsored,0.010548812572510438,0.08131438452568424
VividColor,0.010380104202713758,0.08630291509975986
Content,0.010380104202713758,0.08630291509975986
ManMadeElements,0.009908288180689827,0.10157552621183964
ImgSentScore,0.009514901623129372,0.11589116540105755
IndustrialCostr.,0.008696669200844387,0.1507052488053977
Pleasure,0.007422011708349745,0.2200432624411876
M age std,0.0071683833661067035,0.2362142265012109
Cultural,0.006374710063645977,0.2921791546024111
MotionBlur,0.005741111231754674,0.34279566241034254
Days,0.004455236056434466,0.46162320300350956
Sports,0.002704970087533954,0.6549011440286472
Vehicle,0.0023706236109182536,0.6952673562525149
Transport.,0.00012997446724646354,0.9828654033621378
Appliance,-0.0002370940490712489,0.9687493684042054
SportsLeisureParks,-0.002215104484015652,0.7143507218561593
Outdoor,-0.0055928220104935625,0.35540701886171944
M age avg,-0.005872083345851777,0.33189799625634697
N Male,-0.006430946565177028,0.2879425837294305
Accessory,-0.00676093884435015,0.263919592074426
Indoor,-0.007398587374890905,0.22150259982551346
F age std,-0.010503137034954957,0.08264128288448785
Kitchen,-0.01128335212649994,0.062252281217798675
Electronic,-0.012848093893425722,0.03374738306929188
Cap. Sent. Score,-0.013313333325632823,0.02780957934276386
Sports/Leisure,-0.01735841836336126,0.0041244750598186004
Shopping/dining,-0.021150647979527273,0.00047357258734462634
%Lum,-0.023338711223628645,0.00011480573275135373
Workplace,-0.025398782177182153,2.6986142801977016e-05
Furniture,-0.028258590617147753,3.007348192809581e-06
N Hashstags,-0.03008100523227276,6.638844660924987e-07
Indoor,-0.03436151054125075,1.3509356973699385e-08
Dominance,-0.04902117663760132,5.27370468197559e-16
Arousal,-0.059474552285703745,7.866691913227177e-23
