feature,corr,p-value
ImgPopScore,0.16972397162603456,2.0017780170312838e-92
N Mentions,0.1337752816350115,8.204604327895858e-58
Cap. Sent. Magn.,0.10400590627423231,1.613022360154425e-35
N Emojis,0.09922589249524415,1.8200207885106117e-32
Person,0.07666310128997336,5.329107742667319e-20
Age min,0.05413470302165622,1.0372365777533869e-10
N Female,0.053625843414843215,1.5477017807349087e-10
F age avg,0.05162939241498391,7.183940211280495e-10
Age avg,0.051506116547032126,7.883743880037956e-10
Age std,0.051506116547032126,7.883743880037956e-10
Location,0.05016930419456544,2.130930111529835e-09
Age max,0.04892101458710923,5.2723696446486985e-09
%Warm,0.03752827054051317,7.548676270354406e-06
Animal,0.031328461705781734,0.0001858702471106235
Caption Len.,0.027821141776760618,0.0009037620510646501
%Cold,0.026545524949668785,0.0015419978435149194
N Hashstags,0.02621987526296307,0.0017611963395303765
%Red,0.02481937498757917,0.003069604196779029
Food,0.021055050242438714,0.012020941550283375
Transport.,0.016501599459850382,0.049034526725756256
Mountains/hills/etc,0.015226957230297098,0.06933430952288205
%Green,0.013554906675303863,0.10592632128645862
Water/Ice/Snow,0.013199601403237482,0.1153963238608428
OutdoorNatural,0.01279936854318522,0.12684752399479166
CulturalHist.,0.012228157540223668,0.14469852216861492
Light,0.011785791610283149,0.15979883725920346
Appliance,0.0110439547656193,0.18775135763659
ManMadeElements,0.010158949066034479,0.22562868045265083
MotionBlur,0.008244381976670965,0.3254450872861582
OutdoorManmade,0.007935201772022362,0.3439181070312134
SportsLeisureParks,0.007407255824212941,0.3769766002844258
RuleOfThirds,0.00719764833657343,0.39062764712003095
Weigh. Emoji Sent,0.006693663927878689,0.42465758894432315
Object,0.005666343560328406,0.4991459240492234
Workplace,0.005283967701282834,0.5285461232597377
ColorHarmony,0.004537094620341922,0.5884074788999714
Transport.,0.0038985141518557884,0.6419455780674144
Houses/Gardens,0.0026585610287697455,0.7511760738243627
%Blue,0.00247654318038107,0.7677039970463416
DoF,0.002405821835560608,0.7741548387153395
Days,0.001716956086026503,0.8377418992015924
Shopping/dining,0.001303096130953026,0.8764892291739815
Electronic,0.001186518181322139,0.8874616065697376
Commercial/Building,0.0006799981264592228,0.9353593541472425
BalancingElement,-7.847016991464656e-05,0.9925325540982416
N Male,-0.001085250723939293,0.8970105648645254
M age std,-0.0021707820493348674,0.7957039101425589
M age avg,-0.0022006960926362054,0.7929522641349229
Aest_score,-0.003980393229625256,0.6349679057067326
IsSponsored,-0.0047739295168205504,0.5690893562685304
ImgSentScore,-0.004817156746725277,0.5655963570662075
Sports,-0.005314321358835211,0.5261804767045346
Kitchen,-0.005644777368608009,0.5007806779352809
Home/Hotel,-0.005789037809046735,0.4898996879679913
Forest/field/etc,-0.0065469746065225706,0.43487859614079505
Vehicle,-0.006616984310772368,0.4299828540910451
Symmetry,-0.010059482553459256,0.23020463779447986
F age std,-0.010567576423239938,0.20751160482332354
Cap. Sent. Score,-0.010940146140435867,0.19193441403528907
Outdoor,-0.013952284094243067,0.0960765249291327
Cultural,-0.014091784225133018,0.09279780000274045
IndustrialCostr.,-0.014539208352570377,0.08288380573861384
Indoor,-0.014575267739159497,0.08212367771915555
Repetition,-0.01734098951707508,0.03859984323936525
Dominance,-0.017853120796824537,0.0332109372728764
Indoor,-0.023273544883454192,0.005499362749477172
Accessory,-0.0250038332454921,0.0028572631961739916
Sports/Leisure,-0.026965387495885396,0.0012964449977353062
Pleasure,-0.031341022447254244,0.00018476538572118723
Furniture,-0.03463676171649777,3.59009516539129e-05
Arousal,-0.04161819617249786,6.835398656771053e-07
%Lum,-0.05013926059001091,2.1784595893324636e-09
VividColor,-0.053737004208553485,1.4185783105544306e-10
Content,-0.053737004208553485,1.4185783105544306e-10
