feature,corr,p-value
N Mentions,0.29699214812879243,0.0
Location,0.25318854032151766,0.0
Cap. Sent. Magn.,0.2268230973308383,3.3718157491220077e-306
Caption Len.,0.20161883742908754,4.886606120389523e-241
ImgPopScore,0.18577831162222047,2.5073958947391323e-204
N Emojis,0.171424967797939,7.893014538605014e-174
Light,0.10191757115622678,4.199044765243346e-62
ColorHarmony,0.0933007968088191,2.690723225651189e-52
%Cold,0.09091546863336929,9.774194246719067e-50
Aest_score,0.08765148795880062,2.4273450782028128e-46
RuleOfThirds,0.08493727674651833,1.2979626247621702e-43
Person,0.07445038481145193,7.007560228618047e-34
DoF,0.07267730227481274,2.31487461364656e-32
Weigh. Emoji Sent,0.07118077257616814,4.151154689480394e-31
BalancingElement,0.07102536343898486,5.582977138939898e-31
N Female,0.06794821377473768,1.7276821411108265e-28
Object,0.058824796757453744,9.516324514972438e-22
Age min,0.05817909926286222,2.6254142440269874e-21
Age avg,0.056090081319288033,6.489965595202736e-20
Age std,0.056090081319288033,6.489965595202736e-20
F age avg,0.05600658196429391,7.360056795507489e-20
N Hashstags,0.05574683732122297,1.087267021897908e-19
ImgSentScore,0.05496980469458326,3.4565374026718814e-19
Age max,0.05439400081816478,8.061106108572551e-19
Cap. Sent. Score,0.045885473588823326,7.911277503465563e-14
%Warm,0.04441129170339348,4.776984866748134e-13
Food,0.027108080988029703,1.0211497811970495e-05
%Red,0.024315656547642235,7.559464597495348e-05
Shopping/dining,0.023405094995782805,0.0001391374643965121
%Blue,0.022340476114723132,0.0002765156820072467
%Green,0.017912108049542012,0.003552033111486146
OutdoorManmade,0.016246231807481467,0.008187322531608419
Commercial/Building,0.013149408177807617,0.032342147699397084
IsSponsored,0.013061103590562353,0.03352135156932772
Houses/Gardens,0.012884072711301525,0.03599646231500493
Content,0.010655917444998811,0.08286526618645246
VividColor,0.010655917444998811,0.08286526618645246
CulturalHist.,0.00877181193655264,0.1533960307241225
Appliance,0.00729380900466248,0.23519535510500536
SportsLeisureParks,0.005998820586001531,0.32890805096027775
F age std,0.00567423337542181,0.35575304179552025
Mountains/hills/etc,0.005459793194673741,0.374225125233865
Forest/field/etc,0.0048567269682219414,0.4292731598968377
OutdoorNatural,0.003767161649234069,0.5398055851543468
Vehicle,0.0036227380622727186,0.5554576053527781
IndustrialCostr.,0.002110361279651736,0.7312514685923647
ManMadeElements,0.0015241194087809884,0.8040955003045045
Furniture,-0.0008536119719659409,0.8895092495546371
Pleasure,-0.001129147068549425,0.8541950472756012
Symmetry,-0.0013664905507018482,0.8240054863898965
Water/Ice/Snow,-0.002442725046132862,0.6909592503750893
Sports,-0.0025748886635864354,0.6751698492143907
Cultural,-0.0031084972188350616,0.6129208514940957
Repetition,-0.003641013680360523,0.5534647831687729
Kitchen,-0.004513226104427839,0.4626255256784858
M age std,-0.0056309642579214616,0.35943321895252
Transport.,-0.005823952458804081,0.34320318369285696
Transport.,-0.007343475623905272,0.23202242922861285
N Male,-0.007499385554620608,0.22225996274916618
M age avg,-0.009264739359911199,0.131588593106908
Outdoor,-0.011065244708703433,0.071715241097233
Days,-0.011185590307132032,0.06868143237595614
Accessory,-0.012194830005924431,0.047168949519713156
Animal,-0.01286801103665194,0.03622854371985392
MotionBlur,-0.014652744085352956,0.017085654344816497
Indoor,-0.015456455195872989,0.011880118254376276
Home/Hotel,-0.01776141832180513,0.0038414590596820178
Sports/Leisure,-0.01986720481518831,0.0012219650286256793
%Lum,-0.022035984037617713,0.00033477672200384675
Dominance,-0.02442631335965592,7.009267462803245e-05
Arousal,-0.02767802853783446,6.62302803129025e-06
Electronic,-0.029206985754321155,1.9899178870250938e-06
Workplace,-0.03566351813419367,6.395333483221569e-09
Indoor,-0.03746273848053325,1.066043802143435e-09
