feature,corr,p-value
N Hashstags,0.3860244126477231,7.687059749663627e-16
ImgPopScore,0.3222049498005136,3.091042477175183e-11
Dominance,0.20408343907723395,3.502890965421513e-05
Symmetry,0.1257039746474293,0.011342190165400166
SportsLeisureParks,0.1005054700989836,0.04322770693184858
Arousal,0.09624517650990763,0.052940578420129024
%Warm,0.09520815767190101,0.05556191617096701
Repetition,0.07788911068776526,0.11757783445850506
Transport.,0.055948692019889994,0.2612907034572101
OutdoorManmade,0.0509900662381024,0.3060007866970026
Days,0.04998667238739202,0.31562905013212267
Houses/Gardens,0.03718750791241011,0.4554685587699273
N Male,0.032323545814348334,0.5165596129389312
Home/Hotel,0.03132101232083593,0.5296573067406587
Caption Len.,0.026349477288419326,0.5969956510173327
Forest/field/etc,0.024036895343630616,0.6295873419086653
Workplace,0.0055208494452589464,0.9118047690707375
F age std,0.0019724165547553613,0.968434774157421
Shopping/dining,0.0009809266166229277,0.9842988391650234
Transport.,0.0002462998194749174,0.9960573747031214
%Cold,-0.0041306591816961565,0.9339538483710198
Light,-0.008656924803740852,0.8621153585863657
Vehicle,-0.011900557913352093,0.8112898799475093
Indoor,-0.01428918171781713,0.7743496448078132
MotionBlur,-0.015202501463456431,0.7603536223889985
Commercial/Building,-0.016161417832950182,0.745742580873707
Accessory,-0.01687167704171436,0.7349784364739371
Kitchen,-0.02251035473322654,0.6515073012328902
BalancingElement,-0.023243797034237144,0.6409366453274541
Outdoor,-0.031501235377828694,0.527290424601734
Location,-0.0322914069249192,0.5169768846479595
Sports/Leisure,-0.03584163792473584,0.4719556086187573
IsSponsored,-0.038109404981174363,0.44436420614827854
Cap. Sent. Score,-0.04528934800504128,0.36330788788593005
OutdoorNatural,-0.04552073496136661,0.36085905497903337
DoF,-0.046777705731659146,0.34773709733087654
Food,-0.04858665117597307,0.32939090904278534
Mountains/hills/etc,-0.049120570419665076,0.32409759071313693
Electronic,-0.04995622788662335,0.31592425159453347
RuleOfThirds,-0.05093491915675544,0.30652486929095935
Water/Ice/Snow,-0.05096722891275471,0.30621774619508346
Aest_score,-0.05640215112569768,0.2574390850006553
Indoor,-0.05649929681551025,0.25661907376525595
Animal,-0.05901688893342074,0.23599602046361062
ColorHarmony,-0.059420775626102734,0.23279946583786357
CulturalHist.,-0.06278890305818058,0.20733002245696794
Furniture,-0.06293598875930957,0.2062655982058236
Age max,-0.06482064172721354,0.19297527306620563
F age avg,-0.06611742299010524,0.18420179674361792
Age std,-0.06611742299010524,0.18420179674361792
Age avg,-0.06611742299010524,0.18420179674361792
Age min,-0.06732505798736796,0.17629931883191774
N Female,-0.07172921302742231,0.14960799409858955
Appliance,-0.07686118766256235,0.1225142422967256
Person,-0.0808933648647612,0.10403884710080728
Object,-0.08333809777627059,0.09395822174706842
Cultural,-0.09444795454687761,0.05755122822930442
%Lum,-0.10885208200591565,0.0284990598025215
VividColor,-0.116937580561067,0.01856603828343982
Content,-0.116937580561067,0.01856603828343982
Cap. Sent. Magn.,-0.12429873295181464,0.012298981586221
N Emojis,-0.13888544874814188,0.005110915219844992
%Red,-0.16691057904132223,0.0007453924391949719
Weigh. Emoji Sent,-0.17052517947433854,0.0005680631330320601
%Green,-0.2055535067702591,3.066170002908334e-05
ImgSentScore,-0.20627499243822936,2.871196991786776e-05
%Blue,-0.25407269537173993,2.1881647843115756e-07
Pleasure,-0.29906592534700327,8.195587340656284e-10
N Mentions,-0.309646223997661,1.896910487647512e-10
