feature,corr,p-value
Weigh. Emoji Sent,0.3180907279644569,5.970102081690112e-11
Location,0.2706806825009393,3.2524461148425417e-08
Cap. Sent. Score,0.23487497724640677,1.812883302679877e-06
N Emojis,0.19260091135048238,9.788707423648272e-05
N Male,0.18302907287063833,0.00021667984513898376
F age std,0.17770521620589927,0.00033147531115566977
Person,0.1732692010237528,0.0004681054479295641
ImgPopScore,0.16737564374671096,0.0007311021962878192
OutdoorManmade,0.13996239677338604,0.004826696246908522
ImgSentScore,0.13450527704122353,0.0067800397456052154
Content,0.13444312837342046,0.006805870868983153
VividColor,0.13444312837342046,0.006805870868983153
ColorHarmony,0.13391964186409236,0.007026970490142473
Home/Hotel,0.13341428430746247,0.00724648685630759
Light,0.12723752265454774,0.010469300068405568
%Warm,0.12035075154228132,0.015506503390810354
Age std,0.11808326259331514,0.01757736579767788
Age avg,0.11808326259331514,0.01757736579767788
F age avg,0.11808326259331514,0.01757736579767788
Age min,0.11776111685234172,0.017890358082455746
Age max,0.11775061870777764,0.017900639262248857
SportsLeisureParks,0.11184968526919059,0.02456064255178994
Furniture,0.10571804391028548,0.03364686140372707
Transport.,0.10207852951430664,0.040290771286150495
N Hashstags,0.09052774082130816,0.06911291160843025
RuleOfThirds,0.08994795799807317,0.0709195776474132
IsSponsored,0.08232339882510446,0.09846147845102818
N Mentions,0.06778198338370098,0.17391099228004914
Houses/Gardens,0.06688702221318434,0.17967711457460472
Sports,0.06048028708294342,0.2251364165100673
Transport.,0.060098868262799414,0.22808011156226848
MotionBlur,0.054549514517222814,0.2740212047002743
Commercial/Building,0.05158721016402791,0.30096501520220176
Vehicle,0.04907265665700671,0.32517211570171856
Indoor,0.04880772178514857,0.32779411859138263
Aest_score,0.04610357425834464,0.3553349988441984
%Lum,0.04330188152615796,0.3853573851821114
Dominance,0.03685106622288304,0.46011763692753216
%Red,0.02463198297846695,0.6215621474241464
Days,0.023963123818091302,0.631064279892924
Sports/Leisure,0.018322957706628926,0.7134872986521024
Arousal,0.012728829711521266,0.7986737367098098
CulturalHist.,0.008645135887708232,0.8624707129782563
Accessory,0.00816483875619736,0.8700417455462024
Water/Ice/Snow,0.0071568229876342185,0.8859691641427749
IndustrialCostr.,0.005766245359464544,0.9080155761858839
Animal,0.0028952005704301377,0.9537385730273596
%Cold,0.0017100896838299737,0.9726651164517935
Caption Len.,-0.001249616806533738,0.980023718340403
BalancingElement,-0.0100439708649655,0.8404945985979334
Appliance,-0.020926466977481042,0.6749534642209842
Cap. Sent. Magn.,-0.023506345680384927,0.6375887082932579
N Female,-0.026419485004991312,0.5964779671194966
%Green,-0.029757655683221453,0.5509078367265313
Electronic,-0.030559834963938298,0.5402169674303055
Repetition,-0.034323262428491416,0.4914816472697048
OutdoorNatural,-0.03653780346325377,0.46394287733151107
Forest/field/etc,-0.039850491635690544,0.4243945052128725
Outdoor,-0.052146642415121625,0.2957464644753545
ManMadeElements,-0.05317759609283969,0.28628839140887874
Pleasure,-0.060621885230503256,0.2240505086202441
DoF,-0.07689801167062649,0.12279984974405068
Object,-0.08426667802303231,0.09074117432379407
%Blue,-0.10439474795574684,0.035945688611114614
Indoor,-0.11502773846445073,0.020747611452247607
Workplace,-0.11983922161872435,0.015954002764791194
Kitchen,-0.1453721695659091,0.0034064301585150923
Shopping/dining,-0.15585743708519734,0.0016767634875382628
Cultural,-0.15594809599589607,0.001666196527792707
Symmetry,-0.16894874209075136,0.0006499884928468245
Food,-0.18794451038023016,0.00014478482649867775
