feature,corr,p-value
ImgPopScore,0.27972699498201886,2.4903286021121045e-158
N Mentions,0.18598101825630348,1.6754706094654e-69
N Emojis,0.1798747298931058,4.638768520185764e-65
Cap. Sent. Magn.,0.13925286954759664,1.8641607450937273e-39
%Cold,0.13151419327731645,2.4215121425238885e-35
Caption Len.,0.12623987650235388,1.1218785529049239e-32
N Hashstags,0.10847871338429634,1.6335753673685778e-24
Home/Hotel,0.09645164557282454,1.0838707414005953e-19
Weigh. Emoji Sent,0.09118612135003959,9.295952975740939e-18
Dominance,0.08351006254003769,3.927233877610929e-15
ColorHarmony,0.07960283817107186,6.97131825780656e-14
Furniture,0.07539126723755898,1.3309348243786729e-12
Location,0.07457774536540655,2.310653705552798e-12
Indoor,0.06635603842579539,4.3974534428043274e-10
Repetition,0.0647817945172603,1.1228577494780934e-09
Arousal,0.05939509343513534,2.357456478971809e-08
Appliance,0.0504942415206519,2.078996462271379e-06
%Lum,0.040095490222816076,0.00016495841255527015
Light,0.03674251689346004,0.0005561855926878292
Electronic,0.027670813262946344,0.009338169202832959
M age avg,0.021759339185385407,0.040959383974192874
Person,0.02030987843740903,0.056422470837561856
Animal,0.015774619168675837,0.1384230049010585
N Female,0.011550360011543102,0.2779753345391374
Houses/Gardens,0.008522711771003276,0.4234258911214651
Transport.,0.007597165578641224,0.4755007410176205
F age std,0.007269966612508375,0.49471746899343816
Days,0.004449535289982893,0.6760092189895234
Symmetry,0.00011361368369376444,0.9914859992982727
Age max,-7.953917308312732e-05,0.9940394228475067
F age avg,-0.0006478086962134137,0.951483416905134
Age min,-0.0007016788702064928,0.9474545100263498
Age avg,-0.0008149500382287586,0.9389875544369002
Age std,-0.0008149500382287586,0.9389875544369002
VividColor,-0.0019179975026494985,0.8570395679561043
Content,-0.0019179975026494985,0.8570395679561043
Outdoor,-0.0037348999586527118,0.7257431708868862
Indoor,-0.00428542333887297,0.6873153659604014
N Male,-0.006514426710033741,0.5406304187641663
Workplace,-0.0071046226633740255,0.5045838704185045
Commercial/Building,-0.0074265399171156215,0.4854703308006366
Cap. Sent. Score,-0.007830678847188334,0.46204059368014105
RuleOfThirds,-0.01076852847483649,0.3118058327870505
ManMadeElements,-0.011086007496092936,0.297754287610199
Kitchen,-0.014775115560366963,0.16519899905294763
Accessory,-0.014833267021425876,0.1635414175489605
Transport.,-0.016640682382467364,0.11804121626865913
Mountains/hills/etc,-0.01875410184378591,0.07813801418676576
Sports,-0.01948471586734211,0.06721501546879566
SportsLeisureParks,-0.020557908724514403,0.05347547903703179
Shopping/dining,-0.021715783837369197,0.04136540474061722
Sports/Leisure,-0.022937279777023825,0.03119174571151901
IsSponsored,-0.0240108953430941,0.024102172709710476
Vehicle,-0.02437117291717494,0.022059036546456492
CulturalHist.,-0.02472629729401015,0.020194243684574457
OutdoorManmade,-0.0268631676782471,0.011618632511374613
BalancingElement,-0.027282204271265098,0.010380219855841456
IndustrialCostr.,-0.030701407110938002,0.003923555927108096
Cultural,-0.036584274324524775,0.0005876539201116054
Aest_score,-0.03951522428778249,0.00020495282379535262
ImgSentScore,-0.04167845964136954,8.993290909637162e-05
Forest/field/etc,-0.04565395291303418,1.7852367953363482e-05
%Warm,-0.055660838192134424,1.6779466416917744e-07
Water/Ice/Snow,-0.05582686240172075,1.5416875390094817e-07
Food,-0.05976270690089531,1.9306331836417746e-08
MotionBlur,-0.060936767220469854,1.0121621238461058e-08
DoF,-0.06842034493241256,1.2447453955285454e-10
%Blue,-0.0711571037077664,2.2050139746963125e-11
OutdoorNatural,-0.0753001807186973,1.4161434505804017e-12
%Green,-0.08655005844391359,3.814412201368626e-16
%Red,-0.08661577092623463,3.6236305371135206e-16
Pleasure,-0.11063748287246755,1.9389739230564155e-25
Object,-0.12134544533843335,2.657102627127123e-30
