feature,corr,p-value
N Mentions,0.20684250097148255,8.445732512949923e-58
N Emojis,0.1923381313660349,4.465764065866623e-50
%Cold,0.14585636399256197,2.64128946641556e-29
Weigh. Emoji Sent,0.1319546768324208,3.07519778401961e-24
ImgPopScore,0.13028014829666035,1.156698269734352e-23
Caption Len.,0.09436004669359206,4.235551314027248e-13
Dominance,0.09330613867611892,7.693656747965544e-13
Cap. Sent. Magn.,0.08738861821681597,1.943638243678452e-11
Person,0.08480721796539281,7.452660730398315e-11
Arousal,0.08377902629452401,1.2591022249186906e-10
Location,0.07616645003437772,5.041534583762003e-09
N Female,0.07232134257810052,2.8585520057651717e-08
Age std,0.07097288075226914,5.147397385449371e-08
Age avg,0.07097288075226914,5.147397385449371e-08
F age avg,0.07076933867081252,5.620141380388574e-08
Age max,0.06964357866327647,9.097440357359434e-08
Age min,0.06940042866600073,1.0085077710846051e-07
%Lum,0.057451523879894384,1.0497990770304318e-05
Light,0.054644945723865544,2.7766336846395966e-05
ColorHarmony,0.04779252771905677,0.00024747934585202556
RuleOfThirds,0.04054559549289021,0.0018794896605521683
Aest_score,0.03802762326826725,0.0035518229631363997
VividColor,0.034735311803183885,0.007747622386990405
Content,0.034735311803183885,0.007747622386990405
Shopping/dining,0.030547825166195208,0.019196446789743887
IndustrialCostr.,0.025568392834717527,0.050013280917187805
F age std,0.02382038741803872,0.06787676570190507
Electronic,0.018943470690050233,0.14651983583349792
Commercial/Building,0.01651944915518885,0.205471362501101
N Male,0.016352220320503562,0.21009737436455514
M age std,0.016171877408820853,0.21517011156553328
Outdoor,0.014854305859331179,0.25492075855226637
DoF,0.014407246381084003,0.26950168516425216
Sports,0.012077636090913878,0.35462849788731743
Object,0.01199920550773502,0.35776228943886657
Indoor,0.01127204264237177,0.38764126128408216
Sports/Leisure,0.009043085214078053,0.4882687384832074
Vehicle,0.007238319206396414,0.5790703928852495
BalancingElement,0.006919149712191268,0.5959168247239695
M age avg,0.005311205417480535,0.6839734064698588
Houses/Gardens,0.0037384085006196407,0.7744890633945501
OutdoorManmade,0.003537975446341699,0.7862780428187124
Days,0.002797306371040046,0.8302487718981613
Kitchen,0.002030685020392006,0.8763251898031534
Cultural,0.0013895954500742855,0.9151880926333138
Transport.,0.0012392351910770227,0.9243358845938074
Forest/field/etc,0.0006741023057322481,0.9587977193082778
Animal,0.0005591938194511487,0.9658163823651403
Transport.,-0.0008235728064826346,0.9496728499309351
Mountains/hills/etc,-0.006101124196161159,0.6400799891417145
SportsLeisureParks,-0.006140076926689533,0.6379461661864263
Accessory,-0.006959271305728893,0.5937868902824904
Symmetry,-0.00711146470452951,0.5857392462644357
Food,-0.00913451291169125,0.4838821063785761
Repetition,-0.009471920607188822,0.4678801129210507
Home/Hotel,-0.011962068937813954,0.3592521872547043
IsSponsored,-0.012840778683600526,0.3250457150069118
Furniture,-0.014453205132793003,0.2679768753753338
CulturalHist.,-0.01669044807489445,0.20081804777822201
Workplace,-0.01683346585175589,0.19698559623717737
Appliance,-0.01693389166477079,0.19432666056766232
ManMadeElements,-0.01941176480736343,0.1367947233085465
Indoor,-0.021021657157168687,0.10712484362652387
MotionBlur,-0.02203600359516148,0.09121614660923984
OutdoorNatural,-0.023234228570091338,0.07493157854566858
ImgSentScore,-0.024810970887028362,0.05720059500284153
Water/Ice/Snow,-0.025740671205012566,0.0484887153422039
%Warm,-0.04541556284941624,0.0004969605641857632
N Hashstags,-0.053010411228334456,4.7927361564085296e-05
Cap. Sent. Score,-0.06684323722596042,2.9203016262176174e-07
%Blue,-0.07418534113772339,1.2459346485846846e-08
Pleasure,-0.1005455360328595,1.1161812415130333e-14
%Red,-0.10541780172256883,5.420895753209482e-16
%Green,-0.10639282651457142,2.9092156999177575e-16
