feature,corr,p-value
ImgPopScore,0.21355044266849618,3.3269663924664395e-42
N Male,0.16557955940432978,8.099083210975325e-26
Age max,0.12147786872411748,1.553816934905522e-14
Location,0.11758107912380938,1.0471858346058524e-13
F age avg,0.11115444886021077,2.127909881493641e-12
Age std,0.10836965864265831,7.449484212860284e-12
Age avg,0.10836965864265831,7.449484212860284e-12
OutdoorManmade,0.1083485656673331,7.51962217836889e-12
F age std,0.1072015711548356,1.2483326035089996e-11
N Mentions,0.10426671097959847,4.4576989584737584e-11
SportsLeisureParks,0.09589081325177216,1.3935535781443955e-09
Age min,0.08638235420754829,4.944019050374713e-08
%Warm,0.08374832611309195,1.2472639559419764e-07
Sports/Leisure,0.06765810032143289,1.9709472495248057e-05
Dominance,0.06521735982851448,3.891144956795543e-05
RuleOfThirds,0.06073344572978448,0.00012790073091205372
DoF,0.05820322338313117,0.00024197447319379185
Vehicle,0.05525074249503075,0.0004937657213110348
Transport.,0.054048881638800825,0.0006538954335592235
OutdoorNatural,0.05236810934491559,0.0009597067502959165
Aest_score,0.05230686943513107,0.0009730220137543752
Light,0.05177253814015391,0.0010966695585407165
Animal,0.04837767280011863,0.0022872316110682765
Water/Ice/Snow,0.042397835005662125,0.007522778938164595
Person,0.042178678569484956,0.007838643954657916
Mountains/hills/etc,0.041554923650794766,0.008803648597173554
ColorHarmony,0.03381830426400542,0.03304258985606321
MotionBlur,0.03258019369993293,0.04002554928984545
M age std,0.03177478594682469,0.04520999107071582
CulturalHist.,0.031390287200577294,0.047878045404889845
BalancingElement,0.02978680288647588,0.06047155083606094
M age avg,0.029570511730290263,0.062363597008787325
Transport.,0.02685690921555612,0.09052967491903882
N Emojis,0.023642999275306293,0.13622458816827898
IndustrialCostr.,0.01702677288843883,0.28328585483203783
ManMadeElements,0.010745782516430024,0.4983223572570681
Home/Hotel,0.009838349054237895,0.5352919518917647
Forest/field/etc,0.008618837004739668,0.5870613551699806
Arousal,0.00466067260325925,0.7690028595142495
Kitchen,0.002215289524176017,0.8889841144804966
Houses/Gardens,0.0008480642121391878,0.9573828091317711
Object,-0.00029105497148601756,0.985367674656708
Commercial/Building,-0.0013341632161545562,0.9330022064415845
N Female,-0.00143913978771678,0.9277444909709469
Cultural,-0.001593352179759791,0.920026596596779
Outdoor,-0.0026719120231449268,0.8662980571884091
Sports,-0.0054824133282837684,0.729748653655418
Weigh. Emoji Sent,-0.006007478746966322,0.7050249624300922
ImgSentScore,-0.006355931070702669,0.688785807180835
Repetition,-0.007536038726704373,0.6348818521585402
Cap. Sent. Score,-0.008270632065697834,0.6022572769925146
Appliance,-0.01094834177832419,0.4902592551189425
Accessory,-0.011574849343963018,0.4657706390738565
Electronic,-0.0213943619363924,0.17757677178779868
%Green,-0.021461972632882756,0.17621045456683168
Food,-0.022328467456842256,0.15938746219956557
Days,-0.028933067977827156,0.0682262709134717
Furniture,-0.0291565304682795,0.06612149595097391
Indoor,-0.030150844729019716,0.057394531185600166
IsSponsored,-0.03246599275602245,0.04072849509065807
Content,-0.0358583260900977,0.023807088631361488
VividColor,-0.0358583260900977,0.023807088631361488
N Hashstags,-0.04106059024834542,0.009642363420846595
Symmetry,-0.04640259508180635,0.003439123750080398
%Red,-0.05694885237892608,0.00032894388004736256
Workplace,-0.059102462562115404,0.00019345212900185427
%Lum,-0.07135705058350895,6.7290619519967784e-06
%Cold,-0.0716067791375178,6.246195780841575e-06
Pleasure,-0.09749934105775543,7.35320197919322e-10
%Blue,-0.10228994112955156,1.0302753977122325e-10
Shopping/dining,-0.1185984301634372,6.401580234015526e-14
Indoor,-0.12586515877670304,1.68342623189402e-15
Cap. Sent. Magn.,-0.16459300709025373,1.5839122746290906e-25
Caption Len.,-0.24636922787667329,5.178521231016116e-56
