feature,corr,p-value
Location,0.16105230617404429,6.280173489602678e-35
ImgPopScore,0.1587688884101782,5.566084951256904e-34
RuleOfThirds,0.09676684510399346,1.61888165315518e-13
OutdoorNatural,0.08775692194592673,2.272693314929844e-11
Water/Ice/Snow,0.08492336125105075,9.760547542163976e-11
ColorHarmony,0.08467835100485503,1.1047222723861941e-10
BalancingElement,0.07985150609117253,1.1803313832910848e-09
Days,0.07428247102233626,1.536499935655861e-08
Light,0.06764487053233419,2.5952752058368474e-07
DoF,0.06648324716447354,4.1478496640226524e-07
SportsLeisureParks,0.06495555821444676,7.595783008092547e-07
Person,0.06430624715723086,9.78382751345146e-07
Aest_score,0.060391815941893585,4.278978372567645e-06
N Male,0.06034314625444045,4.355835979293327e-06
Age min,0.0566641070115171,1.609775139354141e-05
F age avg,0.05450451572472841,3.346991984070214e-05
Age std,0.05341504456546815,4.794365027159632e-05
Age avg,0.05341504456546815,4.794365027159632e-05
Age max,0.048893940909482604,0.0001985155286927756
N Mentions,0.046571414776029434,0.00039417437570830785
OutdoorManmade,0.03952910558870971,0.002633219356237832
Pleasure,0.037186133268408215,0.004666404181489659
%Blue,0.032836968011200826,0.012485434154230413
Home/Hotel,0.03218193746200767,0.014354789220690703
Object,0.029954303973279008,0.022684139935629344
Transport.,0.029584316006250427,0.02441377619117082
ManMadeElements,0.02763376856379156,0.03554341709452987
ImgSentScore,0.026431024766863084,0.044369138654661765
%Green,0.026078009033036045,0.0472866388972641
Forest/field/etc,0.024737752801935402,0.05987132447050803
F age std,0.019885218512147244,0.1303971179083822
Indoor,0.018652319938668536,0.15597412964193735
%Red,0.01552704238248377,0.23760495595452807
Houses/Gardens,0.011587666179158317,0.3781338360219194
%Lum,0.01064404784050251,0.41818989950363594
Sports/Leisure,0.009295236711649554,0.47958333686859944
Mountains/hills/etc,0.00916024592863386,0.4859871975439415
Furniture,0.007497931596376528,0.568494615086393
Animal,0.0063841482790311065,0.6272812227885713
MotionBlur,0.005630874389082993,0.6684584758641756
Symmetry,0.0022234728778617063,0.8657113453773331
N Female,0.0008035056179199503,0.951270527425067
Vehicle,0.0006979956004792767,0.9576628359414456
M age avg,-0.0016116532286183805,0.902443004920682
CulturalHist.,-0.0036883180076523027,0.7790791188815923
M age std,-0.0062841148005781606,0.6326866970582015
Commercial/Building,-0.007484808926654496,0.5691716623752344
Transport.,-0.008653316245769808,0.5104429824597936
Arousal,-0.0092125178695543,0.4835019842224414
Content,-0.009229996273265024,0.48267253326362414
VividColor,-0.009229996273265024,0.48267253326362414
%Cold,-0.016432522639380286,0.21134532564497985
IndustrialCostr.,-0.01732926744722323,0.18747284885360233
Sports,-0.018633606509071744,0.15638975077793232
Repetition,-0.02392636053030186,0.0687587885347214
Accessory,-0.024914237750049716,0.058070023612981886
Appliance,-0.02719591825090951,0.03856554625638807
Electronic,-0.028223479418603935,0.03179409318996899
Dominance,-0.028741258814945474,0.028786794905907638
Cultural,-0.02893529827268288,0.027724626673562687
Food,-0.029675150455979623,0.023978883117801254
N Emojis,-0.030900697318112708,0.018736035828931238
Cap. Sent. Score,-0.031851717353676756,0.015387595950007625
Weigh. Emoji Sent,-0.032247505803651606,0.014157148186269435
Outdoor,-0.03432874741560948,0.009010025198217095
Kitchen,-0.034461679703551025,0.008746859534101401
%Warm,-0.04034372019301149,0.002143258087299802
Workplace,-0.04118191721293842,0.001727602133545011
Shopping/dining,-0.06061955648899679,3.936274410170203e-06
Indoor,-0.09282025225102583,1.4965906500352704e-12
Cap. Sent. Magn.,-0.09573213626673437,2.925993877697743e-13
N Hashstags,-0.1197950649824384,6.014694941935247e-20
IsSponsored,-0.13096762541687554,1.4639795985997105e-23
Caption Len.,-0.20413493890105078,1.7382649245319147e-55
