feature,corr,p-value
ImgPopScore,0.21344941517328786,0.0
N Mentions,0.13661564958323996,4.2700263856478027e-150
RuleOfThirds,0.08122082496794417,5.869978901886468e-54
Cap. Sent. Magn.,0.07226307176779385,4.7090750155061325e-43
Location,0.07050583913937804,4.596964855986288e-41
OutdoorManmade,0.05805669838331602,2.2849836214264034e-28
ColorHarmony,0.05119878058430915,2.043349555559988e-22
Light,0.05092565294551763,3.4048115680779236e-22
%Red,0.049023367863192675,1.1070130555651414e-20
%Green,0.048486136036212435,2.8901960489201066e-20
BalancingElement,0.04780756517171888,9.569762556236766e-20
SportsLeisureParks,0.04380561781321924,7.966672589267859e-17
Aest_score,0.04043032746401529,1.480419465963735e-14
OutdoorNatural,0.034983749994306854,2.878109183487165e-11
Symmetry,0.0341818659153331,8.026882549563601e-11
Water/Ice/Snow,0.034177987948960514,8.066348463311771e-11
%Blue,0.0333451283645136,2.2844092129262134e-10
Houses/Gardens,0.027306717700697154,2.0787497454524608e-07
Person,0.02696539526772391,2.9403546768784515e-07
Animal,0.02520222371075113,1.6523493661112002e-06
IndustrialCostr.,0.02485921485137619,2.282767539426199e-06
MotionBlur,0.023997220231439433,5.050338707609185e-06
DoF,0.02353536352681886,7.646622297922803e-06
N Emojis,0.02339210195077141,8.683491718328759e-06
Age min,0.022724783330708574,1.555434424044755e-05
Age std,0.019616269319979094,0.00019182958695261194
Age avg,0.019616269319979094,0.00019182958695261194
F age avg,0.019284317346577495,0.00024597373255747
Transport.,0.018263585747140286,0.000515986962617217
N Male,0.01812223813204904,0.0005701324953782291
Age max,0.016977088799628736,0.001247948506264851
%Cold,0.015012110865076004,0.004316418772881098
Vehicle,0.013509592297831927,0.010217532731502122
Sports,0.013378626736984268,0.010975484914572004
Forest/field/etc,0.013272469413050872,0.011626099396397423
CulturalHist.,0.012712459580950427,0.015656780223003302
Days,0.01172121395828777,0.025856779642666722
Transport.,0.011004966446673536,0.03642245785377753
Pleasure,0.01037853133706945,0.04848645867418558
M age std,0.006728005410871562,0.20087861625359854
N Female,0.006658252000776171,0.20558779640686356
Mountains/hills/etc,0.006141638170339376,0.24297757397648645
ManMadeElements,0.004639892181415214,0.377734283210271
Home/Hotel,0.004090530843388919,0.4367812991792063
%Warm,0.0025985230404846262,0.6213082403861634
M age avg,0.0019180720920252202,0.7153813452706188
Cultural,0.0015294669779502173,0.771233457585737
F age std,0.0014825465171543744,0.778064697380585
Sports/Leisure,0.0003489082684625536,0.947115299187409
Object,-0.00034657409115226634,0.9474685816107413
Weigh. Emoji Sent,-0.00035681549368333636,0.9459186024528956
Caption Len.,-0.00143659846997469,0.7847710286698527
Commercial/Building,-0.0025996140121094975,0.621161773507545
Repetition,-0.002755378493880907,0.6004061821676596
IsSponsored,-0.003146611869318211,0.5497111586409709
Furniture,-0.003164366894372861,0.5474614844803898
Cap. Sent. Score,-0.005054199662809481,0.3366313191864184
Appliance,-0.006088243784040768,0.24709846217650017
Outdoor,-0.006230442809612511,0.23623122835398377
%Lum,-0.006329021037274712,0.2288987810788657
Accessory,-0.006747063881709481,0.1996057416099659
Electronic,-0.008504767875551607,0.10591253993520966
Indoor,-0.010360111281941312,0.04888677166163411
ImgSentScore,-0.012035949412601324,0.022126128138508123
Kitchen,-0.01915859970295098,0.0002699929486323691
N Hashstags,-0.02789033865415839,1.138103631201022e-07
Workplace,-0.03006042174594405,1.0907698933166385e-08
Content,-0.03593704038078877,8.253637402590284e-12
VividColor,-0.03593704038078877,8.253637402590284e-12
Shopping/dining,-0.04394474760066959,6.367064048656884e-17
Dominance,-0.04564443115112299,3.8945117821329944e-18
Food,-0.052759838260832775,1.0483338170945664e-23
Arousal,-0.06022388042602037,2.1107929345355006e-30
Indoor,-0.07146368960811104,3.837645203925653e-42
