feature,corr,p-value
ImgPopScore,0.10683745494451714,1.0565205643137168e-73
N Mentions,0.05861271714749519,2.6980952267357455e-23
Workplace,0.05290710488888407,2.8613929802921445e-19
SportsLeisureParks,0.0479629900884427,4.143185341916509e-16
%Red,0.04727849264978043,1.0740782060109345e-15
Symmetry,0.03305464981610796,2.0919327709926985e-08
OutdoorNatural,0.0326589033988017,3.0754063403136565e-08
OutdoorManmade,0.0316784387392563,7.839980230617039e-08
N Emojis,0.030450784004713204,2.436244344863513e-07
Weigh. Emoji Sent,0.0268224172627419,5.437507132713285e-06
Vehicle,0.02511092493327639,2.072648827680059e-05
BalancingElement,0.02499087665325924,2.269703861542875e-05
Days,0.02476481125883411,2.690158420879126e-05
Water/Ice/Snow,0.024145055234032993,4.2558876132200204e-05
%Warm,0.02237356355078394,0.00014899159370400248
%Green,0.02202141025124607,0.0001891878270247719
Animal,0.02041901444076196,0.0005374962948752249
ManMadeElements,0.018259320642413545,0.0019669848797772196
Appliance,0.01630494676923387,0.005712622383269077
Location,0.013111078804959752,0.02625666594130249
Transport.,0.012971598610510839,0.02789572042053483
Mountains/hills/etc,0.012957160107814707,0.028070323242657583
RuleOfThirds,0.011619551673392658,0.048889418090033186
CulturalHist.,0.011400021642724599,0.05331740246780199
Forest/field/etc,0.010945807674440056,0.06354686769657346
Indoor,0.01091233354289018,0.0643609164417269
M age std,0.010093909544149262,0.08709238927284244
Repetition,0.010017142721589989,0.08952170582289622
Pleasure,0.009915677618853602,0.09281600557230907
N Male,0.007256938006023874,0.2186779581139868
M age avg,0.006075729560965069,0.3030887716383675
Houses/Gardens,0.004573898496320317,0.43818029165136774
IndustrialCostr.,0.0044237367359061825,0.45336477314297163
Sports,0.004263097719072854,0.46993248063613047
ColorHarmony,0.0021982541055195854,0.7094464276983493
Outdoor,0.0002268643662086109,0.9693264974110718
Sports/Leisure,-0.0018118027709089748,0.7587696832296661
Cultural,-0.003378008638820428,0.5669381634268922
Transport.,-0.0036419322500317727,0.5370358737221732
Person,-0.010760865856014275,0.06815271321019913
MotionBlur,-0.010818106090220558,0.066698731636513
Accessory,-0.012382692155779633,0.035824007602147045
Kitchen,-0.01278434544532198,0.030234334319367968
Home/Hotel,-0.01300779736698334,0.027462084741755433
Age min,-0.013184465140562698,0.025428196425421604
%Blue,-0.01338373342551458,0.0232917606700948
Age max,-0.015235293095074412,0.009808783339460265
Dominance,-0.015355265409853519,0.009245591192076113
F age avg,-0.016376261892947535,0.005504468644281829
Age std,-0.01641102166099163,0.005405514789200911
Age avg,-0.01641102166099163,0.005405514789200911
Food,-0.017119070303998635,0.0037095763441939112
Cap. Sent. Score,-0.018291536411331338,0.0019310659996485504
F age std,-0.020907083041401688,0.0003939682577145112
Electronic,-0.020913193840706088,0.00039242282240607674
Arousal,-0.022606402132386565,0.00012698959995478115
Commercial/Building,-0.022644008572777354,0.0001237370670991519
Furniture,-0.02310701965570959,8.961624496502586e-05
DoF,-0.027562274453429004,2.9736404251846703e-06
N Female,-0.030405492629393845,2.5382663284004175e-07
Aest_score,-0.033269012139272136,1.6947313433114174e-08
Object,-0.035054378356508265,2.7905751055578098e-09
Light,-0.045093625769545856,2.0546721051990858e-14
IsSponsored,-0.04639586935923708,3.596819791676677e-15
Indoor,-0.0473567150187711,9.639466365563066e-16
%Cold,-0.04867607380906136,1.5141942792607135e-16
%Lum,-0.05662143057953733,7.622245668922844e-22
Cap. Sent. Magn.,-0.06734816716282947,3.0181779067986322e-30
Content,-0.07228103618904705,1.35329762631765e-34
VividColor,-0.07228103618904705,1.35329762631765e-34
ImgSentScore,-0.07506796937284897,3.461557485676675e-37
Shopping/dining,-0.08322484687756972,2.4483251636203692e-45
N Hashstags,-0.109732608251825,1.1330913561625452e-77
Caption Len.,-0.13532052881786866,1.7455161250995185e-117
