feature,corr,p-value
ImgPopScore,0.2244835446207815,0.0
N Mentions,0.15062376647974313,0.0
Caption Len.,0.1434539723879872,1.0776288250586773e-304
Location,0.14293581341352316,1.7241503891418793e-302
Cap. Sent. Magn.,0.13329079122504398,5.667057744765159e-263
N Hashstags,0.13118990637312003,9.593608818853947e-255
Person,0.09885699695490018,5.2352686800887064e-145
Age min,0.09468375017731633,3.898662699363481e-133
Age std,0.09227920833385417,1.5681489300868503e-126
Age avg,0.09227920833385417,1.5681489300868503e-126
F age avg,0.09221039275262512,2.4091576739161602e-126
N Emojis,0.09117416929869179,1.488675134532076e-123
Age max,0.09012004327637085,9.531593259954992e-121
RuleOfThirds,0.07810023266752789,4.437119562735864e-91
N Female,0.07774871757593695,2.820693276462106e-90
Weigh. Emoji Sent,0.0693165098929923,4.232864176712265e-72
Light,0.05337288625687501,1.934138633843101e-43
ColorHarmony,0.052484663750591756,4.6182517938589936e-42
Days,0.04901084854691209,6.806034667228321e-37
DoF,0.04702702531140975,4.2347749390716535e-34
Aest_score,0.04661226884094661,1.5721255525557116e-33
%Cold,0.04490068024740887,3.1218673175247146e-31
OutdoorManmade,0.04437975516657668,1.5027925563293088e-30
N Male,0.04235847821160446,5.629528708803348e-28
Cap. Sent. Score,0.0418006261528712,2.7534820563947213e-27
F age std,0.0388598761115247,8.41552583192493e-24
OutdoorNatural,0.035574385687795196,3.333589018151109e-20
%Warm,0.03250786549724534,3.979403883864774e-17
SportsLeisureParks,0.03098853348265165,1.0567160683027587e-15
Vehicle,0.026409154381145175,8.231717067755315e-12
BalancingElement,0.025817186809002936,2.3698105256603195e-11
Forest/field/etc,0.02491069151202829,1.1443060117345104e-10
Dominance,0.024816655426620413,1.3431907748203442e-10
CulturalHist.,0.02453815134938149,2.151681308739374e-10
ManMadeElements,0.023999536230989833,5.275620926327034e-10
Animal,0.022234535564930425,8.725489175514259e-09
Furniture,0.019389807896065415,5.23462491265611e-07
Arousal,0.01755567906924338,5.550873988551666e-06
Sports,0.015819556766144115,4.249038590968477e-05
Water/Ice/Snow,0.01575955256177142,4.542972057709453e-05
Commercial/Building,0.014102599090276792,0.0002630861403320923
Houses/Gardens,0.013664030587233303,0.0004067293621005347
Transport.,0.011178085625880562,0.0038234073247221173
Mountains/hills/etc,0.009702074732583684,0.012058345910984768
M age avg,0.009372703232819942,0.015299834335086162
ImgSentScore,0.008245279453348147,0.03288623449131137
M age std,0.007666681958966865,0.04728343196733128
Object,0.006709134904844021,0.08256711410729356
MotionBlur,0.0031608094126786396,0.4134434827982325
Home/Hotel,0.0031110928556361164,0.42082843684185
Sports/Leisure,0.0018847822921766026,0.6257762798473785
Appliance,0.0013307208320373913,0.7306064991607546
IndustrialCostr.,-0.0007202509614223125,0.8521608195126235
IsSponsored,-0.0008294335484731593,0.8300693212313377
Food,-0.00120281501058065,0.755630565040865
VividColor,-0.00356965561371385,0.35567528813725835
Content,-0.00356965561371385,0.35567528813725835
Kitchen,-0.0058550151208323145,0.12977878316624597
%Lum,-0.007375805423987533,0.0563284033046395
Transport.,-0.007828315813528258,0.04280819656214339
Accessory,-0.008745871268886743,0.0236355284399086
Cultural,-0.010573940954900983,0.006218317200448757
Outdoor,-0.011971906968495583,0.001949667585321288
Symmetry,-0.015340457072584208,7.201886770568417e-05
%Green,-0.02222990380441758,8.787615360614138e-09
Shopping/dining,-0.022474571730172775,6.029395204590064e-09
%Red,-0.022783024374689397,3.729111612077859e-09
Electronic,-0.028815618074667156,8.819644603738982e-14
%Blue,-0.02900891880633376,6.025708703214967e-14
Workplace,-0.03034059675056715,4.084235470708476e-15
Indoor,-0.033281102918769255,7.07157524661887e-18
Pleasure,-0.04146810551405303,7.0231047756299e-27
Repetition,-0.05414323906102117,1.1822822137061242e-44
Indoor,-0.06036981549718385,4.2239626034525086e-55
