feature,corr,p-value
Houses/Gardens,0.3109173343682423,0.0035714935392672383
ImgPopScore,0.28119383553233057,0.008724348814666799
Object,0.2421729429384128,0.024671409297796626
OutdoorNatural,0.22526139521220362,0.03704186998997254
OutdoorManmade,0.2199207666827204,0.041891193210599496
Water/Ice/Snow,0.19489864918731054,0.07213667050663314
MotionBlur,0.19046271269004156,0.07899449616230232
Outdoor,0.1616115089675055,0.13712477212959234
RuleOfThirds,0.11289265009159094,0.3007078797894051
Forest/field/etc,0.11141772848758531,0.30710753792745865
Cap. Sent. Magn.,0.10822142429388612,0.32127794008070976
N Male,0.10788127789809378,0.3228102350645795
Workplace,0.09739076455088622,0.37235440789315355
ImgSentScore,0.08996693224748548,0.4100630024568507
%Red,0.07261697540990936,0.5064049358084788
Animal,0.07064909569854136,0.5180242090345002
Kitchen,0.06772450162970872,0.535539039589501
%Green,0.06484298713684644,0.5530776842116674
%Blue,0.04810626966547068,0.6600487064222168
%Warm,0.020387850313214776,0.852192386375245
%Cold,0.019510446296958885,0.8584859704232446
BalancingElement,-0.005887097915523378,0.9570974821420072
Aest_score,-0.014632834722719165,0.8936233800781083
Age std,-0.0262037600525165,0.8107265019081246
Age avg,-0.0262037600525165,0.8107265019081246
F age avg,-0.0262037600525165,0.8107265019081246
Age min,-0.02710933970873993,0.804313583529097
F age std,-0.027282702351682286,0.8030873646317093
Age max,-0.03210186713636369,0.7692012646286253
ColorHarmony,-0.042804107760784554,0.6955608420245051
Transport.,-0.04351079087586687,0.6907875789228567
SportsLeisureParks,-0.04904132046386602,0.6538605709740042
CulturalHist.,-0.06335517894392106,0.5622403435325494
Home/Hotel,-0.0656158375371885,0.5483466317561446
Dominance,-0.0740793154370025,0.49785861208617
Food,-0.07646314700128405,0.48409012076326674
N Female,-0.08287479654415425,0.44808626434111953
Furniture,-0.08554324025220733,0.43355427177431394
Days,-0.0922862286186422,0.39804974341235055
Sports,-0.09830976043022234,0.3678380152398407
Caption Len.,-0.10139614575948692,0.3529167345426628
Cultural,-0.10267908311601001,0.3468265656560451
Light,-0.12432720565828055,0.25406836309834585
DoF,-0.12448759133867142,0.2534514703243063
Cuteness,-0.14023369137233893,0.19780930904928695
Appliance,-0.14200298728809896,0.19215453530508989
Pleasure,-0.15136634448182223,0.16416372941476448
Vehicle,-0.1551109553454619,0.1538574382281278
Indoor,-0.17780177763853633,0.10146002103230506
Sports/Leisure,-0.21133812711135336,0.05078243958293669
N Mentions,-0.2122608267297307,0.04975768979582662
Symmetry,-0.21606781484185322,0.04570810547130716
%Lum,-0.22857789791234034,0.03427367856863962
Cap. Sent. Score,-0.23810147069139284,0.02727182001592353
Person,-0.25673602843414134,0.017024598459299538
Arousal,-0.27000457571212105,0.011931561170442348
Repetition,-0.2815617791520508,0.00863317702144414
Content,-0.30644986296799737,0.004108604872363651
VividColor,-0.30644986296799737,0.004108604872363651
Shopping/dining,-0.31932219408646195,0.0027281501613910615
Indoor,-0.33267363198161665,0.0017504703122709392
Location,-0.38584765118780817,0.00024350288126957892
Weigh. Emoji Sent,-0.41523762312071366,7.024125895179286e-05
N Emojis,-0.5510741611216501,3.8396383717648256e-08
N Hashstags,-0.6592593717938767,5.1441402235768374e-12
